ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-18,1,23.202,HOU,,NYJ,W 20-0,,,,,,,,
2,1977,1977-09-25,2,23.209,HOU,@,GNB,W 16-10,,,,,,,,
3,1977,1977-10-02,3,23.216,HOU,@,MIA,L 7-27,,,,,,,,
4,1977,1977-10-09,4,23.223,HOU,,PIT,W 27-10,,,,,,,,
5,1977,1977-10-16,5,23.230,HOU,,CLE,L 23-24,,,,,,,,
6,1977,1977-10-23,6,23.237,HOU,@,PIT,L 10-27,,,,,,,,
7,1977,1977-10-30,7,23.244,HOU,@,CIN,L 10-13,,,,,,,,
8,1977,1977-11-06,8,23.251,HOU,,CHI,W 47-0,,,,,,,,
9,1977,1977-11-13,9,23.258,HOU,@,OAK,L 29-34,0,0,,0,3,54,18.00,0
10,1977,1977-11-20,10,23.265,HOU,@,SEA,W 22-10,5,15,3.00,0,1,34,34.00,0
11,1977,1977-11-27,11,23.272,HOU,,KAN,W 34-20,1,2,2.00,0,2,36,18.00,0
12,1977,1977-12-04,12,23.279,HOU,,DEN,L 14-24,0,0,,0,2,32,16.00,0
13,1977,1977-12-11,13,23.286,HOU,@,CLE,W 19-15,,,,,,,,
14,1977,1977-12-18,14,23.293,HOU,,CIN,W 21-16,1,3,3.00,0,0,0,,0
