ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.176,IND,,CHI,L 13-29,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,0,0
2,2008,2008-10-12,5,23.211,IND,,BAL,W 31-3,,,,,,,0.0%,,,,,,,,,,
3,2008,2008-10-19,6,23.218,IND,@,GNB,L 14-34,,,,,,,0.0%,,,,,,,,,,
4,2008,2008-11-02,8,23.232,IND,,NWE,W 18-15,,,,,,,0.0%,,,,,,,,,,
5,2008,2008-11-09,9,23.239,IND,@,PIT,W 24-20,,,,,,,0.0%,,,,,,,,,,
6,2008,2008-11-16,10,23.246,IND,,HOU,W 33-27,,,,,,,0.0%,,,,,,,,,,
7,2008,2008-11-23,11,23.253,IND,@,SDG,W 23-20,,,,,,,0.0%,,,,,,,,,,
8,2008,2008-11-30,12,23.260,IND,@,CLE,W 10-6,,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,0.0,0,0
9,2008,2008-12-07,13,23.267,IND,,CIN,W 35-3,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
10,2008,2008-12-14,14,23.274,IND,,DET,W 31-21,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
11,2008,2008-12-18,15,23.278,IND,@,JAX,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
12,2008,2008-12-28,16,23.288,IND,,TEN,W 23-0,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
13,2009,2009-09-13,1,24.182,IND,,JAX,W 14-12,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
14,2009,2009-09-21,2,24.190,IND,@,MIA,W 27-23,,,,,,,0.0%,,,,,,,,,,
15,2009,2009-09-27,3,24.196,IND,@,ARI,W 31-10,,,,,,,0.0%,,,,,,,,,,
16,2009,2009-10-04,4,24.203,IND,,SEA,W 34-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
17,2009,2009-10-11,5,24.210,IND,@,TEN,W 31-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
18,2009,2009-10-25,6,24.224,IND,@,STL,W 42-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
19,2009,2009-11-01,7,24.231,IND,,SFO,W 18-14,,,,,,,0.0%,,,,,,,,,,
20,2009,2009-11-08,8,24.238,IND,,HOU,W 20-17,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
21,2009,2009-11-15,9,24.245,IND,,NWE,W 35-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
22,2009,2009-11-22,10,24.252,IND,@,BAL,W 17-15,,,,,,,0.0%,,,,,,,,,,
23,2009,2009-11-29,11,24.259,IND,@,HOU,W 35-27,,,,,,,0.0%,,,,,,,,,,
24,2009,2009-12-06,12,24.266,IND,,TEN,W 27-17,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,2
25,2009,2009-12-13,13,24.273,IND,,DEN,W 28-16,,1,,,,,0.0%,,,,,,,,,,
26,2009,2009-12-17,14,24.277,IND,@,JAX,W 35-31,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
27,2009,2009-12-27,15,24.287,IND,,NYJ,L 15-29,,3,,,,,0.0%,,,,,,,,,,
28,2009,2010-01-03,16,24.294,IND,@,BUF,L 7-30,*,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,0.0,0,0
29,2010,2010-09-12,1,25.181,IND,@,HOU,L 24-34,,,,,,,0.0%,,,,,,,,,,
30,2010,2010-09-19,2,25.188,IND,,NYG,W 38-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
31,2010,2010-09-26,3,25.195,IND,@,DEN,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
32,2010,2010-10-03,4,25.202,IND,@,JAX,L 28-31,,,,,,,0.0%,,,,,,,,,,
33,2010,2010-10-10,5,25.209,IND,,KAN,W 19-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
34,2010,2010-10-17,6,25.216,IND,@,WAS,W 27-24,,,,,,,0.0%,,,,,,,,,,
35,2010,2010-11-01,7,25.231,IND,,HOU,W 30-17,*,9,6,64,10.67,1,66.7%,7.11,0,0,,0,1,6,0.0,0,0
36,2010,2010-11-07,8,25.237,IND,@,PHI,L 24-26,,17,11,108,9.82,1,64.7%,6.35,0,0,,0,1,6,0.0,0,0
37,2010,2010-11-14,9,25.244,IND,,CIN,W 23-17,,10,7,73,10.43,0,70.0%,7.30,0,0,,0,0,0,0.0,0,0
38,2010,2010-11-21,10,25.251,IND,@,NWE,L 28-31,*,11,7,60,8.57,0,63.6%,5.45,0,0,,0,0,0,0.0,0,0
39,2010,2010-11-28,11,25.258,IND,,SDG,L 14-36,*,9,7,64,9.14,1,77.8%,7.11,0,0,,0,1,6,0.0,0,0
40,2010,2010-12-05,12,25.265,IND,,DAL,L 35-38,*,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,0.0,1,0
41,2010,2010-12-09,13,25.269,IND,@,TEN,W 30-28,*,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,0.0,0,0
42,2010,2010-12-19,14,25.279,IND,,JAX,W 34-24,*,7,7,34,4.86,0,100.0%,4.86,0,0,,0,0,0,0.0,0,0
43,2010,2010-12-26,15,25.286,IND,@,OAK,W 31-26,*,9,7,78,11.14,1,77.8%,8.67,0,0,,0,1,6,0.0,1,0
44,2010,2011-01-02,16,25.293,IND,,TEN,W 23-20,*,9,7,67,9.57,0,77.8%,7.44,0,0,,0,0,0,0.0,1,0
45,2011,2011-09-11,1,26.180,IND,@,HOU,L 7-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
46,2011,2011-09-18,2,26.187,IND,,CLE,L 19-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
47,2011,2011-09-25,3,26.194,IND,,PIT,L 20-23,,,,,,,0.0%,,,,,,,,,,
48,2011,2011-10-03,4,26.202,IND,@,TAM,L 17-24,,,,,,,0.0%,,,,,,,,,,
49,2011,2011-10-09,5,26.208,IND,,KAN,L 24-28,,,,,,,0.0%,,,,,,,,,,
50,2011,2011-10-16,6,26.215,IND,@,CIN,L 17-27,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,0,0
51,2011,2011-10-23,7,26.222,IND,@,NOR,L 7-62,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
52,2011,2011-10-30,8,26.229,IND,@,TEN,L 10-27,,0,,,,,0.0%,,,,,,,,,,
53,2011,2011-11-06,9,26.236,IND,,ATL,L 7-31,,7,2,6,3.00,0,28.6%,0.86,0,0,,0,0,0,0.0,0,0
54,2011,2011-11-13,10,26.243,IND,,JAX,L 3-17,*,8,6,75,12.50,0,75.0%,9.38,0,0,,0,0,0,0.0,0,0
