ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,22.232,TAM,,TEN,L 14-42,,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,0,0
2,2015,2015-09-20,2,22.239,TAM,@,NOR,W 26-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0
3,2015,2015-10-04,4,22.253,TAM,,CAR,L 23-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0
4,2015,2015-11-01,7,22.281,TAM,@,ATL,W 23-20,,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,,0,,0,0
5,2015,2015-11-08,8,22.288,TAM,,NYG,L 18-32,,5,5,55,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0
6,2015,2015-11-15,9,22.295,TAM,,DAL,W 10-6,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,,0,0
7,2015,2015-11-22,10,22.302,TAM,@,PHI,W 45-17,,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0
8,2015,2015-11-29,11,22.309,TAM,@,IND,L 12-25,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,,0,0
9,2015,2015-12-06,12,22.316,TAM,,ATL,W 23-19,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0
10,2015,2015-12-13,13,22.323,TAM,,NOR,L 17-24,,3,1,6,6.00,1,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,1,6
11,2015,2015-12-17,14,22.327,TAM,@,STL,L 23-31,,6,6,60,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0
12,2015,2015-12-27,15,22.337,TAM,,CHI,L 21-26,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0
13,2015,2016-01-03,16,22.344,TAM,@,CAR,L 10-38,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0
14,2016,2016-09-11,1,23.231,TAM,@,ATL,W 31-24,*,5,3,34,11.33,0,60.0%,6.80,1,7,7.00,0,1,12,12.00,0,0,0,,0,,0,0
15,2016,2016-09-18,2,23.238,TAM,@,ARI,L 7-40,*,8,6,67,11.17,0,75.0%,8.38,0,0,,0,0,0,,0,5,43,8.60,0,,0,0
16,2016,2016-09-25,3,23.245,TAM,,LAR,L 32-37,,12,9,100,11.11,0,75.0%,8.33,0,0,,0,0,0,,0,2,26,13.00,0,,0,0
17,2016,2016-10-02,4,23.252,TAM,,DEN,L 7-27,,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,3,37,12.33,0,,0,0
18,2016,2016-10-10,5,23.260,TAM,@,CAR,W 17-14,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,1,12,12.00,0,1,0,2
19,2016,2016-10-23,6,23.273,TAM,@,SFO,W 34-17,,3,2,17,8.50,0,66.7%,5.67,1,6,6.00,0,1,17,17.00,0,2,15,7.50,0,,0,0
20,2016,2016-10-30,7,23.280,TAM,,OAK,L 24-30,*,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,1,0,0.00,0,,0,0
21,2016,2016-11-03,8,23.284,TAM,,ATL,L 28-43,*,7,5,46,9.20,1,71.4%,6.57,0,0,,0,0,0,,0,0,0,,0,,1,6
22,2016,2016-11-13,9,23.294,TAM,,CHI,W 36-10,,8,5,46,9.20,0,62.5%,5.75,1,2,2.00,0,1,9,9.00,0,1,5,5.00,0,,0,0
23,2016,2016-11-20,10,23.301,TAM,@,KAN,W 19-17,,7,4,47,11.75,0,57.1%,6.71,0,0,,0,1,9,9.00,0,1,13,13.00,0,,0,0
24,2016,2016-11-27,11,23.308,TAM,,SEA,W 14-5,,1,1,18,18.00,0,100.0%,18.00,2,3,1.50,0,0,0,,0,3,48,16.00,0,,0,0
25,2016,2016-12-04,12,23.315,TAM,@,SDG,W 28-21,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,1,7,7.00,0,,0,0
26,2016,2016-12-18,14,23.329,TAM,@,DAL,L 20-26,,5,2,49,24.50,1,40.0%,9.80,0,0,,0,0,0,,0,0,0,,0,,1,6
27,2016,2016-12-24,15,23.335,TAM,@,NOR,L 24-31,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,2,24,12.00,0,,0,0
28,2016,2017-01-01,16,23.343,TAM,,CAR,W 17-16,,13,10,94,9.40,0,76.9%,7.23,0,0,,0,0,0,,0,2,7,3.50,0,,0,0
29,2017,2017-09-17,1,24.236,TAM,,CHI,W 29-7,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0
30,2017,2017-09-24,2,24.243,TAM,@,MIN,L 17-34,,10,6,68,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,,0,0
31,2017,2017-10-01,3,24.250,TAM,,NYG,W 25-23,,7,6,70,11.67,0,85.7%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0
32,2017,2017-10-05,4,24.254,TAM,,NWE,L 14-19,,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,0,0
