ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,22.355,STL,@,NOR,L 17-28,,,,,,,,,,,
2,1983,1983-09-11,2,22.362,STL,,DAL,L 17-34,,,,,,,,,,,
3,1983,1983-09-18,3,23.004,STL,,SFO,L 27-42,,,,,,,,,,,
4,1983,1983-09-25,4,23.011,STL,@,PHI,W 14-11,,,,,,,,,,,
5,1983,1983-10-02,5,23.018,STL,@,KAN,L 14-38,,,,,,,,,,,
6,1983,1983-10-09,6,23.025,STL,,WAS,L 14-38,,,,,,,,,,,
7,1983,1983-10-16,7,23.032,STL,@,TAM,W 34-27,,,,,,,,,,,
8,1983,1983-10-24,8,23.040,STL,,NYG,T 20-20,,,,,,,,,,,
9,1983,1983-10-30,9,23.046,STL,,MIN,W 41-31,,,,,,,,,,,
10,1983,1983-11-06,10,23.053,STL,@,WAS,L 7-45,,,,,,,,,,,
11,1983,1983-11-13,11,23.060,STL,,SEA,W 33-28,,0,0,,0,,,0.0,1,13,0
12,1983,1983-11-20,12,23.067,STL,,SDG,W 44-14,,,,,,,,,,,
13,1983,1983-11-24,13,23.071,STL,@,DAL,L 17-35,,,,,,,,,,,
14,1983,1983-12-04,14,23.081,STL,@,NYG,W 10-6,,0,0,,0,,,0.0,1,2,0
15,1983,1983-12-11,15,23.088,STL,@,RAI,W 34-24,,,,,,,,,,,
16,1983,1983-12-18,16,23.095,STL,,PHI,W 31-7,,0,0,,0,,,0.0,1,10,0
17,1984,1984-09-02,1,23.354,STL,@,GNB,L 23-24,,0,0,,0,,,,,,
18,1984,1984-09-09,2,23.361,STL,,BUF,W 37-7,,2,31,15.50,0,,,0.0,0,0,0
19,1984,1984-09-16,3,24.002,STL,@,IND,W 34-33,,0,0,,0,,,,,,
20,1984,1984-09-23,4,24.009,STL,@,NOR,L 24-34,,0,0,,0,,,,,,
21,1984,1984-10-28,9,24.044,STL,@,PHI,W 34-14,,0,0,,0,,,,,,
22,1984,1984-11-04,10,24.051,STL,,RAM,L 13-16,,2,24,12.00,0,,,0.0,0,0,0
23,1984,1984-11-11,11,24.058,STL,,DAL,L 17-24,,0,0,,0,,,,,,
24,1984,1984-11-18,12,24.065,STL,@,NYG,L 10-16,,0,0,,0,,,,,,
