ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.244,JAX,@,MIN,L 23-26,*,6,3,24,8.00,0,50.0%,4.00,0,0,,0,1,0,2,0.0,0,0
2,2012,2012-09-16,2,22.251,JAX,,HOU,L 7-27,,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
3,2012,2012-09-23,3,22.258,JAX,@,IND,W 22-17,*,5,1,7,7.00,0,20.0%,1.40,0,0,,0,,0,0,0.0,0,0
4,2012,2012-09-30,4,22.265,JAX,,CIN,L 10-27,*,10,6,48,8.00,0,60.0%,4.80,0,0,,0,,0,0,0.0,0,0
5,2012,2012-10-07,5,22.272,JAX,,CHI,L 3-41,*,8,3,40,13.33,0,37.5%,5.00,0,0,,0,,0,0,0.0,0,0
6,2012,2012-10-21,6,22.286,JAX,@,OAK,L 23-26,,4,1,7,7.00,0,25.0%,1.75,0,0,,0,,0,0,0.0,0,0
7,2012,2012-10-28,7,22.293,JAX,@,GNB,L 15-24,*,8,4,67,16.75,0,50.0%,8.38,0,0,,0,,0,0,0.0,0,0
8,2012,2012-11-04,8,22.300,JAX,,DET,L 14-31,*,9,5,32,6.40,1,55.6%,3.56,0,0,,0,,1,6,0.0,0,0
9,2012,2012-11-08,9,22.304,JAX,,IND,L 10-27,*,5,3,25,8.33,0,60.0%,5.00,0,0,,0,,0,0,0.0,0,0
10,2012,2012-11-18,10,22.314,JAX,@,HOU,L 37-43,*,13,7,236,33.71,1,53.8%,18.15,0,0,,0,,1,6,0.0,0,0
11,2012,2012-11-25,11,22.321,JAX,,TEN,W 24-19,*,6,5,62,12.40,1,83.3%,10.33,1,12,12.00,0,,1,6,0.0,0,0
12,2012,2012-12-02,12,22.328,JAX,@,BUF,L 18-34,*,6,1,9,9.00,0,16.7%,1.50,0,0,,0,,0,0,0.0,0,0
13,2012,2012-12-09,13,22.335,JAX,,NYJ,L 10-17,*,12,6,57,9.50,0,50.0%,4.75,0,0,,0,,0,0,0.0,0,0
14,2012,2012-12-16,14,22.342,JAX,@,MIA,L 3-24,*,11,6,93,15.50,0,54.5%,8.45,0,0,,0,,0,0,0.0,0,0
15,2012,2012-12-23,15,22.349,JAX,,NWE,L 16-23,*,12,7,79,11.29,1,58.3%,6.58,0,0,,0,,1,6,0.0,0,0
16,2012,2012-12-30,16,22.356,JAX,@,TEN,L 20-38,*,13,6,79,13.17,1,46.2%,6.08,1,11,11.00,0,,1,6,0.0,0,0
17,2013,2013-10-06,5,23.270,JAX,@,STL,L 20-34,*,9,5,136,27.20,1,55.6%,15.11,0,0,,0,,1,6,0.0,1,0
18,2013,2013-10-13,6,23.277,JAX,@,DEN,L 19-35,*,20,14,190,13.57,0,70.0%,9.50,0,0,,0,,0,0,0.0,0,0
19,2013,2013-10-20,7,23.284,JAX,,SDG,L 6-24,*,9,6,58,9.67,0,66.7%,6.44,0,0,,0,,0,0,0.0,0,0
20,2013,2013-10-27,8,23.291,JAX,,SFO,L 10-42,*,10,4,31,7.75,0,40.0%,3.10,1,-1,-1.00,0,,0,0,0.0,0,0
