ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,23.081,CAR,@,WAS,L 17-20,,,,
2,2000,2000-09-10,2,23.088,CAR,@,SFO,W 38-22,,,,
3,2000,2000-09-17,3,23.095,CAR,,ATL,L 10-15,,,,
4,2000,2000-10-01,4,23.109,CAR,,DAL,L 13-16,,,,
5,2000,2000-10-08,5,23.116,CAR,,SEA,W 26-3,,,,
6,2000,2000-10-15,6,23.123,CAR,@,NOR,L 6-24,,,,
7,2000,2000-11-19,11,23.158,CAR,@,MIN,L 17-31,,,,
8,2000,2000-11-27,12,23.166,CAR,,GNB,W 31-14,,,,
9,2000,2000-12-03,13,23.172,CAR,,STL,W 16-3,,,,
10,2000,2000-12-10,14,23.179,CAR,@,KAN,L 14-15,,,,
11,2000,2000-12-17,15,23.186,CAR,,SDG,W 30-22,,,,
12,2000,2000-12-24,16,23.193,CAR,@,OAK,L 9-52,,,,
13,2001,2001-09-09,1,24.087,CAR,@,MIN,W 24-13,*,1,0,0
14,2001,2001-09-23,2,24.101,CAR,@,ATL,L 16-24,*,,,
15,2001,2001-09-30,3,24.108,CAR,,GNB,L 7-28,*,,,
16,2001,2001-10-07,4,24.115,CAR,@,SFO,L 14-24,*,,,
17,2001,2001-10-14,5,24.122,CAR,,NOR,L 25-27,*,,,
18,2001,2001-10-21,6,24.129,CAR,@,WAS,L 14-17,*,,,
19,2001,2001-10-28,7,24.136,CAR,,NYJ,L 12-13,*,,,
20,2001,2001-11-04,8,24.143,CAR,@,MIA,L 6-23,*,,,
21,2001,2001-11-11,9,24.150,CAR,@,STL,L 14-48,*,,,
22,2001,2001-11-18,10,24.157,CAR,,SFO,L 22-25,,,,
23,2001,2001-11-25,11,24.164,CAR,,ATL,L 7-10,,,,
24,2001,2001-12-02,12,24.171,CAR,@,NOR,L 23-27,,,,
25,2001,2001-12-23,14,24.192,CAR,,STL,L 32-38,,,,
26,2001,2001-12-30,15,24.199,CAR,,ARI,L 7-30,,,,
27,2001,2002-01-06,16,24.206,CAR,,NWE,L 6-38,,,,
