ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-22,4,23.265,NOR,,ARI,L 14-28,1,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,,0
2,1996,1996-09-29,5,23.272,NOR,@,BAL,L 10-17,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,1996,1996-10-20,8,23.293,NOR,@,CAR,L 7-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,1996,1996-11-10,10,23.314,NOR,,HOU,L 14-31,2,0,0,,0,0.0%,0.00,0,0,,0,2,30,15.00,0
5,1996,1996-11-17,11,23.321,NOR,@,ATL,L 15-17,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0
6,1996,1996-11-24,12,23.328,NOR,@,TAM,L 7-13,1,1,24,24.00,0,100.0%,24.00,1,2,2.00,0,0,0,,0
7,1996,1996-12-01,13,23.335,NOR,,STL,L 10-26,4,2,60,30.00,0,50.0%,15.00,0,0,,0,0,0,,0
8,1997,1997-08-31,1,24.242,NOR,@,STL,L 24-38,,,,,,0.0%,,,,,,,,,
9,1997,1997-09-07,2,24.249,NOR,,SDG,L 6-20,,,,,,0.0%,,,,,,,,,
10,1997,1997-09-14,3,24.256,NOR,@,SFO,L 7-33,1,,,,,0.0%,,,,,,,,,
11,1997,1997-09-21,4,24.263,NOR,,DET,W 35-17,,,,,,0.0%,,,,,,,,,
12,1997,1997-12-14,15,24.347,ATL,,PHI,W 20-17,,,,,,0.0%,,,,,,,,,
13,1997,1997-12-21,16,24.354,ATL,@,ARI,L 26-29,,,,,,0.0%,,,,,,,,,
