ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-22,4,23.234,CHI,@,DET,L 16-35,9,26,2.89,0,0,0,0,,0,0.0%,
2,1996,1996-09-29,5,23.241,CHI,,OAK,W 19-17,7,31,4.43,0,1,1,-1,-1.00,0,100.0%,-1.00
3,1996,1996-10-06,6,23.248,CHI,,GNB,L 6-37,4,7,1.75,0,0,0,0,,0,0.0%,
4,1996,1996-10-13,7,23.255,CHI,@,NOR,L 24-27,7,28,4.00,0,0,0,0,,0,0.0%,
5,1997,1997-11-16,11,24.288,CHI,,NYJ,L 15-23,0,0,,0,,,,,,0.0%,
6,1997,1997-12-14,15,24.316,CHI,@,STL,W 13-10,2,5,2.50,0,0,0,0,,0,0.0%,
7,1997,1997-12-21,16,24.323,CHI,@,TAM,L 15-31,2,9,4.50,0,0,0,0,,0,0.0%,
