ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2001,2001-09-23,1,23.006,ARI,,DEN,L 17-38,,0,,,,,0.0%,,,,,,,,,,,,,
2,2001,2001-09-30,2,23.013,ARI,,ATL,L 14-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,,,0,0,0
3,2001,2001-10-07,3,23.020,ARI,@,PHI,W 21-20,,0,,,,,0.0%,,,,,,,,,,,,,
4,2001,2001-10-14,4,23.027,ARI,@,CHI,L 13-20,,0,,,,,0.0%,,,,,,,,,,,,,
5,2001,2001-10-21,5,23.034,ARI,,KAN,W 24-16,*,0,,,,,0.0%,,,,,,,,,,,,,
6,2001,2001-10-28,6,23.041,ARI,@,DAL,L 3-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
7,2001,2001-11-04,7,23.048,ARI,,PHI,L 7-21,*,0,,,,,0.0%,,,,,,,,,,,,,
8,2001,2001-11-11,8,23.055,ARI,,NYG,L 10-17,*,,,,,,0.0%,,,,,,,,,,,,,
9,2001,2001-11-18,9,23.062,ARI,,DET,W 45-38,*,0,0,0,,0,0.0%,,0,0,,0,1,6,1.0,,,1,20,1
10,2001,2001-11-25,10,23.069,ARI,@,SDG,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,
11,2001,2001-12-02,11,23.076,ARI,@,OAK,W 34-31,*,0,,,,,0.0%,,,,,,,,,,,,,
12,2001,2001-12-09,12,23.083,ARI,,WAS,L 10-20,*,0,,,,,0.0%,,,,,,,,,,,,,
13,2001,2001-12-15,13,23.089,ARI,@,NYG,L 13-17,*,,,,,,0.0%,,,,,,,,,,,,,
14,2001,2001-12-23,14,23.097,ARI,,DAL,W 17-10,*,0,,,,,0.0%,,,,,,,,,,,,,
15,2001,2001-12-30,15,23.104,ARI,@,CAR,W 30-7,*,0,,,,,0.0%,,,,,,,,,,,,,
16,2001,2002-01-06,16,23.111,ARI,@,WAS,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,,,
17,2002,2002-09-08,1,23.356,ARI,@,WAS,L 23-31,*,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
18,2002,2002-09-15,2,23.363,ARI,@,SEA,W 24-13,*,0,,,,,0.0%,,,,,,,,,,,,,
19,2002,2002-09-22,3,24.005,ARI,,SDG,L 15-23,*,0,,,,,0.0%,,,,,,,,,,,,,
20,2002,2002-09-29,4,24.012,ARI,,NYG,W 21-7,*,0,,,,,0.0%,,,,,,,,,,,,,
21,2002,2002-10-06,5,24.019,ARI,@,CAR,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,,,
22,2002,2002-10-20,6,24.033,ARI,,DAL,W 9-6,,0,,,,,0.0%,,,,,,,,,,,,,
23,2002,2002-10-27,7,24.040,ARI,@,SFO,L 28-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
24,2002,2002-11-03,8,24.047,ARI,,STL,L 14-27,*,0,,,,,0.0%,,,,,,,,,,,,,
25,2002,2002-11-10,9,24.054,ARI,,SEA,L 6-27,*,0,,,,,0.0%,,,,,,,,,,,,,
26,2002,2002-11-17,10,24.061,ARI,@,PHI,L 14-38,*,0,,,,,0.0%,,,,,,,,,,,,,
27,2002,2002-11-24,11,24.068,ARI,,OAK,L 20-41,*,0,,,,,0.0%,,,,,,,,,,,,,
28,2002,2002-12-01,12,24.075,ARI,@,KAN,L 0-49,*,0,,,,,0.0%,,,,,,,,,,,,,
29,2002,2002-12-08,13,24.082,ARI,,DET,W 23-20,*,0,,,,,0.0%,,,,,,,,,,,,,
30,2002,2002-12-15,14,24.089,ARI,@,STL,L 28-30,*,0,,,,,0.0%,,,,,,,,,,,,,
31,2002,2002-12-21,15,24.095,ARI,,SFO,L 14-17,,0,,,,,0.0%,,,,,,,,,,,,,
32,2002,2002-12-29,16,24.103,ARI,@,DEN,L 7-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
33,2003,2003-09-07,1,24.355,ARI,@,DET,L 24-42,*,0,,,,,0.0%,,,,,,,,,,,,,
34,2003,2003-09-14,2,24.362,ARI,,SEA,L 0-38,*,0,,,,,0.0%,,,,,,,,,,,,,
35,2003,2003-09-28,4,25.011,ARI,@,STL,L 13-37,*,0,,,,,0.0%,,,,,,,,,,,,,
36,2003,2003-10-05,5,25.018,ARI,@,DAL,L 7-24,*,0,,,,,0.0%,,,,,,,,,,,,,
37,2003,2003-10-12,6,25.025,ARI,,BAL,L 18-26,*,0,,,,,0.0%,,,,,,,,,,,,,
38,2003,2003-11-16,10,25.060,ARI,@,CLE,L 6-44,,,,,,,0.0%,,,,,,,,,,,,,
39,2003,2003-12-07,13,25.081,ARI,@,SFO,L 14-50,,0,,,,,0.0%,,,,,,,,,,,,,
40,2003,2003-12-14,14,25.088,ARI,,CAR,L 17-20,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,,0,0,0
41,2003,2003-12-21,15,25.095,ARI,@,SEA,L 10-28,,0,,,,,0.0%,,,,,,,,,,,,,
42,2003,2003-12-28,16,25.102,ARI,,MIN,W 18-17,,0,,,,,0.0%,,,,,,,,,,,,,
43,2005,2005-09-18,2,27.001,ARI,,STL,L 12-17,,,,,,,0.0%,,,,,,,,,,,,,
44,2005,2005-09-25,3,27.008,ARI,@,SEA,L 12-37,,,,,,,0.0%,,,,,,,,,,,,,
45,2005,2005-10-02,4,27.015,ARI,,SFO,W 31-14,*,0,,,,,0.0%,,,,,,,,,,,,,
46,2005,2005-10-09,5,27.022,ARI,,CAR,L 20-24,*,0,,,,,0.0%,,,,,,,,,,,,,
47,2005,2005-10-23,6,27.036,ARI,,TEN,W 20-10,*,0,,,,,0.0%,,,,,,,,,,,,,
48,2005,2005-10-30,7,27.043,ARI,@,DAL,L 13-34,*,0,,,,,0.0%,,,,,,,,,,,,,
49,2005,2005-11-06,8,27.050,ARI,,SEA,L 19-33,,,,,,,0.0%,,,,,,,,,,,,,
50,2005,2005-11-13,9,27.057,ARI,@,DET,L 21-29,,,,,,,0.0%,,,,,,,,,,,,,
51,2005,2005-11-20,10,27.064,ARI,@,STL,W 38-28,,,,,,,0.0%,,,,,,,,,,,,,
52,2005,2005-11-27,11,27.071,ARI,,JAX,L 17-24,*,0,,,,,0.0%,,,,,,,,,,,,,
53,2005,2005-12-04,12,27.078,ARI,@,SFO,W 17-10,*,,,,,,0.0%,,,,,,,,,,,,,
54,2005,2005-12-11,13,27.085,ARI,,WAS,L 13-17,*,,,,,,0.0%,,,,,,,,,,,,,
55,2005,2005-12-18,14,27.092,ARI,@,HOU,L 19-30,*,,,,,,0.0%,,,,,,,,,,,,,
56,2005,2005-12-24,15,27.098,ARI,,PHI,W 27-21,,0,,,,,0.0%,,,,,,,,,,,,,
57,2005,2006-01-01,16,27.106,ARI,@,IND,L 13-17,*,0,,,,,0.0%,,,,,,,,,,,,,
58,2006,2006-09-10,1,27.358,ARI,,SFO,W 34-27,*,,,,,,0.0%,,,,,,,,,,,,,
59,2006,2006-09-17,2,28.000,ARI,@,SEA,L 10-21,,,,,,,0.0%,,,,,,,,,,,,,
60,2006,2006-09-24,3,28.007,ARI,,STL,L 14-16,*,,,,,,0.0%,,,,,,,,,,,,,
61,2006,2006-10-01,4,28.014,ARI,@,ATL,L 10-32,*,,,,,,0.0%,,,,,,,,,,,,,
62,2006,2006-10-08,5,28.021,ARI,,KAN,L 20-23,,,,,,,0.0%,,,,,,,,,,,,,
63,2006,2006-10-16,6,28.029,ARI,,CHI,L 23-24,,,,,,,0.0%,,,,,,,,,,,,,
64,2006,2006-10-22,7,28.035,ARI,@,OAK,L 9-22,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,0.0,,,0,0,0
65,2006,2006-10-29,8,28.042,ARI,@,GNB,L 14-31,,0,,,,,0.0%,,,,,,,,,,,,,
66,2006,2006-11-12,9,28.056,ARI,,DAL,L 10-27,*,,,,,,0.0%,,,,,,,,,,,,,
67,2006,2006-11-19,10,28.063,ARI,,DET,W 17-10,*,,,,,,0.0%,,,,,,,,,,,,,
68,2006,2006-11-26,11,28.070,ARI,@,MIN,L 26-31,,,,,,,0.0%,,,,,,,,,,,,,
69,2006,2006-12-03,12,28.077,ARI,@,STL,W 34-20,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,,0,0,0
70,2006,2006-12-10,13,28.084,ARI,,SEA,W 27-21,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,0,0,0
71,2006,2006-12-17,14,28.091,ARI,,DEN,L 20-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,0,0,0
72,2006,2006-12-24,15,28.098,ARI,@,SFO,W 26-20,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0.0,,,0,0,0
73,2006,2006-12-31,16,28.105,ARI,@,SDG,L 20-27,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,0,0,0
74,2008,2008-09-08,1,29.357,OAK,,DEN,L 14-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
75,2008,2008-09-21,3,30.004,OAK,@,BUF,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
76,2008,2008-09-28,4,30.011,OAK,,SDG,L 18-28,,,,,,,0.0%,,,,,,,,,,,,,
