ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-08,1,23.192,NWE,@,BUF,W 23-21,,0.0,0,0,6,236,39.33,0
2,2013,2013-09-12,2,23.196,NWE,,NYJ,W 13-10,,0.0,0,0,11,514,46.73,0
3,2013,2013-09-22,3,23.206,NWE,,TAM,W 23-3,,0.0,0,0,3,128,42.67,0
4,2013,2013-09-29,4,23.213,NWE,@,ATL,W 30-23,,0.0,0,0,2,110,55.00,0
5,2013,2013-10-06,5,23.220,NWE,@,CIN,L 6-13,,0.0,0,0,8,353,44.13,0
6,2013,2013-10-13,6,23.227,NWE,,NOR,W 30-27,,0.0,0,0,4,210,52.50,0
7,2013,2013-10-20,7,23.234,NWE,@,NYJ,L 27-30,,0.0,0,0,8,404,50.50,0
8,2013,2013-10-27,8,23.241,NWE,,MIA,W 27-17,,0.0,0,0,5,217,43.40,0
9,2013,2013-11-03,9,23.248,NWE,,PIT,W 55-31,,0.0,0,0,2,101,50.50,0
10,2013,2013-11-18,10,23.263,NWE,@,CAR,L 20-24,,0.0,0,0,1,34,34.00,0
11,2013,2013-11-24,11,23.269,NWE,,DEN,W 34-31,,0.0,0,0,6,267,44.50,0
12,2013,2013-12-01,12,23.276,NWE,@,HOU,W 34-31,,0.0,0,0,3,132,44.00,0
13,2013,2013-12-08,13,23.283,NWE,,CLE,W 27-26,,0.0,0,0,5,200,40.00,0
14,2013,2013-12-15,14,23.290,NWE,@,MIA,L 20-24,,0.0,0,0,3,146,48.67,0
15,2013,2013-12-22,15,23.297,NWE,@,BAL,W 41-7,,0.0,1,0,7,334,47.71,0
16,2013,2013-12-29,16,23.304,NWE,,BUF,W 34-20,,0.0,0,0,2,105,52.50,0
17,2014,2014-09-07,1,24.191,NWE,@,MIA,L 20-33,,0.0,0,0,5,241,48.20,1
18,2014,2014-09-14,2,24.198,NWE,@,MIN,W 30-7,,0.0,0,0,5,211,42.20,0
