ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1980,1980-09-07,1,22.269,MIA,@,BUF,L 7-17,,,,
2,1980,1980-09-14,2,22.276,MIA,,CIN,W 17-16,,,,
3,1980,1980-09-28,4,22.290,MIA,,NOR,W 21-16,,,,
4,1980,1980-10-12,6,22.304,MIA,@,NWE,L 0-34,,,,
5,1980,1980-10-19,7,22.311,MIA,,BUF,W 17-14,,,,
6,1980,1980-10-27,8,22.319,MIA,@,NYJ,L 14-17,,,,
7,1980,1980-11-02,9,22.325,MIA,@,OAK,L 10-16,,,,
8,1980,1980-11-09,10,22.332,MIA,@,RAM,W 35-14,,,,
9,1980,1980-11-16,11,22.339,MIA,,SFO,W 17-13,,,,
10,1980,1980-11-20,12,22.343,MIA,,SDG,L 24-27,2,64,32.00,0
11,1980,1980-11-30,13,22.353,MIA,@,PIT,L 10-23,,,,
12,1980,1980-12-08,14,22.361,MIA,,NWE,W 16-13,2,41,20.50,0
13,1980,1980-12-14,15,23.001,MIA,@,BAL,W 24-14,,,,
14,1980,1980-12-20,16,23.007,MIA,,NYJ,L 17-24,,,,
15,1981,1981-09-06,1,23.267,MIA,@,STL,W 20-7,,,,
16,1981,1981-09-10,2,23.271,MIA,,PIT,W 30-10,,,,
17,1981,1981-09-20,3,23.281,MIA,@,HOU,W 16-10,,,,
18,1981,1981-09-27,4,23.288,MIA,@,BAL,W 31-28,,,,
19,1981,1981-10-04,5,23.295,MIA,,NYJ,T 28-28,,,,
20,1981,1981-10-12,6,23.303,MIA,@,BUF,L 21-31,,,,
21,1981,1981-10-18,7,23.309,MIA,,WAS,W 13-10,,,,
22,1981,1981-10-25,8,23.316,MIA,@,DAL,L 27-28,,,,
23,1981,1981-11-01,9,23.323,MIA,,BAL,W 27-10,,,,
24,1981,1981-11-08,10,23.330,MIA,@,NWE,W 30-27,,,,
25,1981,1981-11-15,11,23.337,MIA,,OAK,L 17-33,,,,
26,1981,1981-11-22,12,23.344,MIA,@,NYJ,L 15-16,,,,
27,1981,1981-11-30,13,23.352,MIA,,PHI,W 13-10,,,,
28,1981,1981-12-06,14,23.358,MIA,,NWE,W 24-14,,,,
29,1981,1981-12-13,15,24.000,MIA,@,KAN,W 17-7,,,,
30,1981,1981-12-19,16,24.006,MIA,,BUF,W 16-6,,,,
31,1982,1982-12-26,8,25.013,BAL,@,SDG,L 26-44,,,,
