ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-09-03,1,24.174,GNB,,NYJ,L 16-20,,0,0,,0,4,145,36.25,0
2,2000,2000-09-10,2,24.181,GNB,@,BUF,L 18-27,,0,0,,0,7,299,42.71,0
3,2000,2000-09-17,3,24.188,GNB,,PHI,W 6-3,,0,0,,0,5,224,44.80,0
4,2000,2000-09-24,4,24.195,GNB,@,ARI,W 29-3,,0,0,,0,2,81,40.50,0
5,2000,2000-10-01,5,24.202,GNB,,CHI,L 24-27,,0,0,,0,6,244,40.67,0
6,2000,2000-10-08,6,24.209,GNB,@,DET,L 24-31,,0,0,,0,4,130,32.50,0
7,2000,2000-10-15,7,24.216,GNB,,SFO,W 31-28,,0,0,,0,5,192,38.40,0
8,2000,2000-10-29,8,24.230,GNB,@,MIA,L 20-28,,0,0,,0,5,177,35.40,0
9,2000,2000-11-06,9,24.238,GNB,,MIN,W 26-20,,0,0,,0,7,251,35.86,0
10,2000,2000-11-12,10,24.244,GNB,@,TAM,L 15-20,,0,0,,0,5,194,38.80,0
11,2000,2000-11-19,11,24.251,GNB,,IND,W 26-24,,0,0,,0,4,138,34.50,0
12,2000,2000-11-27,12,24.259,GNB,@,CAR,L 14-31,,0,0,,0,5,185,37.00,0
13,2000,2000-12-03,13,24.265,GNB,@,CHI,W 28-6,,0,0,,0,7,241,34.43,0
14,2000,2000-12-10,14,24.272,GNB,,DET,W 26-13,,0,0,,0,3,117,39.00,0
15,2000,2000-12-17,15,24.279,GNB,@,MIN,W 33-28,,0,0,,0,1,53,53.00,0
16,2000,2000-12-24,16,24.286,GNB,,TAM,W 17-14,,0,0,,0,8,332,41.50,0
17,2001,2001-09-09,1,25.180,GNB,,DET,W 28-6,,0,0,,0,4,171,42.75,0
18,2001,2001-09-24,2,25.195,GNB,,WAS,W 37-0,,0,0,,0,3,117,39.00,0
19,2001,2001-09-30,3,25.201,GNB,@,CAR,W 28-7,,0,0,,0,4,163,40.75,0
20,2001,2001-10-07,4,25.208,GNB,@,TAM,L 10-14,,0,0,,0,4,182,45.50,0
21,2001,2001-10-14,5,25.215,GNB,,BAL,W 31-23,,0,0,,0,4,157,39.25,0
22,2001,2001-10-21,6,25.222,GNB,@,MIN,L 13-35,,0,0,,0,5,226,45.20,0
23,2001,2001-11-04,7,25.236,GNB,,TAM,W 21-20,,0,0,,0,7,310,44.29,0
24,2001,2001-11-11,8,25.243,GNB,@,CHI,W 20-12,,0,0,,0,4,165,41.25,0
25,2001,2001-11-18,9,25.250,GNB,,ATL,L 20-23,,0,0,,0,4,191,47.75,0
26,2001,2001-11-22,10,25.254,GNB,@,DET,W 29-27,,0,0,,0,4,186,46.50,0
27,2001,2001-12-03,11,25.265,GNB,@,JAX,W 28-21,,0,0,,0,7,328,46.86,0
28,2001,2001-12-09,12,25.271,GNB,,CHI,W 17-7,,0,0,,0,7,287,41.00,0
29,2001,2001-12-16,13,25.278,GNB,@,TEN,L 20-26,,0,0,,0,6,257,42.83,0
30,2001,2001-12-23,14,25.285,GNB,,CLE,W 30-7,,0,0,,0,6,266,44.33,0
31,2001,2001-12-30,15,25.292,GNB,,MIN,W 24-13,,0,0,,0,8,259,32.38,0
32,2001,2002-01-06,16,25.299,GNB,@,NYG,W 34-25,,0,0,,0,5,220,44.00,0
33,2002,2002-09-08,1,26.179,GNB,,ATL,W 37-34,,0,0,,0,2,72,36.00,0
34,2002,2002-09-15,2,26.186,GNB,@,NOR,L 20-35,,0,0,,0,4,213,53.25,0
35,2002,2002-09-22,3,26.193,GNB,@,DET,W 37-31,,0,0,,0,4,163,40.75,0
36,2002,2002-09-29,4,26.200,GNB,,CAR,W 17-14,,0,0,,0,8,341,42.63,0
37,2002,2002-10-07,5,26.208,GNB,@,CHI,W 34-21,,0,0,,0,5,230,46.00,0
38,2002,2002-10-13,6,26.214,GNB,@,NWE,W 28-10,,0,0,,0,6,258,43.00,0
39,2002,2002-10-20,7,26.221,GNB,,WAS,W 30-9,,0,0,,0,3,95,31.67,0
40,2002,2002-11-04,8,26.236,GNB,,MIA,W 24-10,,0,0,,0,6,225,37.50,0
41,2002,2002-11-10,9,26.242,GNB,,DET,W 40-14,,0,0,,0,5,210,42.00,0
42,2002,2002-11-17,10,26.249,GNB,@,MIN,L 21-31,,0,0,,0,7,270,38.57,0
43,2002,2002-11-24,11,26.256,GNB,@,TAM,L 7-21,,0,0,,0,7,341,48.71,0
44,2002,2002-12-01,12,26.263,GNB,,CHI,W 30-20,,0,0,,0,3,134,44.67,0
45,2002,2002-12-08,13,26.270,GNB,,MIN,W 26-22,,0,0,,0,3,104,34.67,0
46,2002,2002-12-15,14,26.277,GNB,@,SFO,W 20-14,,0,0,,0,3,104,34.67,0
47,2002,2002-12-22,15,26.284,GNB,,BUF,W 10-0,,0,0,,0,7,283,40.43,0
48,2002,2002-12-29,16,26.291,GNB,@,NYJ,L 17-42,,0,0,,0,6,253,42.17,0
49,2003,2003-09-07,1,27.178,GNB,,MIN,L 25-30,,0,0,,0,2,79,39.50,0
50,2003,2003-09-14,2,27.185,GNB,,DET,W 31-6,,0,0,,0,7,280,40.00,0
51,2003,2003-09-21,3,27.192,GNB,@,ARI,L 13-20,,0,0,,0,4,173,43.25,0
52,2003,2003-09-29,4,27.200,GNB,@,CHI,W 38-23,,0,0,,0,3,118,39.33,0
53,2003,2003-10-05,5,27.206,GNB,,SEA,W 35-13,,0,0,,0,2,58,29.00,0
54,2003,2003-10-12,6,27.213,GNB,,KAN,L 34-40,,0,0,,0,4,179,44.75,0
55,2003,2003-10-19,7,27.220,GNB,@,STL,L 24-34,,0,0,,0,4,183,45.75,0
56,2003,2003-11-02,8,27.234,GNB,@,MIN,W 30-27,,0,0,,0,2,93,46.50,0
57,2003,2003-11-10,9,27.242,GNB,,PHI,L 14-17,,0,0,,0,7,290,41.43,0
58,2003,2003-11-16,10,27.248,GNB,@,TAM,W 20-13,,0,0,,0,7,302,43.14,0
59,2003,2003-11-23,11,27.255,GNB,,SFO,W 20-10,,0,0,,0,2,90,45.00,0
60,2003,2003-11-27,12,27.259,GNB,@,DET,L 14-22,,0,0,,0,6,233,38.83,0
61,2003,2003-12-07,13,27.269,GNB,,CHI,W 34-21,,0,0,,0,6,228,38.00,0
62,2003,2003-12-14,14,27.276,GNB,@,SDG,W 38-21,,0,0,,0,5,239,47.80,0
63,2003,2003-12-22,15,27.284,GNB,@,OAK,W 41-7,,0,0,,0,3,127,42.33,0
64,2003,2003-12-28,16,27.290,GNB,,DEN,W 31-3,,0,0,,0,5,203,40.60,0
65,2004,2004-09-12,1,28.183,TAM,@,WAS,L 10-16,,0,0,,0,9,361,40.11,0
66,2004,2004-09-19,2,28.190,TAM,,SEA,L 6-10,,0,0,,0,8,371,46.38,0
67,2004,2004-09-26,3,28.197,TAM,@,OAK,L 20-30,,0,0,,0,4,176,44.00,0
68,2004,2004-10-03,4,28.204,TAM,,DEN,L 13-16,,0,0,,0,5,221,44.20,0
69,2004,2004-10-10,5,28.211,TAM,@,NOR,W 20-17,,0,0,,0,3,139,46.33,0
70,2004,2004-10-18,6,28.219,TAM,@,STL,L 21-28,,0,0,,0,4,172,43.00,0
71,2004,2004-10-24,7,28.225,TAM,,CHI,W 19-7,,0,0,,0,5,217,43.40,0
72,2004,2004-11-07,8,28.239,TAM,,KAN,W 34-31,,0,0,,0,4,179,44.75,0
73,2004,2004-11-14,9,28.246,TAM,@,ATL,L 14-24,,0,0,,0,7,275,39.29,0
74,2004,2004-11-21,10,28.253,TAM,,SFO,W 35-3,,0,0,,0,5,243,48.60,0
75,2004,2004-11-28,11,28.260,TAM,@,CAR,L 14-21,,0,0,,0,2,93,46.50,0
76,2004,2004-12-05,12,28.267,TAM,,ATL,W 27-0,,0,0,,0,5,212,42.40,0
77,2004,2004-12-12,13,28.274,TAM,@,SDG,L 24-31,,0,0,,0,5,202,40.40,0
78,2004,2004-12-19,14,28.281,TAM,,NOR,L 17-21,,0,0,,0,5,186,37.20,0
79,2004,2004-12-26,15,28.288,TAM,,CAR,L 20-37,,0,0,,0,3,132,44.00,1
80,2004,2005-01-02,16,28.295,TAM,@,ARI,L 7-12,,0,0,,0,8,293,36.63,0
81,2005,2005-09-11,1,29.182,TAM,@,MIN,W 24-13,,0,0,,0,6,281,46.83,0
82,2005,2005-09-18,2,29.189,TAM,,BUF,W 19-3,,0,0,,0,6,277,46.17,0
83,2005,2005-09-25,3,29.196,TAM,@,GNB,W 17-16,,0,0,,0,6,284,47.33,0
84,2005,2005-10-02,4,29.203,TAM,,DET,W 17-13,,0,0,,0,3,140,46.67,0
85,2005,2005-10-09,5,29.210,TAM,@,NYJ,L 12-14,,0,0,,0,5,259,51.80,0
86,2005,2005-10-16,6,29.217,TAM,,MIA,W 27-13,,0,0,,0,7,342,48.86,0
87,2005,2005-10-30,7,29.231,TAM,@,SFO,L 10-15,,0,0,,0,8,349,43.63,0
88,2005,2005-11-06,8,29.238,TAM,,CAR,L 14-34,,0,0,,0,6,289,48.17,0
89,2005,2005-11-13,9,29.245,TAM,,WAS,W 36-35,,0,0,,0,4,181,45.25,0
90,2005,2005-11-20,10,29.252,TAM,@,ATL,W 30-27,,0,0,,0,3,150,50.00,0
91,2005,2005-11-27,11,29.259,TAM,,CHI,L 10-13,,0,0,,0,7,292,41.71,0
92,2005,2005-12-04,12,29.266,TAM,@,NOR,W 10-3,,0,0,,0,5,199,39.80,0
93,2005,2005-12-11,13,29.273,TAM,@,CAR,W 20-10,,0,0,,0,6,259,43.17,0
94,2005,2005-12-17,14,29.279,TAM,@,NWE,L 0-28,,0,0,,0,7,307,43.86,0
95,2005,2005-12-24,15,29.286,TAM,,ATL,W 27-24,,0,0,,0,5,216,43.20,0
96,2005,2006-01-01,16,29.294,TAM,,NOR,W 27-13,,0,0,,0,6,276,46.00,0
97,2006,2006-09-10,1,30.181,TAM,,BAL,L 0-27,,0,0,,0,8,372,46.50,0
98,2006,2006-09-17,2,30.188,TAM,@,ATL,L 3-14,,0,0,,0,4,170,42.50,0
