ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-18,1,22.148,NYJ,@,HOU,L 0-20,,,,,,,,
2,1977,1977-09-25,2,22.155,NYJ,,BAL,L 12-20,0,0,,0,1,20,20.00,0
3,1977,1977-10-02,3,22.162,NYJ,,NWE,W 30-27,,,,,,,,
4,1977,1977-10-09,4,22.169,NYJ,@,BUF,W 24-19,,,,,,,,
5,1977,1977-10-16,5,22.176,NYJ,@,MIA,L 17-21,,,,,,,,
6,1977,1977-10-23,6,22.183,NYJ,,OAK,L 27-28,,,,,,,,
7,1977,1977-10-30,7,22.190,NYJ,@,NWE,L 13-24,,,,,,,,
8,1977,1977-11-06,8,22.197,NYJ,,MIA,L 10-14,,,,,,,,
9,1977,1977-11-13,9,22.204,NYJ,,SEA,L 0-17,0,0,,0,1,12,12.00,0
10,1977,1977-11-20,10,22.211,NYJ,@,BAL,L 12-33,,,,,,,,
11,1977,1977-11-27,11,22.218,NYJ,,PIT,L 20-23,0,0,,0,2,32,16.00,0
12,1977,1977-12-04,12,22.225,NYJ,@,NOR,W 16-13,,,,,,,,
13,1977,1977-12-11,13,22.232,NYJ,,BUF,L 10-14,,,,,,,,
14,1977,1977-12-18,14,22.239,NYJ,@,PHI,L 0-27,,,,,,,,
15,1978,1978-09-03,1,23.133,NYJ,,MIA,W 33-20,,,,,,,,
16,1978,1978-09-10,2,23.140,NYJ,@,BUF,W 21-20,,,,,,,,
17,1978,1978-09-17,3,23.147,NYJ,,SEA,L 17-24,,,,,,,,
18,1978,1978-09-24,4,23.154,NYJ,@,WAS,L 3-23,,,,,,,,
19,1979,1979-09-09,2,24.139,NYJ,@,NWE,L 3-56,,,,,,,,
20,1979,1979-09-16,3,24.146,NYJ,,DET,W 31-10,,,,,,,,
21,1979,1979-09-23,4,24.153,NYJ,@,BUF,L 31-46,1,6,6.00,0,1,18,18.00,0
22,1979,1979-09-30,5,24.160,NYJ,,MIA,W 33-27,,,,,,,,
23,1979,1979-10-07,6,24.167,NYJ,@,BAL,L 8-10,1,3,3.00,0,0,0,,0
24,1979,1979-10-15,7,24.175,NYJ,,MIN,W 14-7,,,,,,,,
25,1979,1979-10-21,8,24.181,NYJ,,OAK,W 28-19,,,,,,,,
26,1979,1979-10-28,9,24.188,NYJ,@,HOU,L 24-27,,,,,,,,
27,1980,1980-09-07,1,25.137,BAL,@,NYJ,W 17-14,,,,,,,,
28,1980,1980-09-14,2,25.144,BAL,,PIT,L 17-20,,,,,,,,
29,1980,1980-09-21,3,25.151,BAL,@,HOU,L 16-21,,,,,,,,
30,1981,1981-11-01,9,26.192,WAS,,STL,W 42-21,,,,,,,,
31,1981,1981-11-08,10,26.199,WAS,,DET,W 33-31,,,,,,,,
32,1981,1981-11-15,11,26.206,WAS,@,NYG,W 30-27,,,,,,,,
33,1981,1981-11-22,12,26.213,WAS,@,DAL,L 10-24,,,,,,,,
34,1981,1981-11-29,13,26.220,WAS,@,BUF,L 14-21,,,,,,,,
35,1981,1981-12-06,14,26.227,WAS,,PHI,W 15-13,,,,,,,,
36,1981,1981-12-13,15,26.234,WAS,,BAL,W 38-14,,,,,,,,
37,1981,1981-12-20,16,26.241,WAS,@,RAM,W 30-7,,,,,,,,
