ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-15,3,21.272,TAM,@,GNB,L 13-15,,,,,,,,,,,,,,,,
2,1991,1991-09-22,4,21.279,TAM,,BUF,L 10-17,,,,,,,,,,,,,,,,
3,1991,1991-09-29,5,21.286,TAM,@,DET,L 3-31,,,,,,,,,,,,,,,,
4,1991,1991-10-06,6,21.293,TAM,,PHI,W 14-13,,,0,0,,0,,,0,0,,0,0.0,1,5,0
5,1991,1991-10-20,7,21.307,TAM,@,NOR,L 7-23,,,,,,,,,,,,,,,,
6,1991,1991-10-27,8,21.314,TAM,,GNB,L 0-27,,,,,,,,,,,,,,,,
7,1991,1991-11-03,9,21.321,TAM,@,MIN,L 13-28,,,,,,,,,,,,,,,,
8,1991,1991-11-10,10,21.328,TAM,,DET,W 30-21,,,,,,,,,,,,,,,,
9,1991,1991-11-17,11,21.335,TAM,@,ATL,L 7-43,,,,,,,,,,,,,,,,
10,1991,1991-11-24,12,21.342,TAM,,NYG,L 14-21,,,,,,,,,,,,,,,,
11,1991,1991-12-01,13,21.349,TAM,@,MIA,L 14-33,,,,,,,,,,,,,,,,
12,1991,1991-12-08,14,21.356,TAM,,MIN,L 24-26,,,,,,,,,,,,,,,,
13,1991,1991-12-14,15,21.362,TAM,@,CHI,L 0-27,,,,,,,,,,,,,,,,
14,1991,1991-12-22,16,22.005,TAM,,IND,W 17-3,,,,,,,,,,,,,,,,
15,1992,1992-09-06,1,22.264,TAM,,PHO,W 23-7,,,,,,,0.0%,,,,,,,,,
16,1992,1992-09-13,2,22.271,TAM,,GNB,W 31-3,,,,,,,0.0%,,,,,,,,,
17,1992,1992-09-20,3,22.278,TAM,@,MIN,L 20-26,,,,,,,0.0%,,,,,,,,,
18,1992,1992-09-27,4,22.285,TAM,@,DET,W 27-23,,,,,,,0.0%,,,,,,,,,
19,1992,1992-10-04,5,22.292,TAM,,IND,L 14-24,,,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0
20,1992,1992-10-18,6,22.306,TAM,@,CHI,L 14-31,,,,,,,0.0%,,,,,,,,,
21,1992,1992-10-25,7,22.313,TAM,,DET,L 7-38,,,,,,,0.0%,,,,,,,,,
22,1992,1992-11-01,8,22.320,TAM,@,NOR,L 21-23,,,0,0,,0,0.0%,,0,0,,0,0.0,1,1,0
23,1992,1992-11-08,9,22.327,TAM,,MIN,L 7-35,,,,,,,0.0%,,,,,,,,,
24,1992,1992-11-15,10,22.334,TAM,,CHI,W 20-17,,,,,,,0.0%,,,,,,,,,
25,1992,1992-11-22,11,22.341,TAM,@,SDG,L 14-29,,,,,,,0.0%,,,,,,,,,
26,1992,1992-11-29,12,22.348,TAM,@,GNB,L 14-19,,,,,,,0.0%,,,,,,,,,
27,1992,1992-12-06,13,22.355,TAM,,RAM,L 27-31,,,,,,,0.0%,,,,,,,,,
28,1992,1992-12-13,14,22.362,TAM,,ATL,L 7-35,,,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
29,1992,1992-12-19,15,23.002,TAM,@,SFO,L 14-21,,,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
30,1992,1992-12-27,16,23.010,TAM,@,PHO,W 7-3,,,,,,,0.0%,,,,,,,,,
31,1993,1993-09-05,1,23.262,TAM,,KAN,L 3-27,,,,,,,0.0%,,,,,,,,,
32,1993,1993-09-12,2,23.269,TAM,@,NYG,L 7-23,,,,,,,0.0%,,,,,,,,,
33,1993,1993-09-26,3,23.283,TAM,@,CHI,L 17-47,,,,,,,0.0%,,,,,,,,,
34,1993,1993-10-03,4,23.290,TAM,,DET,W 27-10,,,,,,,0.0%,,,,,,,,,
35,1993,1993-10-10,5,23.297,TAM,@,MIN,L 0-15,,,,,,,0.0%,,,,,,,,,
36,1993,1993-10-24,6,23.311,TAM,,GNB,L 14-37,,,,,,,0.0%,,,,,,,,,
37,1993,1993-10-31,7,23.318,TAM,@,ATL,W 31-24,,,,,,,0.0%,,,,,,,,,
38,1993,1993-11-07,8,23.325,TAM,@,DET,L 0-23,,,,,,,0.0%,,,,,,,,,
39,1993,1993-11-14,9,23.332,TAM,,SFO,L 21-45,,,,,,,0.0%,,,,,,,,,
40,1993,1993-11-21,10,23.339,TAM,,MIN,W 23-10,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
41,1993,1993-11-28,11,23.346,TAM,@,GNB,L 10-13,,,,,,,0.0%,,,,,,,,,
42,1993,1993-12-05,12,23.353,TAM,,WAS,L 17-23,,,,,,,0.0%,,,,,,,,,
43,1993,1993-12-12,13,23.360,TAM,,CHI,W 13-10,,,,,,,0.0%,,,,,,,,,
44,1993,1993-12-19,14,24.002,TAM,@,RAI,L 20-27,,,,,,,0.0%,,,,,,,,,
45,1993,1993-12-26,15,24.009,TAM,@,DEN,W 17-10,,,,,,,0.0%,,,,,,,,,
46,1993,1994-01-02,16,24.016,TAM,,SDG,L 17-32,,,,,,,0.0%,,,,,,,,,
47,1994,1994-09-04,1,24.261,TAM,@,CHI,L 9-21,,0,0,0,,0,0.0%,,0,0,,0,,,,
48,1994,1994-09-11,2,24.268,TAM,,IND,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,,,,
49,1994,1994-09-18,3,24.275,TAM,,NOR,L 7-9,,0,0,0,,0,0.0%,,0,0,,0,,,,
50,1994,1994-09-25,4,24.282,TAM,@,GNB,L 3-30,,0,0,0,,0,0.0%,,0,0,,0,,,,
51,1994,1994-10-02,5,24.289,TAM,,DET,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,,,,
52,1994,1994-10-09,6,24.296,TAM,@,ATL,L 13-34,,,0,0,,0,0.0%,,0,0,,0,,,,
53,1994,1994-10-23,7,24.310,TAM,@,SFO,L 16-41,,1,1,21,21.00,0,100.0%,21.00,1,0,0.00,0,0.0,0,0,0
54,1994,1994-10-30,8,24.317,TAM,,MIN,L 13-36,,0,0,0,,0,0.0%,,0,0,,0,,,,
55,1994,1994-11-06,9,24.324,TAM,,CHI,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,,,,
56,1994,1994-11-13,10,24.331,TAM,@,DET,L 9-14,,0,0,0,,0,0.0%,,0,0,,0,,,,
57,1994,1994-11-20,11,24.338,TAM,@,SEA,L 21-22,,0,0,0,,0,0.0%,,0,0,,0,,,,
