ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1959,1959-09-26,1,23.272,RAM,,NYG,L 21-23,1,6,6.00,0,0,0,,0,,,,,,,,,0,,,,
2,1960,1960-09-23,1,24.270,RAM,,STL,L 21-43,2,26,13.00,1,1,2,2.00,0,0,0,,0,0,0,,0,1,6,0,0,0
3,1960,1960-10-02,2,24.279,RAM,@,SFO,L 9-13,2,33,16.50,0,2,-3,-1.50,0,0,0,,0,0,0,,0,0,0,0,0,0
4,1960,1960-10-09,3,24.286,RAM,@,CHI,L 27-34,0,0,,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,0,0,0,0
5,1960,1960-10-16,4,24.293,RAM,@,BAL,L 17-31,2,37,18.50,0,6,17,2.83,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,1960-10-23,5,24.300,RAM,,CHI,T 24-24,2,25,12.50,1,1,7,7.00,0,0,0,,0,0,0,,0,1,6,0,0,0
7,1960,1960-10-30,6,24.307,RAM,,DET,W 48-35,0,0,,0,1,10,10.00,0,0,0,,0,0,0,,0,0,0,1,0,0
8,1960,1960-11-06,7,24.314,RAM,@,DAL,W 38-13,1,17,17.00,0,1,33,33.00,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1960,1960-11-13,8,24.321,RAM,@,DET,L 10-12,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
10,1960,1960-11-20,9,24.328,RAM,@,GNB,W 33-31,0,0,,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
11,1960,1960-12-17,12,24.355,RAM,,GNB,L 21-35,7,137,19.57,0,2,1,0.50,0,0,0,,0,0,0,,0,0,0,0,0,0
12,1961,1961-09-23,2,25.269,RAM,,CHI,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,10,0
13,1961,1961-10-15,5,25.291,RAM,@,DET,L 13-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
14,1962,1962-09-23,2,26.269,PIT,@,DAL,W 30-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
15,1962,1962-10-14,5,26.290,PIT,@,NYG,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,8,0
16,1962,1962-10-21,6,26.297,PIT,,DAL,L 27-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,10,0
17,1962,1962-10-28,7,26.304,PIT,,CLE,L 14-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
18,1962,1962-11-18,10,26.325,PIT,,WAS,W 23-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,30,0
19,1963,1963-09-15,1,27.261,PIT,@,PHI,T 21-21,0,0,,0,0,0,,0,1,41,41.00,0,1,5,5.00,0,0,0,1,27,0
20,1963,1963-09-22,2,27.268,PIT,,NYG,W 31-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
21,1963,1963-09-29,3,27.275,PIT,,STL,W 23-10,0,0,,0,0,0,,0,1,37,37.00,0,0,0,,0,0,0,2,31,0
22,1963,1963-10-05,4,27.281,PIT,@,CLE,L 23-35,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0,0,0
23,1963,1963-11-10,9,27.317,PIT,,CLE,W 9-7,0,0,,0,0,0,,0,1,22,22.00,0,1,16,16.00,0,0,0,0,0,0
24,1963,1963-11-17,10,27.324,PIT,@,WAS,W 34-28,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,1,32,0
25,1963,1963-11-24,11,27.331,PIT,,CHI,T 17-17,0,0,,0,0,0,,0,2,50,25.00,0,2,0,0.00,0,0,0,1,0,0
26,1963,1963-12-01,12,27.338,PIT,,PHI,T 20-20,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0,2,32,0
27,1963,1963-12-08,13,27.345,PIT,@,DAL,W 24-19,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0,0,0
28,1963,1963-12-15,14,27.352,PIT,@,NYG,L 17-33,0,0,,0,0,0,,0,4,69,17.25,0,1,0,0.00,0,0,0,0,0,0
29,1964,1964-09-27,3,28.274,PIT,,DAL,W 23-17,0,0,,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,0,0,0
30,1964,1964-10-04,4,28.281,PIT,@,PHI,L 7-21,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0,0,0,0,0,0
31,1964,1964-10-18,6,28.295,PIT,@,MIN,L 10-30,0,0,,0,0,0,,0,3,85,28.33,0,0,0,,0,0,0,0,0,0
32,1964,1964-11-08,9,28.316,PIT,@,STL,L 30-34,4,61,15.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
33,1964,1964-11-15,10,28.323,PIT,,WAS,L 0-30,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
34,1964,1964-11-22,11,28.330,PIT,@,NYG,W 44-17,2,30,15.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
35,1964,1964-11-29,12,28.337,PIT,,STL,L 20-21,4,113,28.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
36,1964,1964-12-06,13,28.344,PIT,@,WAS,W 14-7,2,37,18.50,0,1,4,4.00,0,0,0,,0,0,0,,0,0,0,0,0,0
37,1964,1964-12-13,14,28.351,PIT,@,DAL,L 14-17,3,66,22.00,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
38,1965,1965-10-03,3,29.279,PIT,,NYG,L 13-23,4,47,11.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
39,1965,1965-10-09,4,29.285,PIT,@,CLE,L 19-24,4,51,12.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
40,1965,1965-10-31,7,29.307,PIT,,DAL,W 22-13,4,66,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
41,1965,1965-11-07,8,29.314,PIT,@,STL,L 17-21,7,90,12.86,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
42,1965,1965-11-14,9,29.321,PIT,@,DAL,L 17-24,0,0,,0,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0,0,0
43,1965,1965-11-21,10,29.328,PIT,,WAS,L 3-31,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
44,1965,1965-11-28,11,29.335,PIT,,CLE,L 21-42,1,80,80.00,1,0,0,,0,0,0,,0,3,5,1.67,0,1,6,0,0,0
45,1965,1965-12-05,12,29.342,PIT,@,NYG,L 10-35,1,32,32.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
46,1965,1965-12-12,13,29.349,PIT,,PHI,L 13-47,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
47,1965,1965-12-19,14,29.356,PIT,@,WAS,L 14-35,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
48,1966,1966-09-11,1,30.257,PIT,,NYG,T 34-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
49,1966,1966-09-18,2,30.264,PIT,,DET,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
50,1967,1967-10-29,7,31.305,PIT,@,NOR,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,33,0
51,1967,1967-11-05,8,31.312,PIT,,CLE,L 14-34,0,0,,0,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0,0,0
52,1967,1967-11-12,9,31.319,PIT,@,STL,T 14-14,0,0,,0,0,0,,0,0,0,,0,2,-7,-3.50,0,0,0,0,0,0
53,1967,1967-11-19,10,31.326,PIT,@,NYG,L 20-28,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
54,1967,1967-11-26,11,31.333,PIT,,MIN,L 27-41,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,6,0
55,1967,1967-12-10,13,31.347,PIT,,WAS,L 10-15,0,0,,0,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0,0,0
56,1968,1968-11-03,8,32.311,PIT,@,ATL,W 41-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
57,1968,1968-11-24,11,32.332,PIT,,SFO,L 28-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
58,1968,1968-12-01,12,32.339,PIT,,STL,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
