ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1970,1970-09-18,1,25.364,RAM,,STL,W 34-13,0,0,,0,4,4,100.0,2,4,50.0,0,10
2,1970,1970-09-27,2,26.008,RAM,@,BUF,W 19-0,0,0,,0,1,1,100.0,4,6,66.7,0,13
3,1970,1970-10-04,3,26.015,RAM,,SDG,W 37-10,0,0,,0,4,4,100.0,3,4,75.0,0,13
4,1970,1970-10-11,4,26.022,RAM,,SFO,L 6-20,0,0,,0,,,,2,3,66.7,0,6
5,1970,1970-10-18,5,26.029,RAM,@,GNB,W 31-21,0,0,,0,4,4,100.0,1,2,50.0,0,7
6,1970,1970-10-26,6,26.037,RAM,@,MIN,L 3-13,0,0,,0,,,,1,1,100.0,0,3
7,1970,1970-11-01,7,26.043,RAM,@,NOR,W 30-17,0,0,,0,3,3,100.0,3,3,100.0,0,12
8,1970,1970-11-08,8,26.050,RAM,,ATL,T 10-10,1,11,11.00,0,1,1,100.0,1,4,25.0,0,4
9,1970,1970-11-15,9,26.057,RAM,,NYJ,L 20-31,0,0,,0,2,2,100.0,2,3,66.7,0,8
10,1970,1970-11-22,10,26.064,RAM,@,ATL,W 17-7,0,0,,0,2,2,100.0,1,3,33.3,0,5
11,1970,1970-11-29,11,26.071,RAM,@,SFO,W 30-13,0,0,,0,3,3,100.0,3,3,100.0,0,12
12,1970,1970-12-06,12,26.078,RAM,,NOR,W 34-16,0,0,,0,4,4,100.0,2,3,66.7,0,10
13,1970,1970-12-14,13,26.086,RAM,,DET,L 23-28,0,0,,0,2,2,100.0,3,4,75.0,0,11
14,1970,1970-12-20,14,26.092,RAM,@,NYG,W 31-3,0,0,,0,4,4,100.0,1,2,50.0,0,7
15,1971,1971-09-19,1,27.000,RAM,@,NOR,L 20-24,0,0,,0,2,2,100.0,2,2,100.0,0,8
16,1971,1971-09-26,2,27.007,RAM,,ATL,T 20-20,0,0,,0,2,2,100.0,2,2,100.0,0,8
17,1971,1971-10-03,3,27.014,RAM,,CHI,W 17-3,0,0,,0,2,2,100.0,1,2,50.0,0,5
18,1971,1971-10-10,4,27.021,RAM,@,SFO,W 20-13,0,0,,0,2,2,100.0,2,3,66.7,0,8
19,1971,1971-10-17,5,27.028,RAM,@,ATL,W 24-16,0,0,,0,3,3,100.0,1,1,100.0,0,6
20,1971,1971-10-24,6,27.035,RAM,,GNB,W 30-13,0,0,,0,3,3,100.0,3,3,100.0,0,12
21,1971,1971-10-31,7,27.042,RAM,,MIA,L 14-20,0,0,,0,2,2,100.0,,2,0.0,0,2
22,1971,1971-11-08,8,27.050,RAM,@,BAL,L 17-24,0,0,,0,2,2,100.0,1,2,50.0,0,5
23,1971,1971-11-14,9,27.056,RAM,@,DET,W 21-13,0,0,,0,3,3,100.0,,2,0.0,0,3
24,1971,1971-11-21,10,27.063,RAM,,SFO,W 17-6,0,0,,0,2,2,100.0,1,1,100.0,0,5
25,1971,1971-11-25,11,27.067,RAM,@,DAL,L 21-28,0,0,,0,3,3,100.0,,1,0.0,0,3
26,1971,1971-12-05,12,27.077,RAM,,NOR,W 45-28,0,0,,0,6,6,100.0,1,2,50.0,0,9
27,1971,1971-12-13,13,27.085,RAM,,WAS,L 24-38,0,0,,0,3,3,100.0,1,2,50.0,0,6
28,1971,1971-12-19,14,27.091,RAM,@,PIT,W 23-14,0,0,,0,2,2,100.0,3,4,75.0,0,11
29,1972,1972-09-17,1,27.364,RAM,,NOR,W 34-14,0,0,,0,4,4,100.0,2,3,66.7,0,10
30,1972,1972-09-24,2,28.005,RAM,@,CHI,T 13-13,0,0,,0,1,1,100.0,2,4,50.0,0,7
31,1972,1972-10-01,3,28.012,RAM,@,ATL,L 3-31,0,0,,0,,,,1,4,25.0,0,3
32,1972,1972-10-08,4,28.019,RAM,,SFO,W 31-7,0,0,,0,4,4,100.0,1,2,50.0,0,7
33,1972,1972-10-15,5,28.026,RAM,@,PHI,W 34-3,0,0,,0,4,4,100.0,2,3,66.7,0,10
34,1972,1972-10-22,6,28.033,RAM,,CIN,W 15-12,0,0,,0,1,1,100.0,2,2,100.0,0,7
35,1972,1972-10-29,7,28.040,RAM,@,OAK,L 17-45,0,0,,0,2,2,100.0,1,1,100.0,0,5
36,1972,1972-11-05,8,28.047,RAM,,ATL,W 20-7,0,0,,0,2,2,100.0,2,2,100.0,0,8
37,1972,1972-11-12,9,28.054,RAM,,DEN,L 10-16,0,0,,0,1,1,100.0,1,4,25.0,0,4
38,1972,1972-11-19,10,28.061,RAM,,MIN,L 41-45,0,0,,0,5,5,100.0,2,3,66.7,0,11
39,1972,1972-11-26,11,28.068,RAM,@,NOR,L 16-19,0,0,,0,1,1,100.0,3,6,50.0,0,10
40,1972,1972-12-04,12,28.076,RAM,@,SFO,W 26-16,0,0,,0,2,2,100.0,4,5,80.0,0,14
41,1972,1972-12-10,13,28.082,RAM,@,STL,L 14-24,0,0,,0,2,2,100.0,,1,0.0,0,2
42,1972,1972-12-17,14,28.089,RAM,,DET,L 17-34,0,0,,0,2,2,100.0,1,1,100.0,0,5
43,1973,1973-09-16,1,28.362,RAM,@,KAN,W 23-13,0,0,,0,2,3,66.7,1,3,33.3,0,5
44,1973,1973-09-23,2,29.004,RAM,,ATL,W 31-0,0,0,,0,4,4,100.0,1,3,33.3,0,7
45,1973,1973-09-30,3,29.011,RAM,@,SFO,W 40-20,0,0,,0,4,4,100.0,4,4,100.0,0,16
46,1973,1973-10-07,4,29.018,RAM,@,HOU,W 31-26,0,0,,0,4,4,100.0,1,2,50.0,0,7
47,1973,1973-10-14,5,29.025,RAM,,DAL,W 37-31,0,0,,0,4,4,100.0,3,4,75.0,0,13
48,1973,1973-10-21,6,29.032,RAM,,GNB,W 24-7,0,0,,0,2,2,100.0,2,3,66.7,0,8
49,1973,1973-10-28,7,29.039,RAM,@,MIN,L 9-10,0,0,,0,,,,3,5,60.0,0,9
50,1973,1973-11-04,8,29.046,RAM,@,ATL,L 13-15,0,0,,0,1,1,100.0,2,2,100.0,0,7
51,1973,1973-11-11,9,29.053,RAM,,NOR,W 29-7,0,0,,0,2,3,66.7,3,4,75.0,0,11
52,1973,1973-11-18,10,29.060,RAM,,SFO,W 31-13,0,0,,0,4,4,100.0,1,2,50.0,0,7
53,1973,1973-11-25,11,29.067,RAM,@,NOR,W 24-13,0,0,,0,3,3,100.0,1,3,33.3,0,6
54,1973,1973-12-02,12,29.074,RAM,@,CHI,W 26-0,0,0,,0,2,2,100.0,4,5,80.0,0,14
55,1973,1973-12-10,13,29.082,RAM,,NYG,W 40-6,0,0,,0,5,5,100.0,1,2,50.0,0,8
56,1973,1973-12-16,14,29.088,RAM,,CLE,W 30-17,0,0,,0,3,3,100.0,3,5,60.0,0,12
57,1974,1974-09-15,1,29.361,RAM,@,DEN,W 17-10,0,0,,0,2,2,100.0,1,2,50.0,0,5
58,1974,1974-09-22,2,30.003,RAM,,NOR,W 24-0,0,0,,0,3,3,100.0,1,1,100.0,0,6
59,1974,1974-09-29,3,30.010,RAM,@,NWE,L 14-20,0,0,,0,2,2,100.0,,1,0.0,0,2
60,1974,1974-10-06,4,30.017,RAM,,DET,W 16-13,0,0,,0,1,2,50.0,1,1,100.0,0,4
61,1974,1974-10-13,5,30.024,RAM,@,GNB,L 6-17,0,0,,0,,,,2,2,100.0,0,6
62,1974,1974-10-20,6,30.031,RAM,,SFO,W 37-14,0,0,,0,4,5,80.0,1,2,50.0,0,7
63,1974,1974-10-27,7,30.038,RAM,@,NYJ,W 20-13,0,0,,0,2,3,66.7,,1,0.0,0,2
64,1974,1974-11-04,8,30.046,RAM,@,SFO,W 15-13,0,0,,0,,1,0.0,1,1,100.0,0,3
65,1974,1974-11-10,9,30.052,RAM,,ATL,W 21-0,0,0,,0,3,3,100.0,,,,0,3
66,1974,1974-11-17,10,30.059,RAM,@,NOR,L 7-20,0,0,,0,1,1,100.0,,1,0.0,0,1
67,1974,1974-11-24,11,30.066,RAM,,MIN,W 20-17,0,0,,0,2,3,66.7,,,,0,2
68,1974,1974-12-01,12,30.073,RAM,@,ATL,W 30-7,0,0,,0,3,4,75.0,1,2,50.0,0,6
69,1974,1974-12-09,13,30.081,RAM,,WAS,L 17-23,0,0,,0,2,2,100.0,1,2,50.0,0,5
