ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2007,2007-09-09,1,23.092,NWE,@,NYJ,W 38-14,,1,-1,-1.00,0,0,0,,0,0,0,,0,,,
2,2007,2007-09-16,2,23.099,NWE,,SDG,W 38-14,,2,-2,-1.00,0,0,0,,0,0,0,,0,,,
3,2007,2007-10-21,7,23.134,NWE,@,MIA,W 49-28,,0,0,,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00
4,2007,2007-10-28,8,23.141,NWE,,WAS,W 52-7,,2,-10,-5.00,0,0,0,,0,0,0,,0,,,
5,2007,2007-12-23,15,23.197,NWE,,MIA,W 28-7,,0,0,,0,0,0,,0,0,0,,0,,,
6,2009,2009-10-25,7,25.138,KAN,,SDG,L 7-37,,0,0,,0,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00
