ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-16,2,23.162,SEA,@,ARI,L 20-23,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,,
2,2007,2007-09-23,3,23.169,SEA,,CIN,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
3,2007,2007-10-14,6,23.190,SEA,,NOR,L 17-28,,0,0,0,,0,0.0%,,1,27,27.00,0,0.0,,
4,2007,2007-10-21,7,23.197,SEA,,STL,W 33-6,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0.0,,
5,2007,2007-11-04,8,23.211,SEA,@,CLE,L 30-33,,,0,0,,0,0.0%,,0,0,,0,0.0,,
6,2007,2007-11-12,9,23.219,SEA,,SFO,W 24-0,,,0,0,,0,0.0%,,0,0,,0,0.0,,
7,2007,2007-12-02,12,23.239,SEA,@,PHI,W 28-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
8,2007,2007-12-30,16,23.267,SEA,@,ATL,L 41-44,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0.0,,
9,2008,2008-09-07,1,24.153,SEA,@,BUF,L 10-34,*,9,2,19,9.50,0,22.2%,2.11,0,0,,0,0.0,1,0
10,2008,2008-09-14,2,24.160,SEA,,SFO,L 30-33,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0.0,0,0
11,2008,2008-09-21,3,24.167,SEA,,STL,W 37-13,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
12,2008,2008-11-16,10,24.223,SEA,,ARI,L 20-26,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
13,2008,2008-11-23,11,24.230,SEA,,WAS,L 17-20,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
14,2008,2008-11-27,12,24.234,SEA,@,DAL,L 9-34,*,,,,,,0.0%,,,,,,,,
15,2008,2008-12-07,13,24.244,SEA,,NWE,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
16,2008,2008-12-14,14,24.251,SEA,@,STL,W 23-20,,1,,,,,0.0%,,,,,,,,
17,2008,2008-12-21,15,24.258,SEA,,NYJ,W 13-3,,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0.0,1,1
18,2008,2008-12-28,16,24.265,SEA,@,ARI,L 21-34,*,3,,,,,0.0%,,,,,,,,
