ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2004,2004-11-25,11,25.222,DET,,IND,L 9-41,,3,1,11,11.00,0,33.3%,3.67,0,0,,0
2,2004,2004-12-05,12,25.232,DET,,ARI,W 26-12,,,,,,,0.0%,,,,,
3,2004,2004-12-12,13,25.239,DET,@,GNB,L 13-16,,,,,,,0.0%,,,,,
4,2004,2004-12-19,14,25.246,DET,,MIN,L 27-28,,,,,,,0.0%,,,,,
5,2004,2004-12-26,15,25.253,DET,,CHI,W 19-13,,2,,,,,0.0%,,,,,
6,2004,2005-01-02,16,25.260,DET,@,TEN,L 19-24,*,4,2,40,20.00,0,50.0%,10.00,0,0,,0
7,2005,2005-10-09,4,26.175,DET,,BAL,W 35-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0
8,2005,2005-10-16,5,26.182,DET,,CAR,L 20-21,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0
9,2005,2005-10-23,6,26.189,DET,@,CLE,W 13-10,,7,5,34,6.80,0,71.4%,4.86,0,0,,0
10,2005,2005-10-30,7,26.196,DET,,CHI,L 13-19,*,8,5,61,12.20,0,62.5%,7.63,1,7,7.00,0
11,2005,2005-11-06,8,26.203,DET,@,MIN,L 14-27,*,15,9,109,12.11,0,60.0%,7.27,0,0,,0
12,2005,2005-11-13,9,26.210,DET,,ARI,W 29-21,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0
13,2005,2005-11-20,10,26.217,DET,@,DAL,L 7-20,*,,0,0,,0,0.0%,,0,0,,0
14,2005,2005-11-24,11,26.221,DET,,ATL,L 7-27,*,8,6,70,11.67,0,75.0%,8.75,0,0,,0
15,2005,2005-12-04,12,26.231,DET,,MIN,L 16-21,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0
16,2005,2005-12-11,13,26.238,DET,@,GNB,L 13-16,*,5,1,22,22.00,0,20.0%,4.40,0,0,,0
17,2005,2005-12-18,14,26.245,DET,,CIN,L 17-41,*,5,4,27,6.75,0,80.0%,5.40,0,0,,0
18,2005,2005-12-24,15,26.251,DET,@,NOR,W 13-12,*,2,0,0,,0,0.0%,0.00,0,0,,0
19,2005,2006-01-01,16,26.259,DET,@,PIT,L 21-35,*,10,4,44,11.00,0,40.0%,4.40,0,0,,0
