ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1987,1987-12-13,13,22.126,ATL,@,RAM,L 0-33,,10,20,50.00,170,0,1,58.3,0,0,8.50,6.25,2,13,6.50,0,,,,,,,0,0
2,1987,1987-12-20,14,22.133,ATL,@,SFO,L 7-35,*,13,36,36.11,186,0,4,14.1,3,21,5.17,0.17,1,3,3.00,0,,,,,,,0,0
3,1987,1987-12-27,15,22.140,ATL,,DET,L 13-30,*,16,36,44.44,196,1,4,31.5,2,16,5.44,1.00,1,5,5.00,0,,,,,,,0,0
4,1988,1988-09-04,1,23.026,ATL,@,DET,L 17-31,*,24,36,66.67,205,1,1,79.1,2,22,5.69,5.00,4,49,12.25,0,,,,,,,0,0
5,1988,1988-09-11,2,23.033,ATL,,NOR,L 21-29,*,15,29,51.72,179,2,1,79.5,3,33,6.17,6.00,4,14,3.50,0,,,,,,,0,0
6,1988,1988-09-18,3,23.040,ATL,@,SFO,W 34-17,*,12,24,50.00,175,0,2,39.4,1,4,7.29,3.54,5,17,3.40,1,,,,,,,1,6
7,1988,1988-09-25,4,23.047,ATL,@,DAL,L 20-26,*,10,21,47.62,218,2,1,96.9,4,28,10.38,10.14,0,0,,0,,,,,,,0,0
8,1988,1988-10-23,8,23.075,ATL,,NYG,L 16-23,*,14,30,46.67,138,0,1,46.3,2,11,4.60,3.10,3,14,4.67,0,,,,,,,0,0
9,1988,1988-10-30,9,23.082,ATL,@,PHI,W 27-24,*,10,23,43.48,235,3,0,120.5,4,33,10.22,12.83,2,9,4.50,0,,,,,,,0,0
10,1988,1988-11-06,10,23.089,ATL,,GNB,W 20-0,*,15,25,60.00,177,1,2,61.6,0,0,7.08,4.28,3,11,3.67,0,,,,,,,0,0
