ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1988,1988-09-04,1,22.111,BUF,,MIN,W 13-10,,18,86,4.78,1,,2,27,13.50,0,,,0,0,,0,0,0,,,,,,1,6
2,1988,1988-09-11,2,22.118,BUF,,MIA,W 9-6,,21,74,3.52,0,,3,57,19.00,0,,,0,0,,0,0,0,,,,,,0,0
3,1988,1988-09-18,3,22.125,BUF,@,NWE,W 16-14,,17,55,3.24,0,,5,37,7.40,0,,,0,0,,0,0,0,,,,,,0,0
4,1988,1988-09-25,4,22.132,BUF,,PIT,W 36-28,,16,49,3.06,0,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0
5,1988,1988-10-02,5,22.139,BUF,@,CHI,L 3-24,,5,12,2.40,0,,1,33,33.00,0,,,0,0,,0,0,0,,,,,,0,0
6,1988,1988-10-09,6,22.146,BUF,,IND,W 34-23,,13,48,3.69,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
7,1988,1988-10-17,7,22.154,BUF,@,NYJ,W 37-14,,11,43,3.91,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
8,1988,1988-10-23,8,22.160,BUF,,NWE,W 23-20,,20,84,4.20,0,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0
9,1988,1988-10-30,9,22.167,BUF,,GNB,W 28-0,,23,116,5.04,0,,2,13,6.50,0,,,0,0,,0,0,0,,,,,,0,0
10,1988,1988-11-06,10,22.174,BUF,@,SEA,W 13-3,,6,21,3.50,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
11,1988,1988-11-20,12,22.188,BUF,,NYJ,W 9-6,,17,88,5.18,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
12,1988,1988-11-27,13,22.195,BUF,@,CIN,L 21-35,,10,71,7.10,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
13,1988,1988-12-04,14,22.202,BUF,@,TAM,L 5-10,,7,1,0.14,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,0,0
14,1988,1988-12-11,15,22.209,BUF,,RAI,W 37-21,,14,106,7.57,1,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,1,6
