ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-09-07,1,22.082,MIN,@,GNB,W 30-25,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
2,2003,2003-09-14,2,22.089,MIN,,CHI,W 24-13,,0,0,0,,0,0.0%,,1,17,17.00,0,2,36,18.00,0
3,2003,2003-09-21,3,22.096,MIN,@,DET,W 23-13,,0,0,0,,0,0.0%,,1,18,18.00,0,2,11,5.50,0
4,2003,2003-09-28,4,22.103,MIN,,SFO,W 35-7,,0,0,0,,0,0.0%,,0,0,,0,1,5,5.00,0
5,2003,2003-10-05,5,22.110,MIN,@,ATL,W 39-26,,0,0,0,,0,0.0%,,1,30,30.00,0,1,8,8.00,0
6,2003,2003-10-19,6,22.124,MIN,,DEN,W 28-20,,0,0,0,,0,0.0%,,1,21,21.00,0,3,24,8.00,0
7,2003,2003-10-26,7,22.131,MIN,,NYG,L 17-29,*,6,2,15,7.50,0,33.3%,2.50,3,59,19.67,0,2,18,9.00,0
8,2003,2003-11-02,8,22.138,MIN,,GNB,L 27-30,,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0
9,2003,2003-11-09,9,22.145,MIN,@,SDG,L 28-42,,0,0,0,,0,0.0%,,1,42,42.00,0,1,15,15.00,0
10,2003,2003-11-16,10,22.152,MIN,@,OAK,L 18-28,,0,0,0,,0,0.0%,,1,15,15.00,0,1,11,11.00,0
11,2003,2003-11-23,11,22.159,MIN,,DET,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,5,59,11.80,0
12,2003,2003-11-30,12,22.166,MIN,@,STL,L 17-48,,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0
13,2003,2003-12-07,13,22.173,MIN,,SEA,W 34-7,,0,0,0,,0,0.0%,,0,0,,0,4,10,2.50,0
14,2003,2003-12-14,14,22.180,MIN,@,CHI,L 10-13,,0,0,0,,0,0.0%,,1,16,16.00,0,2,-1,-0.50,0
15,2003,2003-12-20,15,22.186,MIN,,KAN,W 45-20,,0,0,0,,0,0.0%,,1,31,31.00,0,4,14,3.50,0
16,2003,2003-12-28,16,22.194,MIN,@,ARI,L 17-18,,0,0,0,,0,0.0%,,0,0,,0,4,14,3.50,0
17,2004,2004-09-20,2,23.095,MIN,@,PHI,L 16-27,,0,,,,,0.0%,,,,,,,,,
18,2004,2004-09-26,3,23.101,MIN,,CHI,W 27-22,,0,0,0,,0,0.0%,,2,45,22.50,0,2,33,16.50,0
19,2004,2004-10-10,4,23.115,MIN,@,HOU,W 34-28,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0
20,2005,2005-09-11,1,24.086,MIN,,TAM,L 13-24,,0,0,0,,0,0.0%,,0,0,,0,5,54,10.80,0
21,2005,2005-09-18,2,24.093,MIN,@,CIN,L 8-37,,0,0,0,,0,0.0%,,0,0,,0,1,5,5.00,0
22,2005,2005-09-25,3,24.100,MIN,,NOR,W 33-16,,0,0,0,,0,0.0%,,0,0,,0,3,8,2.67,0
23,2005,2005-10-16,5,24.121,MIN,@,CHI,L 3-28,,0,0,0,,0,0.0%,,0,0,,0,3,11,3.67,0
