ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2017,2017-09-10,1,22.128,PIT,@,CLE,W 21-18,,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0
2,2017,2017-09-17,2,22.135,PIT,,MIN,W 26-9,,1,9,9.00,0,0,0,0,,0,0.0%,,,0,0
3,2017,2017-09-24,3,22.142,PIT,@,CHI,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,,0,0
4,2017,2017-10-01,4,22.149,PIT,@,BAL,W 26-9,,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0
5,2017,2017-10-08,5,22.156,PIT,,JAX,L 9-30,,3,9,3.00,0,1,0,0,,0,0.0%,0.00,,0,0
6,2017,2017-10-15,6,22.163,PIT,@,KAN,W 19-13,,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0
7,2017,2017-10-22,7,22.170,PIT,,CIN,W 29-14,,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0
8,2017,2017-10-29,8,22.177,PIT,@,DET,W 20-15,,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0
9,2017,2017-11-12,9,22.191,PIT,@,IND,W 20-17,,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0
10,2017,2017-11-16,10,22.195,PIT,,TEN,W 40-17,,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0
11,2017,2017-11-26,11,22.205,PIT,,GNB,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,,0,0
12,2017,2017-12-04,12,22.213,PIT,@,CIN,W 23-20,,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0
13,2017,2017-12-10,13,22.219,PIT,,BAL,W 39-38,,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0
14,2017,2017-12-17,14,22.226,PIT,,NWE,L 24-27,,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0
15,2018,2018-09-09,1,23.127,PIT,@,CLE,T 21-21,*,31,135,4.35,2,6,5,57,11.40,0,83.3%,9.50,,2,12
16,2018,2018-09-16,2,23.134,PIT,,KAN,L 37-42,*,8,17,2.13,1,5,5,48,9.60,0,100.0%,9.60,1,1,8
17,2018,2018-09-24,3,23.142,PIT,@,TAM,W 30-27,,15,61,4.07,0,6,5,34,6.80,0,83.3%,5.67,,0,0
