ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,22.279,WAS,,ARI,W 31-23,,0,0,,0,0,0,0,,0,0.0%,,2,10,5.00,0,,0,0,0.0,,
2,2002,2002-09-16,2,22.287,WAS,,PHI,L 7-37,,,,,,0,,,,,0.0%,,,,,,,,,,,
3,2002,2002-09-22,3,22.293,WAS,@,SFO,L 10-20,,0,0,,0,2,2,29,14.50,0,100.0%,14.50,0,0,,0,,0,0,0.0,,
4,2002,2002-10-06,4,22.307,WAS,@,TEN,W 31-14,,,,,,,,,,,0.0%,,,,,,,,,,,
5,2002,2002-10-13,5,22.314,WAS,,NOR,L 27-43,,,,,,,,,,,0.0%,,,,,,,,,,,
6,2002,2002-10-20,6,22.321,WAS,@,GNB,L 9-30,,,,,,,,,,,0.0%,,,,,,,,,,,
7,2002,2002-10-27,7,22.328,WAS,,IND,W 26-21,,0,0,,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,,
8,2002,2002-11-03,8,22.335,WAS,@,SEA,W 14-3,,0,0,,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,,
9,2002,2002-11-10,9,22.342,WAS,@,JAX,L 7-26,,,,,,,,,,,0.0%,,,,,,,,,,,
10,2002,2002-11-17,10,22.349,WAS,@,NYG,L 17-19,,0,0,,0,0,0,0,,0,0.0%,,2,27,13.50,0,,0,0,0.0,,
11,2002,2002-11-24,11,22.356,WAS,,STL,W 20-17,,0,0,,0,3,3,46,15.33,0,100.0%,15.33,0,0,,0,,0,0,0.0,,
12,2002,2002-11-28,12,22.360,WAS,@,DAL,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,4,80,20.00,0,,0,0,0.0,,
13,2002,2002-12-08,13,23.005,WAS,,NYG,L 21-27,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
14,2002,2002-12-15,14,23.012,WAS,@,PHI,L 21-34,,0,0,,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,,
15,2002,2002-12-22,15,23.019,WAS,,HOU,W 26-10,,2,21,10.50,0,2,1,12,12.00,1,50.0%,6.00,0,0,,0,,1,6,0.0,,
16,2002,2002-12-29,16,23.026,WAS,,DAL,W 20-14,,0,0,,0,0,0,0,,0,0.0%,,2,52,26.00,0,,0,0,0.0,,
