ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,22.284,NOR,,CLE,W 28-21,,,,,,,,0,0,,0,,,,,,
2,1987,1987-09-20,2,22.291,NOR,@,PHI,L 17-27,,,,,,,,0,0,,0,,,,,,
3,1987,1987-11-29,11,22.361,NOR,@,PIT,W 20-16,,,,,,,,0,0,,0,,,,,,
4,1987,1987-12-06,12,23.003,NOR,,TAM,W 44-34,,,,,,,,0,0,,0,,,,,,
5,1987,1987-12-13,13,23.010,NOR,,HOU,W 24-10,,0,0,,0,,,1,3,3.00,0,0,0,0.0,0,0,0
6,1987,1987-12-20,14,23.017,NOR,@,CIN,W 41-24,,,,,,,,0,0,,0,,,,,,
7,1987,1987-12-27,15,23.024,NOR,,GNB,W 33-24,,,,,,,,0,0,,0,,,,,,
8,1988,1988-09-04,1,23.276,NOR,,SFO,L 33-34,,,,,,,,,,,,,,,,,
9,1988,1988-09-11,2,23.283,NOR,@,ATL,W 29-21,,,,,,,,,,,,,,,,,
10,1988,1988-09-18,3,23.290,NOR,@,DET,W 22-14,,,,,,,,,,,,,,,,,
11,1988,1988-09-25,4,23.297,NOR,,TAM,W 13-9,,,,,,,,,,,,,,,,,
12,1988,1988-10-03,5,23.305,NOR,,DAL,W 20-17,,,,,,,,,,,,,,,,,
13,1988,1988-10-09,6,23.311,NOR,@,SDG,W 23-17,,,,,,,,,,,,,,,,,
14,1988,1988-10-16,7,23.318,NOR,@,SEA,W 20-19,,,,,,,,,,,,,,,,,
15,1988,1988-10-23,8,23.325,NOR,,RAI,W 20-6,,,,,,,,,,,,,,,,,
16,1988,1988-10-30,9,23.332,NOR,,RAM,L 10-12,,,,,,,,,,,,,,,,,
17,1988,1988-11-06,10,23.339,NOR,@,WAS,L 24-27,,,,,,,,,,,,,,,,,
18,1988,1988-11-13,11,23.346,NOR,@,RAM,W 14-10,,,,,,,,,,,,,,,,,
