ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2007,2007-09-09,1,24.295,JAX,,TEN,L 10-13,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
2,2007,2007-09-16,2,24.302,JAX,,ATL,W 13-7,,,0,0,,0,0.0%,,0,0,,0
3,2007,2007-09-23,3,24.309,JAX,@,DEN,W 23-14,,1,1,23,23.00,0,100.0%,23.00,0,0,,0
4,2007,2007-10-07,4,24.323,JAX,@,KAN,W 17-7,,3,3,38,12.67,0,100.0%,12.67,0,0,,0
5,2007,2007-10-14,5,24.330,JAX,,HOU,W 37-17,,,0,0,,0,0.0%,,0,0,,0
6,2007,2007-10-22,6,24.338,JAX,,IND,L 7-29,,4,1,22,22.00,0,25.0%,5.50,0,0,,0
7,2007,2007-10-28,7,24.344,JAX,@,TAM,W 24-23,,1,1,30,30.00,0,100.0%,30.00,0,0,,0
8,2007,2007-11-11,9,24.358,JAX,@,TEN,W 28-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
9,2007,2007-11-18,10,25.000,JAX,,SDG,W 24-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0
10,2007,2007-11-25,11,25.007,JAX,,BUF,W 36-14,,2,0,0,,0,0.0%,0.00,0,0,,0
11,2008,2008-09-07,1,25.294,JAX,@,TEN,L 10-17,,0,,,,,0.0%,,,,,
12,2008,2008-09-14,2,25.301,JAX,,BUF,L 16-20,,1,,,,,0.0%,,,,,
13,2008,2008-09-21,3,25.308,JAX,@,IND,W 23-21,,,,,,,0.0%,,,,,
14,2008,2008-09-28,4,25.315,JAX,,HOU,W 30-27,,,,,,,0.0%,,,,,
15,2008,2008-10-05,5,25.322,JAX,,PIT,L 21-26,,0,0,0,,0,0.0%,,0,0,,0
16,2008,2008-10-12,6,25.329,JAX,@,DEN,W 24-17,,2,2,26,13.00,0,100.0%,13.00,0,0,,0
17,2008,2008-10-26,7,25.343,JAX,,CLE,L 17-23,,,,,,,0.0%,,,,,
18,2008,2008-11-02,8,25.350,JAX,@,CIN,L 19-21,,1,1,14,14.00,0,100.0%,14.00,0,0,,0
19,2008,2008-11-09,9,25.357,JAX,@,DET,W 38-14,,,,,,,0.0%,,,,,
20,2008,2008-11-16,10,25.364,JAX,,TEN,L 14-24,,1,0,0,,0,0.0%,0.00,0,0,,0
21,2008,2008-11-23,11,26.005,JAX,,MIN,L 12-30,*,2,2,28,14.00,0,100.0%,14.00,0,0,,0
22,2008,2008-12-01,12,26.013,JAX,@,HOU,L 17-30,,0,0,0,,0,0.0%,,0,0,,0
23,2008,2008-12-07,13,26.019,JAX,@,CHI,L 10-23,,2,,,,,0.0%,,,,,
24,2008,2008-12-14,14,26.026,JAX,,GNB,W 20-16,,5,4,36,9.00,0,80.0%,7.20,0,0,,0
25,2008,2008-12-18,15,26.030,JAX,,IND,L 24-31,,,,,,,0.0%,,,,,
26,2008,2008-12-28,16,26.040,JAX,@,BAL,L 7-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
27,2009,2009-09-13,1,26.299,JAX,@,IND,L 12-14,,2,0,0,,0,0.0%,0.00,0,0,,0
28,2009,2009-09-20,2,26.306,JAX,,ARI,L 17-31,*,1,,,,,0.0%,,,,,
29,2009,2009-10-18,6,26.334,CLE,@,PIT,L 14-27,,1,0,0,,0,0.0%,0.00,1,9,9.00,0
30,2009,2009-10-25,7,26.341,CLE,,GNB,L 3-31,,2,2,10,5.00,0,100.0%,5.00,0,0,,0
31,2009,2009-11-22,10,27.004,CLE,@,DET,L 37-38,,3,1,18,18.00,0,33.3%,6.00,0,0,,0
32,2009,2009-11-29,11,27.011,CLE,@,CIN,L 7-16,,4,1,17,17.00,0,25.0%,4.25,0,0,,0
