ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2014,2014-09-07,1,22.280,SFO,@,DAL,W 28-17,,0,0,,0,0,0,0.0,2,0,0,0,0
2,2014,2014-09-14,2,22.287,SFO,,CHI,L 20-28,,0,0,,0,0,0,0.0,0,1,0,0,0
3,2014,2014-09-21,3,22.294,SFO,@,ARI,L 14-23,,,,,,,,,,,,,
4,2014,2014-09-28,4,22.301,SFO,,PHI,W 26-21,,,,,,,,,,,,,
5,2014,2014-10-05,5,22.308,SFO,,KAN,W 22-17,,,,,,,,,,,,,
6,2014,2014-10-13,6,22.316,SFO,@,STL,W 31-17,,0,0,,0,0,6,0.0,1,0,1,20,1
7,2014,2014-10-19,7,22.322,SFO,@,DEN,L 17-42,,0,0,,0,0,0,0.0,1,1,0,0,0
8,2014,2014-11-02,8,22.336,SFO,,STL,L 10-13,,,,,,,,,,,,,
9,2014,2014-11-09,9,22.343,SFO,@,NOR,W 27-24,,0,0,,0,0,0,0.0,1,0,0,0,0
10,2014,2014-11-16,10,22.350,SFO,@,NYG,W 16-10,,0,0,,0,0,0,0.0,2,1,0,0,0
11,2014,2014-11-23,11,22.357,SFO,,WAS,W 17-13,,0,0,,0,0,0,0.0,1,0,0,0,0
12,2014,2014-11-27,12,22.361,SFO,,SEA,L 3-19,,,,,,,,,,,,,
13,2014,2014-12-07,13,23.006,SFO,@,OAK,L 13-24,,0,0,,0,0,0,0.0,5,2,0,0,0
14,2014,2014-12-14,14,23.013,SFO,@,SEA,L 7-17,*,0,0,,0,0,0,0.0,3,1,0,0,0
15,2014,2014-12-20,15,23.019,SFO,,SDG,L 35-38,*,0,0,,0,0,0,0.0,5,1,0,0,0
16,2014,2014-12-28,16,23.027,SFO,,ARI,W 20-17,*,0,0,,0,0,0,0.0,5,1,0,0,0
17,2015,2015-09-14,1,23.287,SFO,,MIN,W 20-3,,0,0,,0,0,0,0.0,2,0,0,0,0
18,2015,2015-09-20,2,23.293,SFO,@,PIT,L 18-43,,0,0,,0,0,0,0.0,1,0,0,0,0
19,2015,2015-09-27,3,23.300,SFO,@,ARI,L 7-47,,0,0,,0,0,0,0.0,1,1,0,0,0
20,2015,2015-10-04,4,23.307,SFO,,GNB,L 3-17,,0,0,,0,0,0,0.0,0,0,0,0,0
21,2015,2015-10-11,5,23.314,SFO,@,NYG,L 27-30,,0,0,,0,0,0,0.0,0,0,0,0,0
22,2015,2015-10-18,6,23.321,SFO,,BAL,W 25-20,,0,0,,0,0,0,0.0,0,0,0,0,0
23,2015,2015-10-22,7,23.325,SFO,,SEA,L 3-20,,0,0,,0,0,0,0.0,0,0,0,0,0
24,2015,2015-11-01,8,23.335,SFO,@,STL,L 6-27,,0,0,,0,0,0,0.0,0,0,0,0,0
25,2015,2015-11-08,9,23.342,SFO,,ATL,W 17-16,*,0,0,,0,0,0,0.0,6,0,0,0,0
26,2015,2015-11-22,10,23.356,SFO,@,SEA,L 13-29,,0,0,,0,0,0,0.0,1,0,0,0,0
27,2015,2015-11-29,11,23.363,SFO,,ARI,L 13-19,,0,0,,0,0,0,0.0,2,0,0,0,0
28,2015,2015-12-06,12,24.005,SFO,@,CHI,W 26-20,,0,0,,0,0,0,0.0,1,0,0,0,0
29,2015,2015-12-13,13,24.012,SFO,@,CLE,L 10-24,,0,0,,0,0,0,0.0,0,0,0,0,0
30,2015,2015-12-20,14,24.019,SFO,,CIN,L 14-24,,0,0,,0,0,0,0.0,1,0,0,0,0
