ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1997,1997-11-09,10,22.359,ARI,@,DAL,L 6-24,2,1,29,29.00,0,50.0%,14.50
2,1997,1997-12-21,16,23.036,ARI,,ATL,W 29-26,,,,,,0.0%,
3,1998,1998-09-06,1,23.295,ARI,@,DAL,L 10-38,,,,,,0.0%,
4,1998,1998-09-13,2,23.302,ARI,@,SEA,L 14-33,3,1,7,7.00,0,33.3%,2.33
5,1998,1998-09-20,3,23.309,ARI,,PHI,W 17-3,,,,,,0.0%,
6,1998,1998-09-27,4,23.316,ARI,@,STL,W 20-17,,,,,,0.0%,
7,1998,1998-10-04,5,23.323,ARI,,OAK,L 20-23,,,,,,0.0%,
8,1998,1998-10-11,6,23.330,ARI,,CHI,W 20-7,,,,,,0.0%,
9,1998,1998-10-18,7,23.337,ARI,@,NYG,L 7-34,,,,,,0.0%,
10,1998,1998-11-01,8,23.351,ARI,@,DET,W 17-15,,,,,,0.0%,
11,1998,1998-11-08,9,23.358,ARI,,WAS,W 29-27,1,1,5,5.00,0,100.0%,5.00
12,1998,1998-11-15,10,24.000,ARI,,DAL,L 28-35,2,,,,,0.0%,
13,1998,1998-12-20,15,24.035,ARI,,NOR,W 19-17,1,,,,,0.0%,
14,1998,1998-12-27,16,24.042,ARI,,SDG,W 16-13,,,,,,0.0%,
