ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.276,CLE,,DAL,L 10-28,*,2,1,12,12.00,0,50.0%,6.00,3,61,20.33,0,2,23,11.50,0,0.0,0,0
2,2008,2008-09-14,2,23.283,CLE,,PIT,L 6-10,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0.0,1,0
3,2008,2008-09-21,3,23.290,CLE,@,BAL,L 10-28,*,7,2,6,3.00,0,28.6%,0.86,0,0,,0,0,0,,0,0.0,0,0
4,2008,2008-09-28,4,23.297,CLE,@,CIN,W 20-12,,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0.0,0,0
5,2008,2008-10-13,5,23.312,CLE,,NYG,W 35-14,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0.0,0,0
6,2008,2008-10-19,6,23.318,CLE,@,WAS,L 11-14,,,,,,,0.0%,,,,,,,,,,,,
7,2008,2008-10-26,7,23.325,CLE,@,JAX,W 23-17,,3,1,53,53.00,0,33.3%,17.67,0,0,,0,0,0,,0,0.0,0,0
8,2008,2008-11-02,8,23.332,CLE,,BAL,L 27-37,,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,,0,0.0,1,0
9,2008,2008-11-06,9,23.336,CLE,,DEN,L 30-34,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0.0,0,0
10,2008,2008-11-17,10,23.347,CLE,@,BUF,W 29-27,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0.0,0,0
11,2008,2008-11-23,11,23.353,CLE,,HOU,L 6-16,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0.0,1,0
12,2008,2008-11-30,12,23.360,CLE,,IND,L 6-10,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0.0,0,0
13,2008,2008-12-07,13,24.001,CLE,@,TEN,L 9-28,*,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0.0,0,0
14,2008,2008-12-15,14,24.009,CLE,@,PHI,L 10-30,,1,,,,,0.0%,,,,,,,,,,,,
15,2008,2008-12-21,15,24.015,CLE,,CIN,L 0-14,,1,,,,,0.0%,,,,,,,,,,,,
16,2008,2008-12-28,16,24.022,CLE,@,PIT,L 0-31,,2,,,,,0.0%,,,,,,,,,,,,
