ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,24.135,MIN,,ATL,W 24-3,,0,0,,0,0,0,2.0,,
2,2007,2007-09-16,2,24.142,MIN,@,DET,L 17-20,*,,,,,,,,,
3,2007,2007-09-23,3,24.149,MIN,@,KAN,L 10-13,,,,,,,,,,
4,2007,2007-09-30,4,24.156,MIN,,GNB,L 16-23,,0,0,,0,0,0,1.0,,
5,2007,2007-10-14,5,24.170,MIN,@,CHI,W 34-31,,,,,,,,,,
6,2007,2007-10-21,6,24.177,MIN,@,DAL,L 14-24,,0,0,,0,0,0,0.5,,
7,2007,2007-10-28,7,24.184,MIN,,PHI,L 16-23,,,,,,,,,,
8,2007,2007-11-04,8,24.191,MIN,,SDG,W 35-17,,,,,,,,,,
9,2007,2007-11-11,9,24.198,MIN,@,GNB,L 0-34,,,,,,,,,,
10,2007,2007-11-18,10,24.205,MIN,,OAK,W 29-22,,0,0,,0,0,0,1.0,,
11,2007,2007-11-25,11,24.212,MIN,@,NYG,W 41-17,,,,,,,,,,
12,2007,2007-12-02,12,24.219,MIN,,DET,W 42-10,,,,,,,,,,
13,2007,2007-12-09,13,24.226,MIN,@,SFO,W 27-7,*,,,,,,,,,
14,2007,2007-12-17,14,24.234,MIN,,CHI,W 20-13,*,,,,,,,,,
15,2007,2007-12-23,15,24.240,MIN,,WAS,L 21-32,*,,,,,,,,,
16,2007,2007-12-30,16,24.247,MIN,@,DEN,L 19-22,*,,,,,,,,,
17,2008,2008-09-08,1,25.134,MIN,@,GNB,L 19-24,,,,,,,,,,
18,2008,2008-09-14,2,25.140,MIN,,IND,L 15-18,,,,,,,,,,
19,2008,2008-09-21,3,25.147,MIN,,CAR,W 20-10,,0,0,,0,0,0,0.0,0,1
20,2008,2008-09-28,4,25.154,MIN,@,TEN,L 17-30,,0,0,,0,0,0,0.0,1,1
21,2008,2008-10-06,5,25.162,MIN,@,NOR,W 30-27,,,,,,,,,,
22,2008,2008-10-12,6,25.168,MIN,,DET,W 12-10,,,,,,,,,,
23,2008,2008-10-19,7,25.175,MIN,@,CHI,L 41-48,,,,,,,,,,
24,2008,2008-11-02,8,25.189,MIN,,HOU,W 28-21,,0,0,,0,0,0,0.0,2,0
25,2008,2008-11-09,9,25.196,MIN,,GNB,W 28-27,,0,0,,0,0,0,1.0,1,0
26,2008,2008-11-16,10,25.203,MIN,@,TAM,L 13-19,,,,,,,,,,
27,2008,2008-11-23,11,25.210,MIN,@,JAX,W 30-12,,0,0,,0,0,0,0.0,0,0
28,2008,2008-11-30,12,25.217,MIN,,CHI,W 34-14,,0,0,,0,0,0,0.5,0,1
29,2008,2008-12-14,14,25.231,MIN,@,ARI,W 35-14,,0,0,,0,0,0,1.0,1,0
30,2008,2008-12-21,15,25.238,MIN,,ATL,L 17-24,,0,0,,0,0,0,0.0,1,0
31,2008,2008-12-28,16,25.245,MIN,,NYG,W 20-19,,0,0,,0,0,0,0.0,1,4
32,2009,2009-09-13,1,26.139,MIN,@,CLE,W 34-20,,0,0,,0,0,0,0.0,0,0
33,2009,2009-09-20,2,26.146,MIN,@,DET,W 27-13,,,,,,,,,,
34,2009,2009-09-27,3,26.153,MIN,,SFO,W 27-24,,,,,,,,,,
35,2009,2009-10-05,4,26.161,MIN,,GNB,W 30-23,,0,0,,0,0,0,1.5,1,1
36,2009,2009-10-11,5,26.167,MIN,@,STL,W 38-10,,,,,,,,,,
37,2009,2009-10-18,6,26.174,MIN,,BAL,W 33-31,,,,,,,,,,
38,2009,2009-10-25,7,26.181,MIN,@,PIT,L 17-27,,0,0,,0,0,0,0.0,1,0
39,2009,2009-11-01,8,26.188,MIN,@,GNB,W 38-26,,1,7,7.00,0,0,0,0.0,1,0
40,2009,2009-11-15,9,26.202,MIN,,DET,W 27-10,,1,0,0.00,0,0,0,0.0,0,1
41,2009,2009-11-22,10,26.209,MIN,,SEA,W 35-9,,,,,,,,,,
42,2009,2009-11-29,11,26.216,MIN,,CHI,W 36-10,,,,,,,,,,
43,2009,2009-12-06,12,26.223,MIN,@,ARI,L 17-30,,0,0,,0,0,0,0.0,2,0
44,2009,2009-12-13,13,26.230,MIN,,CIN,W 30-10,,0,0,,0,0,0,1.0,1,0
45,2009,2009-12-20,14,26.237,MIN,@,CAR,L 7-26,,,,,,,,,,
46,2009,2009-12-28,15,26.245,MIN,@,CHI,L 30-36,,0,0,,0,0,0,1.0,1,0
47,2009,2010-01-03,16,26.251,MIN,,NYG,W 44-7,,0,0,,0,0,0,1.0,1,0
48,2010,2010-09-09,1,27.135,MIN,@,NOR,L 9-14,,,,,,,,,,
49,2010,2010-09-19,2,27.145,MIN,,MIA,L 10-14,,,,,,,,,,
50,2010,2010-09-26,3,27.152,MIN,,DET,W 24-10,,0,0,,0,0,0,1.0,3,0
51,2010,2010-10-11,4,27.167,MIN,@,NYJ,L 20-29,,0,0,,0,0,0,0.0,1,1
52,2010,2010-10-17,5,27.173,MIN,,DAL,W 24-21,,,,,,,,,,
53,2010,2010-10-24,6,27.180,MIN,@,GNB,L 24-28,,,,,,,,,,
54,2010,2010-10-31,7,27.187,MIN,@,NWE,L 18-28,,0,0,,0,0,0,0.0,1,0
55,2010,2010-11-07,8,27.194,MIN,,ARI,W 27-24,,0,0,,0,0,0,0.0,1,0
56,2010,2010-11-14,9,27.201,MIN,@,CHI,L 13-27,,0,0,,0,0,0,0.0,2,0
57,2010,2010-11-21,10,27.208,MIN,,GNB,L 3-31,,0,0,,0,0,0,0.0,2,0
58,2010,2010-11-28,11,27.215,MIN,@,WAS,W 17-13,,0,0,,0,0,0,1.0,1,0
59,2010,2010-12-05,12,27.222,MIN,,BUF,W 38-14,*,0,0,,0,0,0,0.0,1,2
60,2010,2010-12-13,13,27.230,MIN,,NYG,L 3-21,*,,,,,,,,,
61,2010,2010-12-20,14,27.237,MIN,,CHI,L 14-40,,,,,,,,,,
62,2010,2010-12-28,15,27.245,MIN,@,PHI,W 24-14,,0,0,,0,0,0,0.0,1,0
63,2010,2011-01-02,16,27.250,MIN,@,DET,L 13-20,,,,,,,,,,
64,2011,2011-09-11,1,28.137,MIN,@,SDG,L 17-24,*,0,0,,0,0,0,0.5,1,2
65,2011,2011-09-18,2,28.144,MIN,,TAM,L 20-24,*,0,0,,0,0,0,0.0,0,1
66,2011,2011-09-25,3,28.151,MIN,,DET,L 23-26,*,0,0,,0,0,0,2.0,3,0
67,2011,2011-10-02,4,28.158,MIN,@,KAN,L 17-22,*,0,0,,0,0,0,0.0,1,0
68,2011,2011-10-09,5,28.165,MIN,,ARI,W 34-10,*,0,0,,0,0,0,2.0,4,0
69,2011,2011-10-16,6,28.172,MIN,@,CHI,L 10-39,*,0,0,,0,0,0,0.0,3,0
70,2011,2011-10-23,7,28.179,MIN,,GNB,L 27-33,*,0,0,,0,0,0,0.0,2,0
71,2011,2011-10-30,8,28.186,MIN,@,CAR,W 24-21,*,,,,,,,,,
72,2011,2011-11-14,9,28.201,MIN,@,GNB,L 7-45,*,0,0,,0,0,0,0.0,1,1
73,2011,2011-11-20,10,28.207,MIN,,OAK,L 21-27,*,0,0,,0,0,0,1.0,2,2
74,2011,2011-11-27,11,28.214,MIN,@,ATL,L 14-24,*,0,0,,0,0,0,0.0,1,2
75,2011,2011-12-04,12,28.221,MIN,,DEN,L 32-35,*,0,0,,0,0,0,0.0,1,1
76,2011,2011-12-11,13,28.228,MIN,@,DET,L 28-34,*,0,0,,0,0,0,0.5,3,1
77,2011,2011-12-18,14,28.235,MIN,,NOR,L 20-42,*,0,0,,0,0,0,0.0,2,4
78,2011,2011-12-24,15,28.241,MIN,@,WAS,W 33-26,*,0,0,,0,0,0,1.0,1,2
79,2011,2012-01-01,16,28.249,MIN,,CHI,L 13-17,*,0,0,,0,0,0,1.0,2,1
80,2012,2012-09-09,1,29.135,MIN,,JAX,W 26-23,*,0,0,,0,0,0,0.0,3,0
81,2012,2012-09-16,2,29.142,MIN,@,IND,L 20-23,*,0,0,,0,0,0,0.0,1,2
82,2012,2012-09-23,3,29.149,MIN,,SFO,W 24-13,*,0,0,,0,0,0,0.0,0,1
83,2012,2012-09-30,4,29.156,MIN,@,DET,W 20-13,*,0,0,,0,0,0,0.0,2,1
84,2012,2012-10-07,5,29.163,MIN,,TEN,W 30-7,*,0,0,,0,0,0,1.0,2,1
85,2012,2012-10-14,6,29.170,MIN,@,WAS,L 26-38,*,0,0,,0,0,0,0.0,0,1
86,2012,2012-10-21,7,29.177,MIN,,ARI,W 21-14,*,0,0,,0,0,0,3.5,7,2
