ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,22.337,BAL,,STL,L 3-10,,,,,,,,,,,,,,,,,,,,,,
2,1972,1972-09-24,2,22.344,BAL,,NYJ,L 34-44,,,,,,,,,,,,,,,,,,,,,,
3,1972,1972-10-01,3,22.351,BAL,@,BUF,W 17-0,,,,,,,,,,,,,,,,,,,,,,
4,1972,1972-10-08,4,22.358,BAL,,SDG,L 20-23,,,,,,,,,,,,,,,,,,,,,,
5,1972,1972-10-15,5,22.365,BAL,,DAL,L 0-21,,,,,,,,,,,,,,,,,,,,,,
6,1972,1972-10-22,6,23.006,BAL,@,NYJ,L 20-24,,,,,,,,,,,,,,,,,,,,,,
7,1972,1972-10-29,7,23.013,BAL,,MIA,L 0-23,,,,,,,,,,,,,,,,,,,,,,
8,1972,1972-11-06,8,23.021,BAL,@,NWE,W 24-17,,,,,,,,,,,,,,,,,,,,,,
9,1972,1972-11-12,9,23.027,BAL,@,SFO,L 21-24,,,,,,,,,,,,,,,,,,,,,,
10,1972,1972-11-19,10,23.034,BAL,@,CIN,W 20-19,,,,,,,,,,,,,,,,,,,,,,
11,1972,1972-11-26,11,23.041,BAL,,NWE,W 31-0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0
12,1972,1972-12-03,12,23.048,BAL,,BUF,W 35-7,3,8,2.67,0,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,0
13,1972,1972-12-10,13,23.055,BAL,@,KAN,L 10-24,,,,,,,,,,,,,,,,,,,,,,
14,1972,1972-12-16,14,23.061,BAL,@,MIA,L 0-16,,,,,,,,,,,,,,,,,,,,,,
15,1973,1973-09-16,1,23.335,BAL,@,CLE,L 14-24,,,,,,,,,,,,,,,,,,,,,,
16,1973,1973-09-23,2,23.342,BAL,,NYJ,L 10-34,,,,,,,,,,,,,,,,,,,,,,
17,1973,1973-09-30,3,23.349,BAL,,NOR,W 14-10,,,,,,,,,,,,,,,,,,,,,,
18,1973,1973-10-07,4,23.356,BAL,@,NWE,L 16-24,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0
19,1973,1973-10-14,5,23.363,BAL,@,BUF,L 13-31,,,,,,,,,,,,,,,,,,,,,,
20,1973,1973-10-21,6,24.005,BAL,@,DET,W 29-27,,,,,,,,,,,,,,,,,,,,,,
21,1973,1973-10-28,7,24.012,BAL,,OAK,L 21-34,,,,,,,,,,,,,,,,,,,,,,
22,1973,1973-11-04,8,24.019,BAL,,HOU,L 27-31,,,,,,,,,,,,,,,,,,,,,,
23,1973,1973-11-11,9,24.026,BAL,@,MIA,L 0-44,,,,,,,,,,,,,,,,,,,,,,
24,1973,1973-11-18,10,24.033,BAL,@,WAS,L 14-22,,,,,,,,,,,,,,,,,,,,,,
25,1973,1973-11-25,11,24.040,BAL,,BUF,L 17-24,,,,,,,,,,,,,,,,,,,,,,
26,1973,1973-12-02,12,24.047,BAL,@,NYJ,L 17-20,,,,,,,,,,,,,,,,,,,,,,
27,1973,1973-12-09,13,24.054,BAL,,MIA,W 16-3,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0
28,1973,1973-12-16,14,24.061,BAL,,NWE,W 18-13,,,,,,,,,,,,,,,,,,,,,,
29,1974,1974-09-15,1,24.334,NWE,,MIA,W 34-24,,,,,,,,,,,,,,,,,,,,,,
30,1974,1974-09-22,2,24.341,NWE,@,NYG,W 28-20,,,,,,,,,,,,,,,,,,,,,,
31,1974,1974-09-29,3,24.348,NWE,,RAM,W 20-14,,,,,,,,,,,,,,,,,,,,,,
32,1974,1974-10-06,4,24.355,NWE,,BAL,W 42-3,,,,,,,,,,,,,,,,,,,,,,
33,1974,1974-10-13,5,24.362,NWE,@,NYJ,W 24-0,,,,,,,,,,,,,,,,,,,,,,
34,1974,1974-10-20,6,25.004,NWE,@,BUF,L 28-30,,,,,,,,,,,,,,,,,,,,,,
35,1974,1974-10-27,7,25.011,NWE,@,MIN,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,0
36,1974,1974-11-03,8,25.018,NWE,,BUF,L 28-29,,,,,,,,,,,,,,,,,,,,,,
37,1974,1974-11-10,9,25.025,NWE,,CLE,L 14-21,,,,,,,,,,,,,,,,,,,,,,
38,1974,1974-11-17,10,25.032,NWE,,NYJ,L 16-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0
39,1974,1974-11-24,11,25.039,NWE,@,BAL,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,41,0
40,1974,1974-12-01,12,25.046,NWE,@,OAK,L 26-41,,,,,,,,,,,,,,,,,,,,,,
41,1974,1974-12-08,13,25.053,NWE,,PIT,L 17-21,,,,,,,,,,,,,,,,,,,,,,
42,1974,1974-12-15,14,25.060,NWE,@,MIA,L 27-34,,,,,,,,,,,,,,,,,,,,,,
