ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,23.071,BAL,,IND,L 7-24,,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
2,2005,2005-09-18,2,23.078,BAL,@,TEN,L 10-25,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
3,2005,2005-10-02,3,23.092,BAL,,NYJ,W 13-3,*,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
4,2005,2005-10-09,4,23.099,BAL,@,DET,L 17-35,*,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
5,2005,2005-10-16,5,23.106,BAL,,CLE,W 16-3,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
6,2005,2005-11-06,8,23.127,BAL,,CIN,L 9-21,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
7,2005,2005-11-13,9,23.134,BAL,@,JAX,L 3-30,*,5,2,3,1.50,0,40.0%,0.60,1,0,0.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
8,2005,2005-11-20,10,23.141,BAL,,PIT,W 16-13,,7,4,43,10.75,0,57.1%,6.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-11-27,11,23.148,BAL,@,CIN,L 29-42,*,8,2,14,7.00,0,25.0%,1.75,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
10,2005,2005-12-04,12,23.155,BAL,,HOU,W 16-15,,11,7,86,12.29,0,63.6%,7.82,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
