ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-12-23,15,23.318,JAX,,NWE,L 16-23,,,,,,,0.0%,,,,,,,,,,,,,,
2,2012,2012-12-30,16,23.325,JAX,@,TEN,L 20-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2013,2013-09-08,1,24.211,JAX,,KAN,L 2-28,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2013,2013-10-13,6,24.246,JAX,@,DEN,L 19-35,,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,2013-10-20,7,24.253,JAX,,SDG,L 6-24,,8,5,120,24.00,0,62.5%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2013,2013-10-27,8,24.260,JAX,,SFO,L 10-42,,6,3,43,14.33,1,50.0%,7.17,0,0,,0,0,0,,0,1,6,0.0,0,0
7,2013,2013-11-10,9,24.274,JAX,@,TEN,W 29-27,*,4,2,40,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2013,2013-11-17,10,24.281,JAX,,ARI,L 14-27,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2013,2013-12-01,12,24.295,JAX,@,CLE,W 32-28,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2013,2013-12-05,13,24.299,JAX,,HOU,W 27-20,*,7,3,16,5.33,0,42.9%,2.29,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2013,2013-12-15,14,24.309,JAX,,BUF,L 20-27,*,7,3,20,6.67,0,42.9%,2.86,0,0,,0,0,0,,0,0,0,0.0,1,0
12,2013,2013-12-22,15,24.316,JAX,,TEN,L 16-20,*,6,5,71,14.20,1,83.3%,11.83,0,0,,0,0,0,,0,1,6,0.0,0,0
13,2013,2013-12-29,16,24.323,JAX,@,IND,L 10-30,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2014,2014-09-07,1,25.210,JAX,@,PHI,L 17-34,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,3,28,9.33,0,0,0,0.0,0,0
15,2014,2014-09-14,2,25.217,JAX,@,WAS,L 10-41,*,4,0,0,,0,0.0%,0.00,0,0,,0,2,9,4.50,0,0,0,0.0,0,0
16,2014,2014-09-21,3,25.224,JAX,,IND,L 17-44,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2014,2014-09-28,4,25.231,JAX,@,SDG,L 14-33,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2014,2014-10-05,5,25.238,JAX,,PIT,L 9-17,,2,2,26,13.00,0,100.0%,13.00,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
