ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1969,1969-12-07,12,24.322,NYG,,STL,W 49-6,2,37,18.50,0,0,0,,0,3,104,34.67,0
2,1969,1969-12-14,13,24.329,NYG,@,PIT,W 21-17,0,0,,0,1,4,4.00,0,5,192,38.40,0
3,1969,1969-12-21,14,24.336,NYG,,CLE,W 27-14,0,0,,0,0,0,,0,5,201,40.20,0
