ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-10-03,4,23.202,CLE,,NWE,L 7-19,,0,,,,,0.0%,,,,,,,,,
2,1999,1999-10-10,5,23.209,CLE,,CIN,L 17-18,,0,,,,,0.0%,,,,,,,,,
3,1999,1999-10-17,6,23.216,CLE,@,JAX,L 7-24,,1,,,,,0.0%,,,,,,,,,
4,1999,1999-10-24,7,23.223,CLE,@,STL,L 3-34,,1,,,,,0.0%,,,,,,,,,
5,1999,1999-10-31,8,23.230,CLE,@,NOR,W 21-16,,0,,,,,0.0%,,,,,,,,,
6,1999,1999-11-07,9,23.237,CLE,,BAL,L 9-41,,0,,,,,0.0%,,,,,,,,,
7,1999,1999-12-19,15,23.279,CLE,,JAX,L 14-24,,,,,,,0.0%,,,,,,,,,
8,2000,2000-09-11,2,24.180,NYJ,,NWE,W 20-19,,0,0,0,,0,0.0%,,2,35,17.50,0,1,0,0.00,0
9,2000,2000-10-29,9,24.228,CLE,,CIN,L 3-12,,,,,,,0.0%,,,,,,,,,
10,2000,2000-11-05,10,24.235,CLE,,NYG,L 3-24,,,,,,,0.0%,,,,,,,,,
11,2000,2000-11-12,11,24.242,CLE,,NWE,W 19-11,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
