ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,23.114,ATL,,DET,L 27-28,0,0,,0,,,,,,,0,0,6,243,40.50,0
2,1985,1985-09-15,2,23.121,ATL,@,SFO,L 16-35,1,0,0.00,0,,,,,,,0,0,5,215,43.00,0
3,1985,1985-09-22,3,23.128,ATL,,DEN,L 28-44,0,0,,0,,,,,,,0,0,6,252,42.00,0
4,1985,1985-09-29,4,23.135,ATL,@,RAM,L 6-17,0,0,,0,,,,,,,0,0,5,201,40.20,0
5,1985,1985-10-06,5,23.142,ATL,,SFO,L 17-38,0,0,,0,,,,,,,0,0,6,234,39.00,0
6,1985,1985-10-13,6,23.149,ATL,@,SEA,L 26-30,0,0,,0,,,,,,,0,0,4,165,41.25,0
7,1985,1985-10-20,7,23.156,ATL,,NOR,W 31-24,0,0,,0,,,,,,,0,0,4,173,43.25,0
8,1985,1985-10-27,8,23.163,ATL,@,DAL,L 10-24,0,0,,0,,,,,,,0,0,4,166,41.50,0
9,1985,1985-11-03,9,23.170,ATL,,WAS,L 10-44,1,-5,-5.00,0,,,,,,,0,0,6,283,47.17,0
10,1985,1985-11-10,10,23.177,ATL,@,PHI,L 17-23,0,0,,0,,,,,,,0,0,7,365,52.14,0
11,1985,1985-11-17,11,23.184,ATL,,RAM,W 30-14,0,0,,0,,,,,,,0,0,6,277,46.17,0
12,1986,1986-09-07,1,24.113,ATL,@,NOR,W 31-10,0,0,,0,,,,,,,0,0,3,127,42.33,0
13,1986,1986-09-14,2,24.120,ATL,,STL,W 33-13,0,0,,0,,,,,,,0,0,5,233,46.60,0
14,1986,1986-09-21,3,24.127,ATL,@,DAL,W 37-35,0,0,,0,,,,,,,0,0,1,55,55.00,0
15,1986,1986-09-28,4,24.134,ATL,@,TAM,W 23-20,0,0,,0,,,,,,,0,0,4,156,39.00,0
16,1986,1986-10-05,5,24.141,ATL,,PHI,L 0-16,0,0,,0,,,,,,,0,0,6,293,48.83,0
17,1986,1986-10-12,6,24.148,ATL,,RAM,W 26-14,0,0,,0,,,,,,,0,0,4,199,49.75,0
18,1986,1986-10-19,7,24.155,ATL,,SFO,T 10-10,0,0,,0,,,,,,,0,0,7,223,31.86,0
19,1986,1986-10-26,8,24.162,ATL,@,RAM,L 7-14,0,0,,0,,,,,,,0,0,5,205,41.00,0
20,1986,1986-11-02,9,24.169,ATL,@,NWE,L 17-25,0,0,,0,1,1,100.0,,,,0,1,5,230,46.00,0
21,1986,1986-11-09,10,24.176,ATL,,NYJ,L 14-28,0,0,,0,,,,,,,0,0,4,178,44.50,0
22,1986,1986-11-16,11,24.183,ATL,,CHI,L 10-13,0,0,,0,,,,,,,0,0,7,337,48.14,0
23,1986,1986-11-23,12,24.190,ATL,@,SFO,L 0-20,0,0,,0,,,,,,,0,0,9,404,44.89,0
24,1986,1986-11-30,13,24.197,ATL,@,MIA,W 20-14,0,0,,0,,,,,,,0,0,4,187,46.75,0
25,1986,1986-12-07,14,24.204,ATL,,IND,L 23-28,0,0,,0,,,,,,,0,0,3,95,31.67,1
26,1986,1986-12-14,15,24.211,ATL,,NOR,L 9-14,0,0,,0,,,,,,,0,0,6,256,42.67,0
27,1986,1986-12-21,16,24.218,ATL,@,DET,W 20-6,0,0,,0,,,,,,,0,0,5,243,48.60,0
28,1987,1987-09-13,1,25.119,ATL,@,TAM,L 10-48,0,0,,0,,,,,,,0,0,6,273,45.50,0
29,1987,1987-09-20,2,25.126,ATL,,WAS,W 21-20,0,0,,0,,,,,,,0,0,5,242,48.40,0
30,1987,1987-10-25,6,25.161,ATL,@,HOU,L 33-37,0,0,,0,,,,,,,0,0,3,138,46.00,0
31,1987,1987-11-01,7,25.168,ATL,,NOR,L 0-38,0,0,,0,,,,,,,0,0,5,216,43.20,0
32,1987,1987-11-08,8,25.175,ATL,@,CLE,L 3-38,0,0,,0,,,,,,,0,0,6,267,44.50,1
33,1987,1987-11-15,9,25.182,ATL,,CIN,L 10-16,0,0,,0,,,,,,,0,0,4,170,42.50,0
34,1987,1987-11-22,10,25.189,ATL,@,MIN,L 13-24,0,0,,0,,,,,,,0,0,5,246,49.20,1
35,1987,1987-11-29,11,25.196,ATL,,STL,L 21-34,1,0,0.00,0,,,,,,,0,0,5,236,47.20,0
36,1987,1987-12-06,12,25.203,ATL,@,DAL,W 21-10,0,0,,0,,,,,,,0,0,5,213,42.60,0
37,1987,1987-12-13,13,25.210,ATL,@,RAM,L 0-33,1,0,0.00,0,,,,,,,0,0,6,240,40.00,0
38,1987,1987-12-20,14,25.217,ATL,@,SFO,L 7-35,0,0,,0,,,,,,,0,0,7,267,38.14,0
39,1987,1987-12-27,15,25.224,ATL,,DET,L 13-30,1,-6,-6.00,0,,,,,,,0,0,4,178,44.50,0
40,1988,1988-09-04,1,26.110,ATL,@,DET,L 17-31,0,0,,0,,,,,,,0,0,4,168,42.00,0
41,1988,1988-09-11,2,26.117,ATL,,NOR,L 21-29,0,0,,0,,,,,,,0,0,5,162,32.40,0
42,1988,1988-09-18,3,26.124,ATL,@,SFO,W 34-17,0,0,,0,,,,,,,0,0,4,160,40.00,0
43,1988,1988-09-25,4,26.131,ATL,@,DAL,L 20-26,0,0,,0,,,,,,,0,0,5,183,36.60,0
44,1988,1988-10-02,5,26.138,ATL,,SEA,L 20-31,0,0,,0,,,,,,,0,0,5,189,37.80,0
45,1988,1988-10-09,6,26.145,ATL,,RAM,L 0-33,0,0,,0,,,,,,,0,0,8,316,39.50,0
46,1988,1988-10-16,7,26.152,ATL,@,DEN,L 14-30,0,0,,0,,,,,,,0,0,7,317,45.29,0
47,1988,1988-10-23,8,26.159,ATL,,NYG,L 16-23,0,0,,0,,,,,,,0,0,5,182,36.40,0
48,1988,1988-10-30,9,26.166,ATL,@,PHI,W 27-24,0,0,,0,,,,,,,0,0,11,435,39.55,0
49,1988,1988-11-06,10,26.173,ATL,,GNB,W 20-0,0,0,,0,,,,,,,0,0,5,198,39.60,0
50,1988,1988-11-13,11,26.180,ATL,,SDG,L 7-10,0,0,,0,,,,,,,0,0,8,326,40.75,0
51,1988,1988-11-20,12,26.187,ATL,@,RAI,W 12-6,0,0,,0,,,,,,,0,0,6,201,33.50,0
52,1988,1988-11-27,13,26.194,ATL,,TAM,W 17-10,0,0,,0,,,,,,,0,0,4,185,46.25,0
53,1988,1988-12-04,14,26.201,ATL,,SFO,L 3-13,0,0,,0,,,,,,,0,0,6,269,44.83,0
54,1988,1988-12-11,15,26.208,ATL,@,RAM,L 7-22,0,0,,0,,,,,,,0,0,8,339,42.38,0
55,1988,1988-12-18,16,26.215,ATL,@,NOR,L 9-10,0,0,,0,,,,,,,0,0,7,290,41.43,0
56,1990,1990-09-09,1,28.115,SEA,@,CHI,L 0-17,0,0,,0,,,,,,,0,0,9,377,41.89,0
57,1990,1990-09-16,2,28.122,SEA,,RAI,L 13-17,0,0,,0,,,,,,,0,0,1,43,43.00,0
58,1990,1990-09-23,3,28.129,SEA,@,DEN,L 31-34,0,0,,0,,,,,,,0,0,1,42,42.00,0
59,1990,1990-10-01,4,28.137,SEA,,CIN,W 31-16,0,0,,0,,,,,,,0,0,2,89,44.50,0
60,1990,1990-10-07,5,28.143,SEA,@,NWE,W 33-20,0,0,,0,,,,,,,0,0,3,132,44.00,0
61,1990,1990-10-14,6,28.150,SEA,@,RAI,L 17-24,0,0,,0,,,,,,,0,0,2,88,44.00,0
62,1990,1990-10-21,7,28.157,SEA,,KAN,W 19-7,0,0,,0,,,,,,,0,0,4,150,37.50,0
63,1990,1990-11-04,8,28.171,SEA,,SDG,L 14-31,0,0,,0,,,,,,,0,0,7,296,42.29,0
64,1990,1990-11-11,9,28.178,SEA,@,KAN,W 17-16,0,0,,0,,,,,,,0,0,5,226,45.20,0
65,1990,1990-11-18,10,28.185,SEA,,MIN,L 21-24,0,0,,0,,,,,,,0,0,7,265,37.86,0
66,1990,1990-11-25,11,28.192,SEA,@,SDG,W 13-10,0,0,,0,,,,,,,0,0,6,239,39.83,0
67,1990,1990-12-02,12,28.199,SEA,,HOU,W 13-10,0,0,,0,,,,,,,0,0,5,187,37.40,0
68,1990,1990-12-09,13,28.206,SEA,@,GNB,W 20-14,0,0,,0,,,,,,,0,0,4,146,36.50,0
69,1990,1990-12-16,14,28.213,SEA,@,MIA,L 17-24,0,0,,0,,,,,,,0,0,3,138,46.00,0
70,1990,1990-12-23,15,28.220,SEA,,DEN,W 17-12,0,0,,0,,,,,,,0,0,7,273,39.00,0
71,1990,1990-12-30,16,28.227,SEA,,DET,W 30-10,0,0,,0,,,,,,,0,0,1,31,31.00,0
72,1991,1991-09-01,1,29.107,SEA,@,NOR,L 24-27,0,0,,0,,,,,,,0,0,3,105,35.00,0
73,1991,1991-09-08,2,29.114,SEA,,NYJ,W 20-13,0,0,,0,,,,,,,0,0,3,96,32.00,0
74,1991,1991-09-15,3,29.121,SEA,@,DEN,L 10-16,0,0,,0,,,,,,,0,0,7,304,43.43,0
