ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-16,2,22.307,IND,,MIN,W 23-20,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,1,11,11.00,0,,0,0,0.0,0,0
2,2012,2012-09-23,3,22.314,IND,,JAX,L 17-22,,8,4,113,28.25,1,50.0%,14.13,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,4,29,7.25,0,,1,6,0.0,0,0
3,2012,2012-10-07,4,22.328,IND,,GNB,W 30-27,,9,3,37,12.33,0,33.3%,4.11,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0
4,2012,2012-10-14,5,22.335,IND,@,NYJ,L 9-35,,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
5,2012,2012-10-21,6,22.342,IND,,CLE,W 17-13,,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0
6,2012,2012-10-28,7,22.349,IND,@,TEN,W 19-13,,6,5,35,7.00,0,83.3%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,,0,0,0.0,0,0
7,2012,2012-11-04,8,22.356,IND,,MIA,W 23-20,,11,6,102,17.00,1,54.5%,9.27,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,29,7.25,0,,1,6,0.0,0,0
8,2012,2012-11-08,9,22.360,IND,@,JAX,W 27-10,,1,0,0,,0,0.0%,0.00,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
9,2012,2012-11-18,10,23.004,IND,@,NWE,L 24-59,,9,6,100,16.67,2,66.7%,11.11,0,0,,0,0,0,,0,0,0,,0,0,,,5,73,14.60,0,1,7,7.00,0,,2,12,0.0,0,0
10,2012,2012-11-25,11,23.011,IND,,BUF,W 20-13,,3,3,33,11.00,1,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,111,27.75,1,,1,12,0.0,0,0
