ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-22,2,23.211,STL,@,PHI,W 28-24,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
2,1963,1963-10-13,5,23.232,STL,,PIT,W 24-23,9,212,23.56,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
3,1963,1963-10-20,6,23.239,STL,,GNB,L 7-30,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
4,1963,1963-10-27,7,23.246,STL,@,WAS,W 21-7,4,59,14.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
5,1963,1963-11-03,8,23.253,STL,,NYG,L 21-38,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
6,1963,1963-11-17,10,23.267,STL,@,CLE,W 20-14,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
7,1963,1963-11-24,11,23.274,STL,@,NYG,W 24-17,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
8,1963,1963-12-08,13,23.288,STL,,PHI,W 38-14,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
9,1963,1963-12-15,14,23.295,STL,,DAL,L 24-28,6,66,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
10,1964,1964-09-12,1,24.202,STL,@,DAL,W 16-6,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,39,39.00,0
11,1964,1964-09-27,3,24.217,STL,@,SFO,W 23-13,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
12,1964,1964-10-04,4,24.224,STL,@,WAS,W 23-17,2,33,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
13,1964,1964-10-12,5,24.232,STL,@,BAL,L 27-47,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,208,41.60,0
