ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.142,JAX,,SEA,W 26-14,,5,2,22,11.00,0,40.0%,4.40,2,28,14.00,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,0.0,,
2,2005,2005-09-18,2,22.149,JAX,@,IND,L 3-10,,3,1,9,9.00,0,33.3%,3.00,2,7,3.50,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
3,2005,2005-09-25,3,22.156,JAX,@,NYJ,W 26-20,,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0.0,,
4,2005,2005-10-02,4,22.163,JAX,,DEN,L 7-20,,6,3,27,9.00,0,50.0%,4.50,1,-7,-7.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
5,2005,2005-10-09,5,22.170,JAX,,CIN,W 23-20,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
6,2005,2005-10-16,6,22.177,JAX,@,PIT,W 23-17,,2,2,20,10.00,1,100.0%,10.00,1,-7,-7.00,0,0,0,,0,0,0,,0,,,,1,6,0.0,,
7,2005,2005-10-30,7,22.191,JAX,@,STL,L 21-24,,9,4,38,9.50,1,44.4%,4.22,0,0,,0,0,0,,0,0,0,,0,,,,1,6,0.0,,
8,2005,2005-11-06,8,22.198,JAX,,HOU,W 21-14,,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
9,2005,2005-11-13,9,22.205,JAX,,BAL,W 30-3,,6,5,117,23.40,1,83.3%,19.50,2,12,6.00,0,0,0,,0,0,0,,0,,,,1,6,0.0,,
10,2005,2005-11-20,10,22.212,JAX,@,TEN,W 31-28,*,7,3,46,15.33,1,42.9%,6.57,0,0,,0,0,0,,0,0,0,,0,,,,1,6,0.0,,
