ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-08,1,24.216,CHI,,CIN,W 24-21,,0.0,1,0,0,0,0
2,2013,2013-09-15,2,24.223,CHI,,MIN,W 31-30,,,,,,,
3,2013,2013-09-22,3,24.230,CHI,@,PIT,W 40-23,,,,,,,
4,2013,2013-09-29,4,24.237,CHI,@,DET,L 32-40,,,,,,,
5,2013,2013-10-06,5,24.244,CHI,,NOR,L 18-26,,,,,,,
6,2013,2013-10-10,6,24.248,CHI,,NYG,W 27-21,,,,,,,
7,2013,2013-10-20,7,24.258,CHI,@,WAS,L 41-45,,,,,,,
8,2013,2013-11-04,8,24.273,CHI,@,GNB,W 27-20,,0.0,4,0,0,0,0
9,2013,2013-11-10,9,24.279,CHI,,DET,L 19-21,,0.0,1,0,0,0,0
10,2013,2013-11-17,10,24.286,CHI,,BAL,W 23-20,,0.0,3,1,0,0,0
11,2013,2013-11-24,11,24.293,CHI,@,STL,L 21-42,*,0.0,6,0,0,0,0
12,2013,2013-12-01,12,24.300,CHI,@,MIN,L 20-23,*,0.0,3,2,1,49,0
13,2013,2013-12-09,13,24.308,CHI,,DAL,W 45-28,*,0.0,1,2,0,0,0
14,2013,2013-12-15,14,24.314,CHI,@,CLE,W 38-31,*,0.0,2,2,0,0,0
15,2013,2013-12-22,15,24.321,CHI,@,PHI,L 11-54,,,,,,,
16,2014,2014-09-22,3,25.230,CHI,@,NYJ,W 27-19,,0.0,1,1,0,0,0
17,2014,2014-09-28,4,25.236,CHI,,GNB,L 17-38,,0.0,2,0,0,0,0
18,2014,2014-10-05,5,25.243,CHI,@,CAR,L 24-31,,0.0,1,0,0,0,0
19,2014,2014-10-12,6,25.250,CHI,@,ATL,W 27-13,*,0.0,6,2,0,0,0
20,2014,2014-10-19,7,25.257,CHI,,MIA,L 14-27,*,0.0,2,2,0,0,0
21,2014,2014-10-26,8,25.264,CHI,@,NWE,L 23-51,,,,,,,
22,2014,2014-11-16,10,25.285,CHI,,MIN,W 21-13,,,,,,,
23,2014,2014-11-27,12,25.296,CHI,@,DET,L 17-34,,,,,,,
24,2014,2014-12-15,14,25.314,CHI,,NOR,L 15-31,,,,,,,
25,2014,2014-12-28,16,25.327,CHI,@,MIN,L 9-13,,,,,,,
