ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1972,1972-10-08,4,22.180,NOR,@,NYG,L 21-45,,,,,,,,,,,
2,1972,1972-10-15,5,22.187,NOR,,ATL,L 14-21,,,,,,,,,,,
3,1972,1972-10-22,6,22.194,NOR,@,SFO,T 20-20,0,0,,0,0,0,,0,1,31,0
4,1972,1972-10-29,7,22.201,NOR,,PHI,W 21-3,0,0,,0,0,0,,0,1,10,0
5,1972,1972-11-12,9,22.215,NOR,@,ATL,L 20-36,,,,,,,,,,,
6,1972,1972-11-19,10,22.222,NOR,@,DET,L 14-27,,,,,,,,,,,
7,1972,1972-11-26,11,22.229,NOR,,RAM,W 19-16,,,,,,,,,,,
8,1972,1972-12-03,12,22.236,NOR,@,NYJ,L 17-18,0,0,,0,0,0,,0,1,0,0
9,1972,1972-12-10,13,22.243,NOR,,NWE,L 10-17,,,,,,,,,,,
10,1972,1972-12-17,14,22.250,NOR,,GNB,L 20-30,,,,,,,,,,,
11,1973,1973-09-16,1,23.158,NOR,,ATL,L 7-62,,,,,,,,,,,
12,1973,1973-09-24,2,23.166,NOR,@,DAL,L 3-40,0,0,,0,0,0,,0,1,23,0
13,1973,1973-09-30,3,23.172,NOR,@,BAL,L 10-14,,,,,,,,,,,
14,1973,1973-10-07,4,23.179,NOR,,CHI,W 21-16,1,0,0.00,0,0,0,,0,0,0,0
15,1973,1973-10-14,5,23.186,NOR,,DET,W 20-13,,,,,,,,,,,
16,1973,1973-10-21,6,23.193,NOR,@,SFO,L 0-40,0,0,,0,0,0,,0,1,7,0
17,1973,1973-10-28,7,23.200,NOR,,WAS,W 19-3,0,0,,0,0,0,,0,1,10,0
18,1973,1973-11-04,8,23.207,NOR,,BUF,W 13-0,,,,,,,,,,,
19,1973,1973-11-11,9,23.214,NOR,@,RAM,L 7-29,,,,,,,,,,,
20,1973,1973-11-18,10,23.221,NOR,@,SDG,L 14-17,,,,,,,,,,,
21,1973,1973-11-25,11,23.228,NOR,,RAM,L 13-24,,,,,,,,,,,
22,1973,1973-12-02,12,23.235,NOR,@,GNB,L 10-30,,,,,,,,,,,
23,1973,1973-12-09,13,23.242,NOR,,SFO,W 16-10,,,,,,,,,,,
24,1973,1973-12-16,14,23.249,NOR,@,ATL,L 10-14,,,,,,,,,,,
25,1974,1974-09-15,1,24.157,NOR,,SFO,L 13-17,0,0,,0,0,0,,0,1,0,0
26,1974,1974-09-22,2,24.164,NOR,@,RAM,L 0-24,,,,,,,,,,,
27,1974,1974-09-29,3,24.171,NOR,,ATL,W 14-13,,,,,,,,,,,
28,1974,1974-10-13,5,24.185,NOR,@,DEN,L 17-33,1,27,27.00,0,2,3,1.50,0,0,0,0
29,1974,1974-10-20,6,24.192,NOR,@,ATL,W 13-3,0,0,,0,0,0,,0,1,28,0
30,1974,1974-10-27,7,24.199,NOR,,PHI,W 14-10,,,,,,,,,,,
31,1974,1974-11-03,8,24.206,NOR,@,DET,L 14-19,,,,,,,,,,,
32,1974,1974-11-10,9,24.213,NOR,,MIA,L 0-21,,,,,,,,,,,
33,1974,1974-11-17,10,24.220,NOR,,RAM,W 20-7,,,,,,,,,,,
34,1974,1974-11-25,11,24.228,NOR,,PIT,L 7-28,0,0,,0,0,0,,0,1,13,0
35,1974,1974-12-01,12,24.234,NOR,@,MIN,L 9-29,,,,,,,,,,,
36,1974,1974-12-08,13,24.241,NOR,,STL,W 14-0,,,,,,,,,,,
37,1974,1974-12-15,14,24.248,NOR,@,SFO,L 21-35,0,0,,0,0,0,,0,1,12,0
38,1975,1975-09-21,1,25.163,NOR,@,WAS,L 3-41,,,,,,,,,,,
39,1975,1975-09-28,2,25.170,NOR,,CIN,L 0-21,,,,,,,,,,,
40,1975,1975-10-05,3,25.177,NOR,@,ATL,L 7-14,,,,,,,,,,,
41,1975,1975-10-12,4,25.184,NOR,,GNB,W 20-19,,,,,,,,,,,
42,1975,1975-10-19,5,25.191,NOR,@,SFO,L 21-35,,,,,,,,,,,
43,1975,1975-10-26,6,25.198,NOR,@,RAM,L 14-38,,,,,,,,,,,
44,1975,1975-11-02,7,25.205,NOR,,ATL,W 23-7,0,0,,0,0,0,,0,2,48,0
45,1975,1975-11-09,8,25.212,NOR,@,OAK,L 10-48,,,,,,,,,,,
46,1975,1975-11-23,10,25.226,NOR,,SFO,L 6-16,,,,,,,,,,,
47,1975,1975-11-30,11,25.233,NOR,@,CLE,L 16-17,,,,,,,,,,,
48,1975,1975-12-07,12,25.240,NOR,,RAM,L 7-14,,,,,,,,,,,
49,1975,1975-12-14,13,25.247,NOR,@,NYG,L 14-28,,,,,,,,,,,
50,1975,1975-12-21,14,25.254,NOR,,CHI,L 17-42,,,,,,,,,,,
51,1976,1976-09-12,1,26.154,NOR,,MIN,L 9-40,,,,,,,,,,,
52,1976,1976-09-19,2,26.161,NOR,,DAL,L 6-24,,,,,,,,,,,
53,1976,1976-09-26,3,26.168,NOR,@,KAN,W 27-17,,,,,,,,,,,
54,1976,1976-10-03,4,26.175,NOR,,HOU,L 26-31,,,,,,,,,,,
55,1976,1976-11-07,9,26.210,NOR,@,GNB,L 27-32,,,,,,,,,,,
56,1976,1976-11-14,10,26.217,NOR,,DET,W 17-16,,,,,,,,,,,
57,1976,1976-11-21,11,26.224,NOR,@,SEA,W 51-27,0,0,,0,0,0,,0,1,5,0
58,1976,1976-11-28,12,26.231,NOR,@,RAM,L 14-33,0,0,,0,0,0,,0,1,0,0
59,1976,1976-12-05,13,26.238,NOR,@,NWE,L 6-27,,,,,,,,,,,
60,1976,1976-12-12,14,26.245,NOR,,SFO,L 7-27,,,,,,,,,,,
61,1977,1977-09-18,1,27.160,NOR,,GNB,L 20-24,,,,,,,,,,,
62,1977,1977-09-25,2,27.167,NOR,@,DET,L 19-23,,,,,,,,,,,
63,1977,1977-10-23,6,27.195,NOR,@,STL,L 31-49,,,,,,,,,,,
64,1977,1977-10-30,7,27.202,NOR,,RAM,W 27-26,,,,,,,,,,,
65,1977,1977-11-06,8,27.209,NOR,@,PHI,L 7-28,,,,,,,,,,,
66,1977,1977-11-13,9,27.216,NOR,,SFO,L 7-10,,,,,,,,,,,
67,1977,1977-11-20,10,27.223,NOR,,ATL,W 21-20,0,0,,0,0,0,,0,1,0,0
68,1977,1977-11-27,11,27.230,NOR,@,SFO,L 17-20,,,,,,,,,,,
69,1977,1977-12-04,12,27.237,NOR,,NYJ,L 13-16,,,,,,,,,,,
70,1977,1977-12-11,13,27.244,NOR,,TAM,L 14-33,,,,,,,,,,,
71,1977,1977-12-18,14,27.251,NOR,@,ATL,L 7-35,,,,,,,,,,,
72,1978,1978-09-03,1,28.145,ATL,,HOU,W 20-14,,,,,,,,,,,
73,1978,1978-09-10,2,28.152,ATL,@,RAM,L 0-10,,,,,,,,,,,
74,1978,1978-09-17,3,28.159,ATL,,CLE,L 16-24,,,,,,,,,,,
75,1978,1978-09-24,4,28.166,ATL,@,TAM,L 9-14,,,,,,,,,,,
76,1978,1978-10-01,5,28.173,ATL,,NYG,W 23-20,,,,,,,,,,,
77,1978,1978-10-08,6,28.180,ATL,@,PIT,L 7-31,,,,,,,,,,,
78,1978,1978-10-15,7,28.187,ATL,,DET,W 14-0,,,,,,,,,,,
79,1978,1978-10-22,8,28.194,ATL,@,SFO,W 20-17,,,,,,,,,,,
80,1978,1978-10-30,9,28.202,ATL,,RAM,W 15-7,,,,,,,,,,,
81,1978,1978-11-05,10,28.208,ATL,,SFO,W 21-10,,,,,,,,,,,
82,1978,1978-11-12,11,28.215,ATL,@,NOR,W 20-17,,,,,,,,,,,
83,1978,1978-11-19,12,28.222,ATL,@,CHI,L 7-13,,,,,,,,,,,
84,1978,1978-11-26,13,28.229,ATL,,NOR,W 20-17,,,,,,,,,,,
85,1978,1978-12-03,14,28.236,ATL,@,CIN,L 7-37,,,,,,,,,,,
86,1978,1978-12-10,15,28.243,ATL,,WAS,W 20-17,,,,,,,,,,,
87,1978,1978-12-17,16,28.250,ATL,@,STL,L 21-42,,,,,,,,,,,
88,1979,1979-09-09,2,29.151,DET,,WAS,L 24-27,,,,,,,,,,,
89,1979,1979-09-16,3,29.158,DET,@,NYJ,L 10-31,,,,,,,,,,,
