ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-12-24,16,22.091,CIN,,PHI,W 33-30,0,0,0,,0,0.0%,,0,0,,0,4,97,24.25,0
2,1995,1995-09-03,1,22.344,CIN,@,IND,W 24-21,0,0,0,,0,0.0%,,1,-3,-3.00,0,0,0,,0
3,1995,1995-09-10,2,22.351,CIN,,JAX,W 24-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,1995,1995-09-17,3,22.358,CIN,@,SEA,L 21-24,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
5,1995,1995-09-24,4,23.000,CIN,,HOU,L 28-38,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0
6,1995,1995-10-01,5,23.007,CIN,,MIA,L 23-26,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
7,1995,1995-10-08,6,23.014,CIN,@,TAM,L 16-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0
8,1995,1995-10-19,7,23.025,CIN,@,PIT,W 27-9,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,1995,1995-10-29,8,23.035,CIN,,CLE,L 26-29,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0
10,1995,1995-11-05,9,23.042,CIN,,OAK,L 17-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,1995,1995-11-12,10,23.049,CIN,@,HOU,W 32-25,0,0,0,,0,0.0%,,0,0,,0,3,86,28.67,0
12,1995,1995-11-19,11,23.056,CIN,,PIT,L 31-49,0,0,0,,0,0.0%,,0,0,,0,2,75,37.50,0
13,1995,1995-11-26,12,23.063,CIN,@,JAX,W 17-13,1,1,7,7.00,0,100.0%,7.00,0,0,,0,2,67,33.50,0
14,1995,1995-12-03,13,23.070,CIN,@,GNB,L 10-24,0,0,0,,0,0.0%,,0,0,,0,4,93,23.25,0
15,1995,1995-12-10,14,23.077,CIN,,CHI,W 16-10,,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,1995,1995-12-17,15,23.084,CIN,@,CLE,L 10-26,1,1,18,18.00,0,100.0%,18.00,0,0,,0,4,75,18.75,0
17,1995,1995-12-24,16,23.091,CIN,,MIN,W 27-24,0,0,0,,0,0.0%,,0,0,,0,2,58,29.00,0
18,1996,1996-09-01,1,23.343,CIN,@,STL,L 16-26,,,,,,0.0%,,,,,,0,0,,0
19,1996,1996-09-29,4,24.005,CIN,,DEN,L 10-14,0,0,0,,0,0.0%,,0,0,,0,2,49,24.50,0
20,1996,1996-10-06,5,24.012,CIN,,HOU,L 27-30,1,0,0,,0,0.0%,0.00,0,0,,0,1,11,11.00,0
21,1996,1996-10-20,7,24.026,CIN,@,SFO,L 21-28,,,,,,0.0%,,,,,,0,0,,0
22,1996,1996-10-27,8,24.033,CIN,,JAX,W 28-21,,,,,,0.0%,,,,,,0,0,,0
23,1996,1996-11-03,9,24.040,CIN,@,BAL,W 24-21,3,,,,,0.0%,,,,,,0,0,,0
24,1996,1996-11-10,10,24.047,CIN,,PIT,W 34-24,0,0,0,,0,0.0%,,0,0,,0,3,52,17.33,0
25,1996,1996-11-17,11,24.054,CIN,@,BUF,L 17-31,0,0,0,,0,0.0%,,0,0,,0,3,61,20.33,0
26,1996,1996-12-15,15,24.082,CIN,@,HOU,W 21-13,,,,,,0.0%,,,,,,0,0,,0
27,1996,1996-12-22,16,24.089,CIN,,IND,W 31-24,,,,,,0.0%,,,,,,0,0,,0
