ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-10-22,6,23.086,HOU,,JAX,W 27-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
2,2006,2006-10-29,7,23.093,HOU,@,TEN,L 22-28,,0,0,0,,0,0.0%,,3,90,30.00,0,0,0,,0,0,0,0.0,,
3,2006,2006-11-19,10,23.114,HOU,,BUF,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
4,2006,2006-11-26,11,23.121,HOU,@,NYJ,L 11-26,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
5,2006,2006-12-03,12,23.128,HOU,@,OAK,W 23-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
6,2006,2006-12-10,13,23.135,HOU,,TEN,L 20-26,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
7,2006,2006-12-17,14,23.142,HOU,@,NWE,L 7-40,,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,0,0.0,,
8,2006,2006-12-24,15,23.149,HOU,,IND,W 27-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
9,2006,2006-12-31,16,23.156,HOU,,CLE,W 14-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
10,2007,2007-09-30,4,24.064,HOU,@,ATL,L 16-26,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,,
11,2007,2007-10-07,5,24.071,HOU,,MIA,W 22-19,,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,0.0,,
12,2007,2007-10-14,6,24.078,HOU,@,JAX,L 17-37,,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
13,2007,2007-10-21,7,24.085,HOU,,TEN,L 36-38,,5,4,45,11.25,1,80.0%,9.00,0,0,,0,1,0,0.00,0,1,6,0.0,,
14,2007,2007-10-28,8,24.092,HOU,@,SDG,L 10-35,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,,
15,2007,2007-11-04,9,24.099,HOU,@,OAK,W 24-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
16,2007,2007-11-18,10,24.113,HOU,,NOR,W 23-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
17,2007,2007-11-25,11,24.120,HOU,@,CLE,L 17-27,,,,,,,0.0%,,,,,,,,,,,,,,
