ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.354,OAK,@,RAM,W 24-17,,,,,,,,,,,,
2,1979,1979-09-09,2,22.361,OAK,@,SDG,L 10-30,,,,,,,,,,,,
3,1979,1979-09-16,3,23.003,OAK,@,SEA,L 10-27,,,,,,,,,,,,
4,1979,1979-09-23,4,23.010,OAK,@,KAN,L 7-35,,,,,,,,,,,,
5,1979,1979-09-30,5,23.017,OAK,,DEN,W 27-3,,,,,,,,,,,,
6,1979,1979-10-08,6,23.025,OAK,,MIA,W 13-3,,,,,,,,,,,,
7,1979,1979-10-14,7,23.031,OAK,,ATL,W 50-19,,,,,,,,,,,,
8,1979,1979-10-21,8,23.038,OAK,@,NYJ,L 19-28,,,,,,,,,,,,
9,1979,1979-10-25,9,23.042,OAK,,SDG,W 45-22,,,,,,,,,,,,
10,1979,1979-11-04,10,23.052,OAK,,SFO,W 23-10,,,,,,,,,,,,
11,1979,1979-11-11,11,23.059,OAK,@,HOU,L 17-31,,,,,,,,,,,,
12,1979,1979-11-18,12,23.066,OAK,,KAN,L 21-24,,,,,,,,,,,,
13,1979,1979-11-25,13,23.073,OAK,@,DEN,W 14-10,,,,,,,,,,,,
14,1979,1979-12-03,14,23.081,OAK,@,NOR,W 42-35,0,0,,0,0,0,,0,0.0,1,0,0
15,1979,1979-12-09,15,23.087,OAK,,CLE,W 19-14,,,,,,,,,,,,
16,1979,1979-12-16,16,23.094,OAK,,SEA,L 24-29,,,,,,,,,,,,
17,1980,1980-09-07,1,23.360,BUF,,MIA,W 17-7,,,,,,,,,,,,
18,1980,1980-09-14,2,24.001,BUF,,NYJ,W 20-10,,,,,,,,,,,,
19,1980,1980-09-21,3,24.008,BUF,@,NOR,W 35-26,,,,,,,,,,,,
20,1980,1980-09-28,4,24.015,BUF,,OAK,W 24-7,,,,,,,,,,,,
21,1980,1980-10-05,5,24.022,BUF,@,SDG,W 26-24,,,,,,,,,,,,
22,1980,1980-10-12,6,24.029,BUF,,BAL,L 12-17,,,,,,,,,,,,
23,1980,1980-10-19,7,24.036,BUF,@,MIA,L 14-17,,,,,,,,,,,,
