ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-09-14,1,23.067,NYJ,@,BUF,W 33-19,0,0,,0,3,105,35.00,0,3,33,11.00,0,0,0,0
2,1969,1969-09-21,2,23.074,NYJ,@,DEN,L 19-21,0,0,,0,1,27,27.00,0,3,6,2.00,0,0,0,0
3,1969,1969-09-28,3,23.081,NYJ,@,SDG,L 27-34,0,0,,0,2,43,21.50,0,3,21,7.00,0,0,0,0
4,1969,1969-10-05,4,23.088,NYJ,@,BOS,W 23-14,0,0,,0,3,86,28.67,0,0,0,,0,0,0,0
5,1969,1969-10-12,5,23.095,NYJ,@,CIN,W 21-7,0,0,,0,1,21,21.00,0,1,1,1.00,0,0,0,0
6,1969,1969-10-20,6,23.103,NYJ,,HOU,W 26-17,0,0,,0,0,0,,0,4,28,7.00,0,0,0,0
7,1969,1969-10-26,7,23.109,NYJ,,BOS,W 23-17,0,0,,0,3,84,28.00,0,0,0,,0,0,0,0
8,1969,1969-11-02,8,23.116,NYJ,,MIA,W 34-31,0,0,,0,4,84,21.00,0,2,0,0.00,0,0,0,0
9,1969,1969-11-09,9,23.123,NYJ,,BUF,W 16-6,0,0,,0,2,48,24.00,0,5,37,7.40,0,0,0,0
10,1969,1969-11-16,10,23.130,NYJ,,KAN,L 16-34,0,0,,0,3,63,21.00,0,2,19,9.50,0,0,0,0
11,1969,1969-11-23,11,23.137,NYJ,,CIN,W 40-7,0,0,,0,1,28,28.00,0,5,43,8.60,0,0,0,0
12,1969,1969-11-30,12,23.144,NYJ,,OAK,L 14-27,0,0,,0,6,118,19.67,0,2,11,5.50,0,0,0,0
13,1969,1969-12-06,13,23.150,NYJ,@,HOU,W 34-26,0,0,,0,1,25,25.00,0,1,0,0.00,0,0,0,0
14,1969,1969-12-14,14,23.158,NYJ,@,MIA,W 27-9,0,0,,0,1,18,18.00,0,3,36,12.00,0,1,25,0
15,1970,1970-09-21,1,24.074,NYJ,@,CLE,L 21-31,0,0,,0,3,86,28.67,0,1,-4,-4.00,0,0,0,0
16,1970,1970-09-27,2,24.080,NYJ,@,BOS,W 31-21,0,0,,0,2,47,23.50,0,2,-4,-2.00,0,0,0,0
17,1970,1970-10-04,3,24.087,NYJ,@,BUF,L 31-34,0,0,,0,5,116,23.20,0,1,16,16.00,0,0,0,0
18,1970,1970-10-10,4,24.093,NYJ,,MIA,L 6-20,0,0,,0,5,92,18.40,0,0,0,,0,0,0,0
19,1970,1970-10-18,5,24.101,NYJ,,BAL,L 22-29,0,0,,0,4,86,21.50,0,3,38,12.67,0,0,0,0
20,1970,1970-10-25,6,24.108,NYJ,,BUF,L 6-10,0,0,,0,2,37,18.50,0,2,12,6.00,0,0,0,0
21,1970,1970-11-01,7,24.115,NYJ,,NYG,L 10-22,1,2,2.00,0,3,77,25.67,0,1,11,11.00,0,0,0,0
22,1970,1970-11-08,8,24.122,NYJ,@,PIT,L 17-21,0,0,,0,3,87,29.00,0,3,15,5.00,0,0,0,0
23,1970,1970-11-15,9,24.129,NYJ,@,RAM,W 31-20,0,0,,0,3,52,17.33,0,2,7,3.50,0,0,0,0
24,1970,1970-11-22,10,24.136,NYJ,,BOS,W 17-3,0,0,,0,2,37,18.50,0,0,0,,0,0,0,0
25,1970,1970-11-29,11,24.143,NYJ,,MIN,W 20-10,0,0,,0,3,59,19.67,0,1,5,5.00,0,0,0,0
26,1970,1970-12-06,12,24.150,NYJ,,OAK,L 13-14,0,0,,0,1,22,22.00,0,1,0,0.00,0,0,0,0
27,1970,1970-12-13,13,24.157,NYJ,@,MIA,L 10-16,0,0,,0,2,30,15.00,0,1,18,18.00,0,0,0,0
28,1970,1970-12-19,14,24.163,NYJ,@,BAL,L 20-35,0,0,,0,2,63,31.50,0,1,3,3.00,0,0,0,0
