ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1966,1966-09-18,3,25.354,OAK,,KAN,L 10-32,0,0,,0,0,0,,0,0,0,,,0,,,1,1,100.0,1,4,25.0,0,4,7,245,35.00,1
2,1966,1966-09-25,4,25.361,OAK,,SDG,L 20-29,0,0,,0,0,0,,0,0,0,,,0,,,2,2,100.0,2,2,100.0,0,8,3,142,47.33,0
3,1966,1966-10-09,5,26.010,OAK,,MIA,W 21-10,0,0,,0,0,0,,0,0,0,,,0,,,3,3,100.0,,1,0.0,0,3,3,137,45.67,0
4,1966,1966-10-16,6,26.017,OAK,@,KAN,W 34-13,0,0,,0,0,0,,0,0,0,,,0,,,4,4,100.0,2,3,66.7,0,10,5,242,48.40,0
5,1966,1966-10-23,7,26.024,OAK,@,NYJ,W 24-21,0,0,,0,0,0,,0,0,0,,,0,,,3,3,100.0,1,1,100.0,0,6,5,223,44.60,0
6,1966,1966-10-30,8,26.031,OAK,@,BOS,L 21-24,0,0,,0,0,0,,0,0,0,,,0,,,3,3,100.0,,3,0.0,0,3,7,301,43.00,0
7,1966,1966-11-06,9,26.038,OAK,,HOU,W 38-23,0,0,,0,0,0,,0,0,0,,,0,,,5,5,100.0,1,2,50.0,0,8,5,199,39.80,0
8,1966,1966-11-13,10,26.045,OAK,@,SDG,W 41-19,0,0,,0,0,0,,0,0,0,,,0,,,5,5,100.0,2,2,100.0,0,11,2,73,36.50,0
9,1966,1966-11-20,11,26.052,OAK,@,DEN,W 17-3,0,0,,0,0,0,,0,0,0,,,0,,,2,2,100.0,1,3,33.3,0,5,10,427,42.70,0
10,1966,1966-11-24,12,26.056,OAK,,BUF,L 10-31,0,0,,0,0,0,,0,0,0,,,0,,,1,1,100.0,1,1,100.0,0,4,7,298,42.57,0
11,1966,1966-12-03,13,26.065,OAK,,NYJ,T 28-28,0,0,,0,0,0,,0,0,0,,,0,,,4,4,100.0,,3,0.0,0,4,6,204,34.00,0
12,1966,1966-12-11,14,26.073,OAK,,DEN,W 28-10,0,0,,0,0,0,,0,0,0,,,0,,,4,4,100.0,,1,0.0,0,4,5,212,42.40,0
13,1967,1967-09-10,1,26.346,OAK,,DEN,W 51-0,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,4,177,44.25,0
14,1967,1967-09-17,2,26.353,OAK,,BOS,W 35-7,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,6,275,45.83,0
15,1967,1967-10-01,3,27.002,OAK,,KAN,W 23-21,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,6,285,47.50,0
16,1967,1967-10-07,4,27.008,OAK,@,NYJ,L 14-27,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,7,299,42.71,1
17,1967,1967-10-15,5,27.016,OAK,@,BUF,W 24-20,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,5,236,47.20,0
18,1967,1967-10-22,6,27.023,OAK,@,BOS,W 48-14,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,7,293,41.86,0
19,1967,1967-10-29,7,27.030,OAK,,SDG,W 51-10,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,6,306,51.00,0
20,1967,1967-11-05,8,27.037,OAK,@,DEN,W 21-17,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,7,274,39.14,0
21,1967,1967-11-19,9,27.051,OAK,,MIA,W 31-17,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,5,212,42.40,0
22,1967,1967-11-23,10,27.055,OAK,@,KAN,W 44-22,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,4,172,43.00,0
23,1967,1967-12-03,11,27.065,OAK,@,SDG,W 41-21,0,0,,0,0,0,,0,0,0,,,0,,,,,,,,,0,0,7,297,42.43,0
