ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1986,1986-09-08,1,22.341,DAL,,NYG,W 31-28,,,,,,,,,
2,1986,1986-09-14,2,22.347,DAL,@,DET,W 31-7,,,,,,,,,
3,1986,1986-09-21,3,22.354,DAL,,ATL,L 35-37,,,,,,,,,
4,1987,1987-10-04,3,24.002,PIT,@,ATL,W 28-12,1,0,0.00,0,0,0,0,0,0
5,1987,1987-10-11,4,24.009,PIT,@,RAM,L 21-31,0,0,,0,0,0,1,5,0
6,1987,1987-10-18,5,24.016,PIT,,IND,W 21-7,0,0,,0,,,,,
7,1987,1987-10-25,6,24.023,PIT,,CIN,W 23-20,0,0,,0,,,,,
8,1987,1987-11-01,7,24.030,PIT,@,MIA,L 24-35,0,0,,0,,,,,
9,1987,1987-11-08,8,24.037,PIT,@,KAN,W 17-16,0,0,,0,,,,,
10,1987,1987-11-15,9,24.044,PIT,,HOU,L 3-23,0,0,,0,,,,,
11,1987,1987-11-22,10,24.051,PIT,@,CIN,W 30-16,0,0,,0,,,,,
12,1987,1987-11-29,11,24.058,PIT,,NOR,L 16-20,0,0,,0,,,,,
13,1987,1987-12-06,12,24.065,PIT,,SEA,W 13-9,0,0,,0,,,,,
14,1987,1987-12-13,13,24.072,PIT,@,SDG,W 20-16,0,0,,0,,,,,
15,1987,1987-12-20,14,24.079,PIT,@,HOU,L 16-24,0,0,,0,,,,,
16,1987,1987-12-26,15,24.085,PIT,,CLE,L 13-19,0,0,,0,1,6,1,45,1
17,1988,1988-09-04,1,24.338,PIT,,DAL,W 24-21,,,,,,,,,
18,1988,1988-09-11,2,24.345,PIT,@,WAS,L 29-30,,,,,,,,,
19,1988,1988-09-18,3,24.352,PIT,,CIN,L 12-17,,,,,,,,,
20,1988,1988-09-25,4,24.359,PIT,@,BUF,L 28-36,,,,,,,,,
21,1988,1988-10-02,5,25.000,PIT,,CLE,L 9-23,,,,,,,,,
22,1988,1988-10-09,6,25.007,PIT,@,PHO,L 14-31,,,,,,,,,
23,1988,1988-10-16,7,25.014,PIT,,HOU,L 14-34,,,,,,,,,
24,1988,1988-10-23,8,25.021,PIT,,DEN,W 39-21,0,0,,0,0,0,1,24,0
25,1988,1988-10-30,9,25.028,PIT,@,NYJ,L 20-24,,,,,,,,,
26,1988,1988-11-06,10,25.035,PIT,@,CIN,L 7-42,,,,,,,,,
27,1988,1988-11-13,11,25.042,PIT,,PHI,L 26-27,,,,,,,,,
28,1988,1988-11-20,12,25.049,PIT,@,CLE,L 7-27,,,,,,,,,
29,1988,1988-11-27,13,25.056,PIT,,KAN,W 16-10,,,,,,,,,
30,1988,1988-12-04,14,25.063,PIT,@,HOU,W 37-34,,,,,,,,,
31,1988,1988-12-11,15,25.070,PIT,@,SDG,L 14-20,,,,,,,,,
32,1988,1988-12-18,16,25.077,PIT,,MIA,W 40-24,,,,,,,,,
