ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2016,2016-09-11,1,26.085,CHI,@,HOU,L 14-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
2,2016,2016-09-19,2,26.093,CHI,,PHI,L 14-29,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
3,2016,2016-10-09,5,26.113,CHI,@,IND,L 23-29,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
4,2016,2016-10-16,6,26.120,CHI,,JAX,L 16-17,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
5,2016,2016-11-13,9,26.148,CHI,@,TAM,L 10-36,*,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0
6,2016,2016-11-20,10,26.155,CHI,@,NYG,L 16-22,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0
7,2016,2016-11-27,11,26.162,CHI,,TEN,L 21-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
8,2016,2016-12-04,12,26.169,CHI,,SFO,W 26-6,*,0,0,,0,0,0,0,,0,0.0%,,1,5,5.00,0
9,2016,2016-12-11,13,26.176,CHI,@,DET,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
10,2016,2016-12-18,14,26.183,CHI,,GNB,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
