ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-10-04,3,21.340,ATL,,PIT,L 12-28,1,1,100.0,1,1,100.0,0,4,1,19,19.00,0
2,1987,1987-10-11,4,21.347,ATL,,SFO,L 17-25,2,2,100.0,1,2,50.0,0,5,5,172,34.40,0
3,1987,1987-10-18,5,21.354,ATL,,RAM,W 24-20,3,3,100.0,1,1,100.0,0,6,0,0,,0
4,1988,1988-09-04,1,22.311,ATL,@,DET,L 17-31,2,2,100.0,1,1,100.0,0,5,0,0,,0
5,1988,1988-09-11,2,22.318,ATL,,NOR,L 21-29,3,3,100.0,,1,0.0,0,3,0,0,,0
6,1988,1988-09-18,3,22.325,ATL,@,SFO,W 34-17,4,4,100.0,2,2,100.0,0,10,0,0,,0
7,1988,1988-09-25,4,22.332,ATL,@,DAL,L 20-26,2,2,100.0,2,2,100.0,0,8,0,0,,0
8,1988,1988-10-02,5,22.339,ATL,,SEA,L 20-31,2,2,100.0,2,3,66.7,0,8,0,0,,0
9,1988,1988-10-09,6,22.346,ATL,,RAM,L 0-33,,,,,,,,,,,,
10,1988,1988-10-16,7,22.353,ATL,@,DEN,L 14-30,2,2,100.0,,,,0,2,,,,
11,1988,1988-10-23,8,22.360,ATL,,NYG,L 16-23,1,1,100.0,3,3,100.0,0,10,0,0,,0
12,1988,1988-10-30,9,23.001,ATL,@,PHI,W 27-24,3,4,75.0,,1,0.0,0,3,0,0,,0
13,1988,1988-11-06,10,23.008,ATL,,GNB,W 20-0,2,2,100.0,2,4,50.0,0,8,0,0,,0
14,1988,1988-11-13,11,23.015,ATL,,SDG,L 7-10,1,1,100.0,,2,0.0,0,1,0,0,,0
15,1988,1988-11-20,12,23.022,ATL,@,RAI,W 12-6,,1,0.0,2,3,66.7,0,6,0,0,,0
16,1988,1988-11-27,13,23.029,ATL,,TAM,W 17-10,2,2,100.0,1,2,50.0,0,5,0,0,,0
17,1988,1988-12-04,14,23.036,ATL,,SFO,L 3-13,,,,1,2,50.0,0,3,0,0,,0
18,1988,1988-12-11,15,23.043,ATL,@,RAM,L 7-22,1,1,100.0,,1,0.0,0,1,0,0,,0
19,1988,1988-12-18,16,23.050,ATL,@,NOR,L 9-10,,,,3,3,100.0,0,9,0,0,,0
20,1989,1989-09-10,1,23.316,NWE,@,NYJ,W 27-24,3,4,75.0,,,,0,3,,,,
21,1989,1989-09-17,2,23.323,NWE,,MIA,L 10-24,1,1,100.0,1,2,50.0,0,4,0,0,,0
22,1989,1989-09-24,3,23.330,NWE,,SEA,L 3-24,,,,1,1,100.0,0,3,0,0,,0
23,1989,1989-10-01,4,23.337,NWE,@,BUF,L 10-31,1,1,100.0,1,2,50.0,0,4,0,0,,0
24,1989,1989-10-08,5,23.344,NWE,,HOU,W 23-13,2,2,100.0,3,4,75.0,0,11,0,0,,0
25,1989,1989-10-15,6,23.351,NWE,@,ATL,L 15-16,,1,0.0,3,3,100.0,0,9,0,0,,0
26,1989,1989-10-22,7,23.358,NWE,@,SFO,L 20-37,2,2,100.0,2,2,100.0,0,8,0,0,,0
27,1989,1989-10-29,8,24.000,NWE,@,IND,W 23-20,2,2,100.0,3,5,60.0,0,11,0,0,,0
28,1989,1989-11-05,9,24.007,NWE,,NYJ,L 26-27,2,3,66.7,2,4,50.0,0,8,0,0,,0
29,1989,1989-11-19,11,24.021,ATL,,NOR,L 17-26,2,2,100.0,1,2,50.0,0,5,0,0,,0
30,1989,1989-11-26,12,24.028,ATL,@,NYJ,L 7-27,1,1,100.0,,,,0,1,,,,
31,1989,1989-12-03,13,24.035,ATL,,SFO,L 10-23,1,1,100.0,1,2,50.0,0,4,0,0,,0
32,1989,1989-12-10,14,24.042,ATL,@,MIN,L 17-43,2,2,100.0,1,1,100.0,0,5,0,0,,0
33,1989,1989-12-17,15,24.049,ATL,,WAS,L 30-31,3,3,100.0,3,4,75.0,0,12,0,0,,0
34,1989,1989-12-24,16,24.056,ATL,,DET,L 24-31,3,3,100.0,1,2,50.0,0,6,0,0,,0
35,1990,1990-09-09,1,24.315,ATL,,HOU,W 47-27,5,5,100.0,4,4,100.0,0,17,0,0,,0
36,1990,1990-09-16,2,24.322,ATL,@,DET,L 14-21,2,2,100.0,,,,0,2,,,,
37,1990,1990-09-23,3,24.329,ATL,@,SFO,L 13-19,1,1,100.0,2,3,66.7,0,7,0,0,,0
38,1990,1990-10-07,4,24.343,ATL,,NOR,W 28-27,4,4,100.0,,1,0.0,0,4,0,0,,0
39,1990,1990-10-14,5,24.350,ATL,,SFO,L 35-45,5,5,100.0,,,,0,5,,,,
40,1990,1990-10-21,6,24.357,ATL,@,RAM,L 24-44,3,3,100.0,1,1,100.0,0,6,0,0,,0
41,1990,1990-10-28,7,24.364,ATL,,CIN,W 38-17,5,5,100.0,1,2,50.0,0,8,0,0,,0
42,1990,1990-11-04,8,25.006,ATL,@,PIT,L 9-21,,,,3,5,60.0,0,9,0,0,,0
43,1990,1990-11-11,9,25.013,ATL,@,CHI,L 24-30,3,3,100.0,1,2,50.0,0,6,0,0,,0
44,1990,1990-11-18,10,25.020,ATL,,PHI,L 23-24,2,2,100.0,3,3,100.0,0,11,0,0,,0
45,1990,1990-11-25,11,25.027,ATL,@,NOR,L 7-10,1,1,100.0,,2,0.0,0,1,0,0,,0
46,1990,1990-12-02,12,25.034,ATL,@,TAM,L 17-23,2,2,100.0,1,1,100.0,0,5,0,0,,0
47,1990,1990-12-09,13,25.041,ATL,,PHO,L 13-24,1,1,100.0,2,2,100.0,0,7,0,0,,0
48,1990,1990-12-16,14,25.048,ATL,@,CLE,L 10-13,1,1,100.0,1,3,33.3,0,4,0,0,,0
49,1990,1990-12-23,15,25.055,ATL,,RAM,W 20-13,2,2,100.0,2,2,100.0,0,8,0,0,,0
50,1990,1990-12-30,16,25.062,ATL,,DAL,W 26-7,3,3,100.0,1,2,50.0,0,6,0,0,,0
51,1991,1991-09-01,1,25.307,PHO,@,RAM,W 24-14,3,3,100.0,1,2,50.0,0,6,0,0,,0
52,1991,1991-09-08,2,25.314,PHO,@,PHI,W 26-10,2,2,100.0,4,4,100.0,0,14,0,0,,0
53,1991,1991-09-15,3,25.321,PHO,@,WAS,L 0-34,,,,,1,0.0,0,0,0,0,,0
54,1991,1991-09-22,4,25.328,PHO,,DAL,L 9-17,,,,3,4,75.0,0,9,0,0,,0
55,1991,1991-09-29,5,25.335,PHO,,NWE,W 24-10,3,3,100.0,1,2,50.0,0,6,0,0,,0
56,1991,1991-10-06,6,25.342,PHO,@,NYG,L 9-20,,,,3,4,75.0,0,9,0,0,,0
57,1991,1991-10-13,7,25.349,PHO,@,MIN,L 7-34,1,1,100.0,,1,0.0,0,1,0,0,,0
58,1991,1991-10-20,8,25.356,PHO,,ATL,W 16-10,1,1,100.0,3,4,75.0,0,10,0,0,,0
59,1991,1991-10-27,9,25.363,PHO,,MIN,L 0-28,,,,,,,,,,,,
60,1991,1991-11-03,10,26.005,PHO,@,DAL,L 7-27,1,1,100.0,,,,0,1,,,,
61,1991,1991-11-10,11,26.012,PHO,,NYG,L 14-21,2,2,100.0,,,,0,2,,,,
62,1991,1991-11-17,12,26.019,PHO,@,SFO,L 10-14,1,1,100.0,1,1,100.0,0,4,0,0,,0
63,1991,1991-11-24,13,26.026,PHO,,PHI,L 14-34,2,2,100.0,,1,0.0,0,2,0,0,,0
64,1991,1991-12-08,14,26.040,PHO,,WAS,L 14-20,2,2,100.0,,,,0,2,,,,
65,1991,1991-12-15,15,26.047,PHO,@,DEN,L 19-24,1,1,100.0,4,5,80.0,0,13,0,0,,0
66,1991,1991-12-22,16,26.054,PHO,,NOR,L 3-27,,,,1,1,100.0,0,3,0,0,,0
67,1992,1992-09-06,1,26.313,PHO,@,TAM,L 7-23,1,1,100.0,,,,0,1,4,167,41.75,0
68,1992,1992-09-13,2,26.320,PHO,,PHI,L 14-31,2,2,100.0,,1,0.0,0,2,0,0,,0
69,1992,1992-09-20,3,26.327,PHO,@,DAL,L 20-31,2,2,100.0,2,2,100.0,0,8,0,0,,0
70,1992,1992-10-04,4,26.341,PHO,,WAS,W 27-24,3,3,100.0,,,,0,3,,,,
71,1992,1992-10-11,5,26.348,PHO,@,NYG,L 21-31,3,3,100.0,,,,0,3,,,,
72,1992,1992-10-18,6,26.355,PHO,,NOR,L 21-30,3,3,100.0,,,,0,3,,,,
73,1992,1992-10-25,7,26.362,PHO,@,PHI,L 3-7,,,,1,2,50.0,0,3,0,0,,0
74,1992,1992-11-01,8,27.003,PHO,,SFO,W 24-14,3,3,100.0,1,2,50.0,0,6,0,0,,0
75,1992,1992-11-08,9,27.010,PHO,@,RAM,W 20-14,2,2,100.0,2,4,50.0,0,8,0,0,,0
76,1992,1992-11-15,10,27.017,PHO,@,ATL,L 17-20,2,2,100.0,1,4,25.0,0,5,0,0,,0
77,1992,1992-11-22,11,27.024,PHO,,DAL,L 10-16,1,1,100.0,1,1,100.0,0,4,0,0,,0
