ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,23.270,STL,,CIN,W 26-16,,,,,,,,,,,0.0%,
2,1996,1996-09-08,2,23.277,STL,@,SFO,L 0-34,,,,,,,,,,,0.0%,
3,1996,1996-09-22,3,23.291,STL,,WAS,L 10-17,,,,,,,,,,,0.0%,
4,1996,1996-10-27,8,23.326,WAS,,IND,W 31-16,,,,,,,,,,,0.0%,
5,1996,1996-11-03,9,23.333,STL,@,PIT,L 6-42,,,,,,,,,,,0.0%,
6,1996,1996-11-10,10,23.340,STL,,ATL,W 59-16,,,,,,,,,,,0.0%,
7,1996,1996-12-01,13,23.361,STL,@,NOR,W 26-10,,,,,,,,,,,0.0%,
8,1996,1996-12-08,14,24.002,STL,@,CHI,L 9-35,,,,,,,,,,,0.0%,
9,1996,1996-12-15,15,24.009,STL,@,ATL,W 34-27,,,,,,,,,,,0.0%,
10,1997,1997-08-31,1,24.268,STL,,NOR,W 38-24,,,,,,,0,0,,0,0.0%,
11,1997,1997-09-07,2,24.275,STL,,SFO,L 12-15,,,,,,,0,0,,0,0.0%,
12,1997,1997-09-28,5,24.296,STL,@,OAK,L 17-35,,,,,,,0,0,,0,0.0%,
13,1997,1997-10-12,6,24.310,STL,@,SFO,L 10-30,,,,,,,0,0,,0,0.0%,
14,1997,1997-10-19,7,24.317,STL,,SEA,L 9-17,,,,,,,0,0,,0,0.0%,
15,1997,1997-10-26,8,24.324,STL,,KAN,L 20-28,,,,,,,0,0,,0,0.0%,
16,1997,1997-11-02,9,24.331,STL,@,ATL,L 31-34,,0,0,,0,1,1,0,0.00,0,100.0%,0.00
17,1997,1997-11-09,10,24.338,STL,@,GNB,L 7-17,,,,,,,0,0,,0,0.0%,
18,1997,1997-11-16,11,24.345,STL,,ATL,L 21-27,,,,,,,0,0,,0,0.0%,
19,1997,1997-11-23,12,24.352,STL,,CAR,L 10-16,,,,,,,0,0,,0,0.0%,
20,1997,1997-11-30,13,24.359,STL,@,WAS,W 23-20,,,,,,,0,0,,0,0.0%,
21,1997,1997-12-07,14,25.001,STL,@,NOR,W 34-27,,,,,,,0,0,,0,0.0%,
22,1997,1997-12-14,15,25.008,STL,,CHI,L 10-13,,,,,,,0,0,,0,0.0%,
23,1997,1997-12-20,16,25.014,STL,@,CAR,W 30-18,,,,,,,0,0,,0,0.0%,
24,1998,1998-09-20,3,25.288,STL,@,BUF,W 34-33,,,,,,,,,,,0.0%,
25,1998,1998-09-27,4,25.295,STL,,ARI,L 17-20,,,,,,,,,,,0.0%,
26,1998,1998-10-11,5,25.309,STL,,NYJ,W 30-10,,,,,,,,,,,0.0%,
27,1998,1998-10-18,6,25.316,STL,@,MIA,L 0-14,,,,,,,,,,,0.0%,
