ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1995,1995-09-03,1,22.359,IND,,CIN,L 21-24,0,0,,0,0,0,,0
2,1995,1995-09-10,2,23.001,IND,@,NYJ,W 27-24,0,0,,0,1,32,32.00,0
3,1995,1995-09-17,3,23.008,IND,@,BUF,L 14-20,0,0,,0,1,4,4.00,0
4,1995,1995-10-01,4,23.022,IND,,STL,W 21-18,0,0,,0,3,18,6.00,0
5,1995,1995-10-08,5,23.029,IND,@,MIA,W 27-24,0,0,,0,1,5,5.00,0
6,1995,1995-10-15,6,23.036,IND,,SFO,W 18-17,0,0,,0,1,0,0.00,0
7,1995,1995-10-22,7,23.043,IND,@,OAK,L 17-30,0,0,,0,2,6,3.00,0
8,1995,1995-10-29,8,23.050,IND,,NYJ,W 17-10,0,0,,0,1,11,11.00,0
9,1995,1995-11-05,9,23.057,IND,,BUF,L 10-16,1,31,31.00,0,3,3,1.00,0
