ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1995,1995-12-03,13,24.329,OAK,,KAN,L 23-29,,5,11,45.45,118,2,0,124.2,0,0,10.73,14.36,0,0,,0,0,0,0,0,,0
2,1995,1995-12-10,14,24.336,OAK,,PIT,L 10-29,*,20,37,54.05,162,0,4,25.8,0,0,4.38,-0.49,2,-1,-0.50,0,0,0,0,0,,0
3,1995,1995-12-17,15,24.343,OAK,@,SEA,L 10-44,,8,13,61.54,127,1,0,119.7,2,9,9.77,11.31,1,6,6.00,0,0,0,0,0,,0
4,1995,1995-12-24,16,24.350,OAK,,DEN,L 28-31,*,11,19,57.89,133,3,0,119.1,1,2,7.00,10.16,0,0,,0,0,0,0,0,,0
5,1996,1996-09-01,1,25.237,OAK,@,BAL,L 14-19,*,17,26,65.38,192,2,2,80.9,3,14,7.38,5.46,0,0,,0,0,0,0,0,,0
6,1996,1996-09-08,2,25.244,OAK,@,KAN,L 3-19,*,19,40,47.50,181,0,1,50.1,2,21,4.53,3.40,0,0,,0,0,0,0,0,,0
7,1996,1996-09-22,4,25.258,OAK,,SDG,L 34-40,,8,12,66.67,107,2,0,134.4,1,9,8.92,12.25,1,14,14.00,0,0,0,0,0,,0
8,1996,1996-10-06,6,25.272,OAK,@,NYJ,W 34-13,,0,0,,0,0,0,,,,,,1,-1,-1.00,0,0,0,0,0,,0
9,1996,1996-11-24,12,25.321,OAK,@,SEA,W 27-21,,0,0,,0,0,0,,,,,,0,0,,0,0,0,2,76,38.00,0
10,1996,1996-12-01,13,25.328,OAK,,MIA,W 17-7,,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,295,42.14,0
11,1996,1996-12-15,15,25.342,OAK,@,DEN,L 19-24,,1,3,33.33,12,0,1,6.9,0,0,4.00,-11.00,0,0,,0,0,0,0,0,,0
12,1996,1996-12-22,16,25.349,OAK,,SEA,L 21-28,*,12,23,52.17,175,0,1,59.1,3,8,7.61,5.65,0,0,,0,0,0,0,0,,0
13,1997,1997-10-05,5,26.270,BUF,,DET,W 22-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
14,1997,1997-10-12,6,26.277,BUF,@,NWE,L 6-33,,17,30,56.67,133,0,2,40.0,2,7,4.43,1.43,2,7,3.50,0,0,0,0,0,,0
15,1997,1997-11-23,12,26.319,NOR,@,ATL,L 3-20,,4,10,40.00,49,0,1,16.2,0,0,4.90,0.40,0,0,,0,0,0,0,0,,0
16,1997,1997-11-30,13,26.326,NOR,@,CAR,W 16-13,*,14,30,46.67,190,0,1,53.5,0,0,6.33,4.83,4,4,1.00,0,0,0,0,0,,0
17,1997,1997-12-07,14,26.333,NOR,,STL,L 27-34,*,18,42,42.86,259,2,2,59.5,2,19,6.17,4.98,0,0,,0,0,0,0,0,,0
18,1997,1997-12-14,15,26.340,NOR,,ARI,W 27-10,*,14,24,58.33,252,3,1,116.7,0,0,10.50,11.13,7,17,2.43,0,0,0,0,0,,0
19,1997,1997-12-21,16,26.347,NOR,@,KAN,L 13-25,*,11,25,44.00,141,1,3,36.0,2,10,5.64,1.04,1,15,15.00,0,0,0,0,0,,0
20,1998,1998-09-06,1,27.241,NOR,@,STL,W 24-17,*,11,23,47.83,170,1,0,87.2,2,17,7.39,8.26,2,13,6.50,0,0,0,0,0,,0
21,1999,1999-09-12,1,28.247,NOR,,CAR,W 19-10,*,11,22,50.00,132,1,0,83.9,4,24,6.00,6.91,4,7,1.75,0,0,0,0,0,,0
22,1999,1999-09-19,2,28.254,NOR,@,SFO,L 21-28,*,20,37,54.05,223,3,2,76.7,0,0,6.03,5.22,2,2,1.00,0,0,0,0,0,,0
23,1999,1999-10-03,3,28.268,NOR,@,CHI,L 10-14,*,8,13,61.54,76,0,0,77.7,2,29,5.85,5.85,1,2,2.00,1,1,6,0,0,,0
24,1999,1999-10-10,4,28.275,NOR,,ATL,L 17-20,*,9,14,64.29,153,1,0,125.0,1,0,10.93,12.36,0,0,,0,0,0,0,0,,0
25,1999,1999-10-31,7,28.296,NOR,,CLE,L 16-21,*,4,9,44.44,28,1,1,49.5,0,0,3.11,0.33,1,9,9.00,0,0,0,0,0,,0
26,1999,1999-11-21,10,28.317,NOR,@,JAX,L 23-41,,8,13,61.54,92,0,1,50.8,0,0,7.08,3.62,2,16,8.00,0,0,0,0,0,,0
27,1999,1999-11-28,11,28.324,NOR,@,STL,L 12-43,*,23,41,56.10,254,0,2,54.3,2,10,6.20,4.00,2,11,5.50,0,0,0,0,0,,0
28,1999,1999-12-05,12,28.331,NOR,@,ATL,L 12-35,*,2,7,28.57,12,0,0,39.6,2,16,1.71,1.71,0,0,,0,0,0,0,0,,0
29,1999,1999-12-19,14,28.345,NOR,@,BAL,L 8-31,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
