ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-19,2,24.185,STL,@,OAK,L 14-16,,0,0,,0,,0,0,0.0,1,0,0,0,0
2,2010,2010-09-26,3,24.192,STL,,WAS,W 30-16,,,,,,,,,,,,,,
3,2010,2010-10-03,4,24.199,STL,,SEA,W 20-3,,0,0,,0,,0,0,0.0,0,0,0,0,0
4,2010,2010-10-10,5,24.206,STL,@,DET,L 6-44,,0,0,,0,,0,0,0.0,1,0,0,0,0
5,2010,2010-12-05,12,24.262,STL,@,ARI,W 19-6,,0,0,,0,,0,0,0.0,0,0,0,0,0
6,2010,2010-12-12,13,24.269,STL,@,NOR,L 13-31,,0,0,,0,,0,0,0.0,0,1,0,0,0
7,2010,2010-12-19,14,24.276,STL,,KAN,L 13-27,,0,0,,0,,0,0,0.0,0,1,0,0,0
8,2010,2010-12-26,15,24.283,STL,,SFO,W 25-17,,0,0,,0,,0,0,0.0,2,0,0,0,0
9,2010,2011-01-02,16,24.290,STL,@,SEA,L 6-16,,,,,,,,,,,,,,
10,2011,2011-09-11,1,25.177,STL,,PHI,L 13-31,,1,10,10.00,0,,0,0,0.0,1,0,0,0,0
11,2011,2011-09-19,2,25.185,STL,@,NYG,L 16-28,,0,0,,0,,0,0,0.0,0,2,0,0,0
12,2011,2011-09-25,3,25.191,STL,,BAL,L 7-37,,0,0,,0,,0,0,0.0,2,0,0,0,0
13,2011,2011-10-02,4,25.198,STL,,WAS,L 10-17,,0,0,,0,,0,0,0.0,1,0,0,0,0
14,2011,2011-10-16,5,25.212,STL,@,GNB,L 3-24,,,,,,,,,,,,,,
15,2011,2011-10-23,6,25.219,STL,@,DAL,L 7-34,,,,,,,,,,,,,,
16,2011,2011-10-30,7,25.226,STL,,NOR,W 31-21,,0,0,,0,,0,0,0.0,1,0,0,0,0
17,2011,2011-11-06,8,25.233,STL,@,ARI,L 13-19,,0,0,,0,,0,0,0.0,2,0,0,0,0
18,2011,2011-11-13,9,25.240,STL,@,CLE,W 13-12,,,,,,,,,,,,,,
19,2011,2011-11-20,10,25.247,STL,,SEA,L 7-24,,0,0,,0,,0,0,0.0,0,1,0,0,0
20,2011,2011-11-27,11,25.254,STL,,ARI,L 20-23,,,,,,,,,,,,,,
21,2011,2011-12-04,12,25.261,STL,@,SFO,L 0-26,,0,0,,0,,0,0,0.0,0,0,0,0,0
22,2011,2011-12-12,13,25.269,STL,@,SEA,L 13-30,,,,,,,,,,,,,,
23,2011,2011-12-18,14,25.275,STL,,CIN,L 13-20,,0,0,,0,,0,0,0.0,1,0,0,0,0
24,2011,2011-12-24,15,25.281,STL,@,PIT,L 0-27,,0,0,,0,,0,0,0.0,1,0,0,0,0
25,2011,2012-01-01,16,25.289,STL,,SFO,L 27-34,,,,,,,,,,,,,,
