ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1978,1978-09-03,1,22.119,SFO,@,CLE,L 7-24,,,,,,,,,,,,
2,1978,1978-09-10,2,22.126,SFO,,CHI,L 13-16,,,,,,,,,,,,
3,1978,1978-09-17,3,22.133,SFO,@,HOU,L 19-20,,,,,,,,,,,,
4,1978,1978-09-24,4,22.140,SFO,@,NYG,L 10-27,,,,,,,,,,,,
5,1978,1978-10-01,5,22.147,SFO,,CIN,W 28-12,,,,,,,,,,,,
6,1978,1978-10-08,6,22.154,SFO,@,RAM,L 10-27,,,,,,,,,,,,
7,1978,1978-10-15,7,22.161,SFO,,NOR,L 7-14,,,,,,,,,,,,
8,1978,1978-11-05,10,22.182,SFO,@,ATL,L 10-21,,,,,,,,,,,,
9,1978,1978-11-12,11,22.189,SFO,,STL,L 10-16,,,,,,,,,,,,
10,1978,1978-11-19,12,22.196,SFO,,RAM,L 28-31,,,,,,,,,,,,
11,1978,1978-11-27,13,22.204,SFO,,PIT,L 7-24,,,,,,,,,,,,
12,1978,1978-12-03,14,22.210,SFO,@,NOR,L 13-24,,,,,,,,,,,,
13,1978,1978-12-10,15,22.217,SFO,,TAM,W 6-3,,,,,,,,,,,,
14,1978,1978-12-17,16,22.224,SFO,@,DET,L 14-33,,0,2,0.00,0,0,2,0.0,0,0,0.00,-45.00
