ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1972,1972-09-17,1,23.240,ATL,@,CHI,W 37-21,,0,0,,0,0,0,,0,0,,,0,0,,0,2,97,48.50,0
2,1972,1972-09-24,2,23.247,ATL,@,NWE,L 20-21,,0,0,,0,0,0,,0,0,,,0,0,,0,3,127,42.33,0
3,1972,1972-10-01,3,23.254,ATL,,RAM,W 31-3,,0,0,,0,0,0,,0,0,,,0,0,,0,4,154,38.50,0
4,1972,1972-10-08,4,23.261,ATL,,DET,L 23-26,,0,0,,0,0,0,,0,0,,,0,0,,0,6,238,39.67,0
5,1972,1972-10-15,5,23.268,ATL,@,NOR,W 21-14,,0,0,,0,0,0,,0,0,,,0,0,,0,4,172,43.00,0
6,1972,1972-10-22,6,23.275,ATL,@,GNB,W 10-9,,0,0,,0,0,0,,0,0,,,0,0,,0,3,84,28.00,0
7,1972,1972-10-29,7,23.282,ATL,,SFO,L 14-49,,0,0,,0,0,0,,0,0,,,0,0,,0,10,461,46.10,0
8,1972,1972-11-05,8,23.289,ATL,@,RAM,L 7-20,,0,0,,0,0,0,,0,0,,,0,0,,0,5,224,44.80,0
9,1972,1972-11-12,9,23.296,ATL,,NOR,W 36-20,,0,0,,0,0,0,,0,0,,,0,0,,0,3,122,40.67,0
10,1972,1972-11-20,10,23.304,ATL,@,WAS,L 13-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,234,46.80,0
11,1972,1972-11-26,11,23.310,ATL,,DEN,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,6,257,42.83,0
12,1972,1972-12-03,12,23.317,ATL,,HOU,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,5,230,46.00,0
13,1972,1972-12-10,13,23.324,ATL,@,SFO,L 0-20,,0,0,,0,0,0,,0,0,,,0,0,,0,2,91,45.50,0
14,1972,1972-12-17,14,23.331,ATL,,KAN,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,3,118,39.33,0
15,1973,1973-09-16,1,24.238,ATL,@,NOR,W 62-7,,0,0,,0,0,0,,0,0,,,0,0,,0,2,122,61.00,0
16,1973,1973-09-23,2,24.245,ATL,@,RAM,L 0-31,,0,0,,0,0,0,,0,0,,,0,0,,0,8,318,39.75,0
17,1973,1973-10-01,3,24.253,ATL,@,DET,L 6-31,,0,0,,0,0,0,,0,0,,,0,0,,0,6,252,42.00,0
18,1973,1973-10-07,4,24.259,ATL,,SFO,L 9-13,,0,0,,0,0,0,,0,0,,,0,0,,0,5,225,45.00,0
19,1973,1973-10-14,5,24.266,ATL,,CHI,W 46-6,,0,0,,0,0,0,,0,0,,,0,0,,0,3,111,37.00,0
20,1973,1973-10-21,6,24.273,ATL,@,SDG,W 41-0,,0,0,,0,0,0,,0,0,,,0,0,,0,3,118,39.33,0
21,1973,1973-10-28,7,24.280,ATL,@,SFO,W 17-3,,0,0,,0,0,0,,0,0,,,0,0,,0,4,179,44.75,0
22,1973,1973-11-04,8,24.287,ATL,,RAM,W 15-13,,0,0,,0,0,0,,0,0,,,0,0,,0,5,213,42.60,0
23,1973,1973-11-11,9,24.294,ATL,@,PHI,W 44-27,,0,0,,0,0,0,,0,0,,,0,0,,0,3,132,44.00,0
24,1973,1973-11-19,10,24.302,ATL,,MIN,W 20-14,,0,0,,0,0,0,,0,0,,,0,0,,0,3,129,43.00,0
25,1973,1973-11-25,11,24.308,ATL,@,NYJ,W 28-20,,0,0,,0,0,0,,0,0,,,0,0,,0,7,274,39.14,0
26,1973,1973-12-02,12,24.315,ATL,,BUF,L 6-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,244,48.80,0
27,1973,1973-12-09,13,24.322,ATL,,STL,L 10-32,,0,0,,0,0,0,,0,0,,,0,0,,0,4,185,46.25,0
28,1973,1973-12-16,14,24.329,ATL,,NOR,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,5,180,36.00,0
29,1974,1974-09-15,1,25.237,ATL,,DAL,L 0-24,,0,0,,0,0,0,,0,0,,,0,0,,0,11,413,37.55,0
30,1974,1974-09-22,2,25.244,ATL,,SFO,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,4,150,37.50,0
31,1974,1974-09-29,3,25.251,ATL,@,NOR,L 13-14,,0,0,,0,0,0,,0,0,,,0,0,,0,6,244,40.67,0
32,1974,1974-10-06,4,25.258,ATL,@,NYG,W 14-7,,0,0,,0,0,0,,0,0,,,0,0,,0,3,93,31.00,0
33,1974,1974-10-13,5,25.265,ATL,,CHI,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,6,246,41.00,0
34,1974,1974-10-20,6,25.272,ATL,,NOR,L 3-13,,0,0,,0,0,0,,0,0,,,0,0,,0,10,432,43.20,0
35,1974,1974-10-28,7,25.280,ATL,@,PIT,L 17-24,,0,0,,0,0,0,,0,0,,,0,0,,0,7,313,44.71,0
36,1974,1974-11-03,8,25.286,ATL,@,MIA,L 7-42,,0,0,,0,0,0,,0,0,,,0,0,,0,6,198,33.00,0
37,1974,1974-11-10,9,25.293,ATL,@,RAM,L 0-21,,0,0,,0,0,0,,0,0,,,0,0,,0,9,348,38.67,1
38,1974,1974-11-17,10,25.300,ATL,,BAL,L 7-17,,0,0,,0,0,0,,0,0,,,0,0,,0,6,284,47.33,0
39,1974,1974-11-24,11,25.307,ATL,@,SFO,L 0-27,,0,0,,0,0,0,,0,0,,,0,0,,0,7,300,42.86,0
40,1974,1974-12-01,12,25.314,ATL,,RAM,L 7-30,,0,0,,0,0,0,,0,0,,,0,0,,0,7,291,41.57,0
41,1974,1974-12-07,13,25.320,ATL,@,MIN,L 10-23,,0,0,,0,0,0,,0,0,,,0,0,,0,7,281,40.14,0
42,1974,1974-12-15,14,25.328,ATL,,GNB,W 10-3,,0,0,,0,0,0,,0,0,,,0,0,,0,7,298,42.57,0
43,1975,1975-09-21,1,26.243,ATL,@,STL,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,6,233,38.83,0
44,1975,1975-09-28,2,26.250,ATL,,DET,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,8,363,45.38,0
45,1975,1975-10-05,3,26.257,ATL,,NOR,W 14-7,,0,0,,0,0,0,,0,0,,,0,0,,0,9,358,39.78,0
46,1975,1975-10-12,4,26.264,ATL,@,SFO,W 17-3,,0,0,,0,0,0,,0,0,,,0,0,,0,8,307,38.38,1
47,1975,1975-10-19,5,26.271,ATL,@,RAM,L 7-22,,0,0,,0,0,0,,0,0,,,0,0,,0,3,145,48.33,0
48,1975,1975-10-26,6,26.278,ATL,,CIN,L 14-21,,0,0,,0,0,0,,0,0,,,0,0,,0,5,186,37.20,0
49,1975,1975-11-02,7,26.285,ATL,@,NOR,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,6,276,46.00,0
50,1975,1975-11-09,8,26.292,ATL,@,MIN,L 0-38,,0,0,,0,0,0,,0,0,,,0,0,,0,5,192,38.40,0
51,1975,1975-11-16,9,26.299,ATL,,RAM,L 7-16,,0,0,,0,0,0,,0,0,,,0,0,,0,8,332,41.50,0
52,1975,1975-11-23,10,26.306,ATL,,DEN,W 35-21,,0,0,,0,0,0,,0,0,,,0,0,,0,5,223,44.60,0
53,1975,1975-11-30,11,26.313,ATL,@,OAK,L 34-37,,0,0,,0,0,0,,0,0,,,0,0,,0,8,346,43.25,0
54,1975,1975-12-07,12,26.320,ATL,,WAS,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,4,128,32.00,0
55,1975,1975-12-14,13,26.327,ATL,,SFO,W 31-9,,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,8,385,48.13,0
56,1975,1975-12-21,14,26.334,ATL,@,GNB,L 13-22,,0,0,,0,0,0,,0,0,,,0,0,,0,6,222,37.00,0
57,1976,1976-09-12,1,27.235,ATL,,RAM,L 14-30,,0,0,,0,0,0,,0,0,,,0,0,,0,9,428,47.56,0
58,1976,1976-09-19,2,27.242,ATL,@,DET,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,184,36.80,0
59,1976,1976-09-26,3,27.249,ATL,@,CHI,W 10-0,,0,0,,0,0,0,,0,0,,,0,0,,0,6,226,37.67,0
60,1976,1976-10-03,4,27.256,ATL,,PHI,L 13-14,,0,0,,0,0,0,,0,0,,,0,0,,0,8,342,42.75,0
61,1976,1976-10-10,5,27.263,ATL,@,NOR,L 0-30,,0,0,,0,0,0,,0,0,,,0,0,,0,9,400,44.44,0
62,1976,1976-10-17,6,27.270,ATL,,CLE,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,8,328,41.00,0
63,1976,1976-10-23,7,27.276,ATL,@,SFO,L 0-15,,0,0,,0,0,0,,0,0,,,0,0,,0,11,441,40.09,0
64,1976,1976-10-31,8,27.284,ATL,,NOR,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,6,259,43.17,0
65,1976,1976-11-07,9,27.291,ATL,@,SEA,L 13-30,,0,0,,0,0,0,,0,0,,,0,0,,0,5,210,42.00,0
66,1976,1976-11-14,10,27.298,ATL,,SFO,W 21-16,,0,0,,0,0,0,,0,0,,,0,0,,0,8,292,36.50,0
67,1976,1976-11-21,11,27.305,ATL,,DAL,W 17-10,,0,0,,0,0,0,,0,0,,,0,0,,0,8,388,48.50,0
68,1976,1976-11-28,12,27.312,ATL,@,HOU,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,5,207,41.40,0
69,1976,1976-12-04,13,27.318,ATL,@,RAM,L 0-59,,0,0,,0,0,0,,0,0,,,0,0,,0,8,346,43.25,0
70,1976,1976-12-12,14,27.326,ATL,,GNB,L 20-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,202,40.40,0
71,1977,1977-09-18,1,28.240,ATL,,RAM,W 17-6,,0,0,,0,0,0,,0,0,,,0,0,,0,10,418,41.80,0
72,1977,1977-09-25,2,28.247,ATL,@,WAS,L 6-10,,0,0,,0,0,0,,0,0,,,0,0,,0,8,319,39.88,0
73,1977,1977-10-02,3,28.254,ATL,,NYG,W 17-3,,0,0,,0,0,0,,0,0,,,0,0,,0,6,286,47.67,0
74,1977,1977-10-09,4,28.261,ATL,@,SFO,W 7-0,,0,0,,0,0,0,,0,0,,,0,0,,0,8,306,38.25,0
75,1977,1977-10-16,5,28.268,ATL,@,BUF,L 0-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,8,343,42.88,0
76,1977,1977-10-23,6,28.275,ATL,@,CHI,W 16-10,,0,0,,0,0,0,,0,0,,,0,0,,0,9,349,38.78,0
77,1977,1977-10-30,7,28.282,ATL,,MIN,L 7-14,,0,0,,0,0,0,,0,0,,,0,0,,0,9,394,43.78,0
78,1977,1977-11-06,8,28.289,ATL,,SFO,L 3-10,,0,0,,0,0,0,,0,0,,,0,0,,0,9,359,39.89,0
79,1977,1977-11-13,9,28.296,ATL,,DET,W 17-6,,0,0,,0,0,0,,0,0,,,0,0,,0,5,191,38.20,0
80,1977,1977-11-20,10,28.303,ATL,@,NOR,L 20-21,,0,0,,0,0,0,,0,0,,,0,0,,0,5,202,40.40,0
81,1977,1977-11-27,11,28.310,ATL,@,TAM,W 17-0,,0,0,,0,0,0,,0,0,,,0,0,,0,6,282,47.00,0
82,1977,1977-12-04,12,28.317,ATL,,NWE,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,7,284,40.57,0
83,1977,1977-12-11,13,28.324,ATL,@,RAM,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,8,354,44.25,0
84,1977,1977-12-18,14,28.331,ATL,,NOR,W 35-7,,0,0,,0,0,0,,0,0,,,0,0,,0,7,262,37.43,0
85,1978,1978-09-03,1,29.225,ATL,,HOU,W 20-14,,0,0,,0,0,0,,0,0,,,0,0,,0,9,384,42.67,0
86,1978,1978-09-10,2,29.232,ATL,@,RAM,L 0-10,,0,0,,0,0,0,,0,0,,,0,0,,0,10,388,38.80,0
87,1978,1978-09-17,3,29.239,ATL,,CLE,L 16-24,,0,0,,0,0,0,,0,0,,,0,0,,0,7,306,43.71,0
88,1978,1978-09-24,4,29.246,ATL,@,TAM,L 9-14,,0,0,,0,0,0,,0,0,,,0,0,,0,8,342,42.75,0
89,1978,1978-10-01,5,29.253,ATL,,NYG,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,3,94,31.33,0
90,1978,1978-10-08,6,29.260,ATL,@,PIT,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,3,102,34.00,0
91,1978,1978-10-15,7,29.267,ATL,,DET,W 14-0,,0,0,,0,0,0,,0,0,,,0,0,,0,8,322,40.25,0
92,1978,1978-10-22,8,29.274,ATL,@,SFO,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,7,271,38.71,0
93,1978,1978-10-30,9,29.282,ATL,,RAM,W 15-7,,0,0,,0,0,0,,0,0,,,0,0,,0,7,282,40.29,0
94,1978,1978-11-05,10,29.288,ATL,,SFO,W 21-10,,0,0,,0,0,0,,0,0,,,0,0,,0,8,296,37.00,0
95,1978,1978-11-12,11,29.295,ATL,@,NOR,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,6,218,36.33,0
96,1978,1978-11-19,12,29.302,ATL,@,CHI,L 7-13,,0,0,,0,0,0,,0,0,,,0,0,,0,4,118,29.50,1
97,1978,1978-11-26,13,29.309,ATL,,NOR,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,210,42.00,0
98,1978,1978-12-03,14,29.316,ATL,@,CIN,L 7-37,,0,0,,0,0,0,,0,0,,,0,0,,0,8,372,46.50,0
99,1978,1978-12-10,15,29.323,ATL,,WAS,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,12,383,31.92,0
100,1978,1978-12-17,16,29.330,ATL,@,STL,L 21-42,,0,0,,0,0,0,,0,0,,,0,0,,0,4,139,34.75,0
101,1979,1979-09-02,1,30.224,ATL,@,NOR,W 40-34,,0,0,,0,0,0,,0,0,,,0,0,,0,4,144,36.00,0
102,1979,1979-09-10,2,30.232,ATL,@,PHI,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,5,225,45.00,0
103,1979,1979-09-16,3,30.238,ATL,,DEN,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,4,170,42.50,0
104,1979,1979-09-23,4,30.245,ATL,@,DET,L 23-24,,0,0,,0,0,0,,0,0,,,0,0,,0,8,357,44.63,0
105,1979,1979-09-30,5,30.252,ATL,,WAS,L 7-16,,0,0,,0,0,0,,0,0,,,0,0,,0,6,225,37.50,0
106,1979,1979-10-07,6,30.259,ATL,,GNB,W 25-7,,0,0,,0,0,0,,0,0,,,0,0,,0,4,184,46.00,0
107,1979,1979-10-14,7,30.266,ATL,@,OAK,L 19-50,,0,0,,0,0,0,,0,0,,,0,0,,0,2,79,39.50,0
108,1979,1979-10-21,8,30.273,ATL,@,SFO,L 15-20,,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,0,0,,0,6,224,37.33,0
109,1979,1979-10-29,9,30.281,ATL,,SEA,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,5,186,37.20,0
110,1979,1979-11-04,10,30.287,ATL,,TAM,W 17-14,,0,0,,0,0,0,,0,0,,,0,0,,0,6,260,43.33,0
111,1979,1979-11-11,11,30.294,ATL,@,NYG,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,8,276,34.50,1
112,1979,1979-11-19,12,30.302,ATL,@,RAM,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,5,182,36.40,0
113,1979,1979-11-25,13,30.308,ATL,,NOR,L 6-37,,0,0,,0,0,0,,0,0,,,0,0,,0,8,317,39.63,0
114,1979,1979-12-02,14,30.315,ATL,@,SDG,W 28-26,,0,0,,0,0,0,,0,0,,,0,0,,0,3,111,37.00,0
115,1979,1979-12-09,15,30.322,ATL,,RAM,L 13-34,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,3,117,39.00,0
116,1979,1979-12-16,16,30.329,ATL,,SFO,W 31-21,,0,0,,0,0,0,,0,0,,,0,0,,0,6,239,39.83,0
117,1980,1980-09-07,1,31.230,ATL,@,MIN,L 23-24,,0,0,,0,0,0,,0,0,,,0,0,,0,4,175,43.75,0
118,1980,1980-09-14,2,31.237,ATL,@,NWE,W 37-21,,0,0,,0,0,0,,0,0,,,0,0,,0,4,168,42.00,0
119,1980,1980-09-21,3,31.244,ATL,,MIA,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,6,212,35.33,0
120,1980,1980-09-28,4,31.251,ATL,@,SFO,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,6,220,36.67,0
121,1980,1980-10-05,5,31.258,ATL,,DET,W 43-28,,0,0,,0,0,0,,0,0,,,0,0,,0,4,163,40.75,0
