ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-09-10,1,21.277,NWE,,PIT,W 28-21,,0,0,0,,0,0.0%,,0,0,,0
2,2015,2015-11-23,10,21.351,NWE,,BUF,W 20-13,,1,0,0,,0,0.0%,0.00,0,0,,0
3,2015,2015-11-29,11,21.357,NWE,@,DEN,L 24-30,,1,0,0,,0,0.0%,0.00,3,17,5.67,0
4,2015,2015-12-27,15,22.020,NWE,@,NYJ,L 20-26,,0,0,0,,0,0.0%,,0,0,,0
5,2015,2016-01-03,16,22.027,NWE,@,MIA,L 10-20,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
6,2016,2016-09-12,1,22.280,SFO,,LAR,W 28-0,,0,0,0,,0,0.0%,,0,0,,0
7,2016,2016-11-13,9,22.342,SFO,@,ARI,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0
8,2016,2016-11-20,10,22.349,SFO,,NWE,L 17-30,,2,2,35,17.50,0,100.0%,17.50,0,0,,0
9,2016,2016-11-27,11,22.356,SFO,@,MIA,L 24-31,,4,2,32,16.00,0,50.0%,8.00,0,0,,0
10,2016,2016-12-04,12,22.363,SFO,@,CHI,L 6-26,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
11,2016,2016-12-11,13,23.004,SFO,,NYJ,L 17-23,,5,1,8,8.00,0,20.0%,1.60,0,0,,0
12,2016,2016-12-18,14,23.011,SFO,@,ATL,L 13-41,,3,3,26,8.67,0,100.0%,8.67,0,0,,0
13,2016,2016-12-24,15,23.017,SFO,@,LAR,W 22-21,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0
14,2016,2017-01-01,16,23.025,SFO,,SEA,L 23-25,*,3,3,25,8.33,0,100.0%,8.33,0,0,,0
