ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-15,1,22.019,DEN,@,CIN,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,282,47.00,0
2,1968,1968-09-22,2,22.026,DEN,@,KAN,L 2-34,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,241,48.20,0
3,1968,1968-09-29,3,22.033,DEN,,BOS,L 17-20,2,71,35.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,8,358,44.75,0
4,1968,1968-10-06,4,22.040,DEN,,CIN,W 10-7,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,12,532,44.33,0
5,1968,1968-10-13,5,22.047,DEN,@,NYJ,W 21-13,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,9,375,41.67,0
6,1968,1968-10-20,6,22.054,DEN,@,SDG,L 24-55,2,40,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,5,199,39.80,0
7,1968,1968-10-27,7,22.061,DEN,,MIA,W 21-14,2,51,25.50,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,3,148,49.33,0
8,1968,1968-11-03,8,22.068,DEN,@,BOS,W 35-14,2,76,38.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,6,200,33.33,0
9,1968,1968-11-10,9,22.075,DEN,,OAK,L 7-43,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,9,421,46.78,0
10,1968,1968-11-17,10,22.082,DEN,@,HOU,L 17-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,8,357,44.63,0
11,1968,1968-12-01,12,22.096,DEN,,SDG,L 23-47,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,247,49.40,0
12,1968,1968-12-08,13,22.103,DEN,@,OAK,L 27-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,225,37.50,0
13,1968,1968-12-14,14,22.109,DEN,,KAN,L 7-30,1,12,12.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,6,266,44.33,0
14,1969,1969-09-14,1,23.018,DEN,,BOS,W 35-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,209,41.80,0
15,1969,1969-09-21,2,23.025,DEN,,NYJ,W 21-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,226,45.20,0
