ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,22.054,SFO,@,SEA,L 6-31,,0,0,,0,0.0,0,0,0,0,0
2,2010,2010-09-20,2,22.062,SFO,,NOR,L 22-25,,4,29,7.25,0,0.0,0,1,0,0,0
3,2010,2010-09-26,3,22.068,SFO,@,KAN,L 10-31,,0,0,,0,0.0,0,0,0,0,0
4,2010,2010-10-03,4,22.075,SFO,@,ATL,L 14-16,,,,,,,,,,,
5,2010,2010-10-10,5,22.082,SFO,,PHI,L 24-27,,0,0,,0,0.0,0,0,0,0,0
6,2010,2010-10-17,6,22.089,SFO,,OAK,W 17-9,,0,0,,0,0.0,0,1,0,0,0
7,2010,2010-10-24,7,22.096,SFO,@,CAR,L 20-23,,,,,,,,,,,
8,2010,2010-10-31,8,22.103,SFO,,DEN,W 24-16,,0,0,,0,0.0,0,0,0,0,0
9,2010,2010-11-14,9,22.117,SFO,,STL,W 23-20,,0,0,,0,0.0,1,0,0,0,0
10,2010,2010-11-21,10,22.124,SFO,,TAM,L 0-21,,,,,,,,,,,
11,2010,2010-11-29,11,22.132,SFO,@,ARI,W 27-6,,0,0,,0,0.0,1,0,0,0,0
12,2010,2010-12-05,12,22.138,SFO,@,GNB,L 16-34,,0,0,,0,0.0,1,1,0,0,0
13,2010,2010-12-12,13,22.145,SFO,,SEA,W 40-21,,,,,,,,,,,
14,2010,2010-12-16,14,22.149,SFO,@,SDG,L 7-34,,0,0,,0,0.0,0,1,0,0,0
15,2010,2010-12-26,15,22.159,SFO,@,STL,L 17-25,,0,0,,0,0.0,1,0,0,0,0
16,2011,2011-10-02,4,23.074,NWE,@,OAK,W 31-19,,,,,,,,,,,
17,2011,2011-10-30,7,23.102,NWE,@,PIT,L 17-25,,0,0,,0,0.0,0,1,0,0,0
18,2011,2011-11-06,8,23.109,NWE,,NYG,L 20-24,,0,0,,0,0.0,1,0,0,0,0
19,2011,2011-11-13,9,23.116,NWE,@,NYJ,W 37-16,,0,0,,0,0.0,2,0,0,0,0
20,2011,2011-11-21,10,23.124,NWE,,KAN,W 34-3,,0,0,,0,0.0,1,0,1,0,0
