ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2015,2015-09-13,1,24.095,DEN,,BAL,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2015,2015-09-17,2,24.099,DEN,@,KAN,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2015,2015-09-27,3,24.109,DEN,@,DET,W 24-12,,4,4,50,12.50,0,100.0%,12.50,0,0,,0,0,0
4,2015,2015-10-04,4,24.116,DEN,,MIN,W 23-20,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
5,2015,2015-10-11,5,24.123,DEN,@,OAK,W 16-10,,2,2,46,23.00,0,100.0%,23.00,0,0,,0,0,0
6,2015,2015-10-18,6,24.130,DEN,@,CLE,W 26-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
7,2015,2015-11-01,7,24.144,DEN,,GNB,W 29-10,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0
8,2015,2015-11-08,8,24.151,DEN,@,IND,L 24-27,,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0
9,2015,2015-11-15,9,24.158,DEN,,KAN,L 13-29,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
10,2015,2015-11-22,10,24.165,DEN,@,CHI,W 17-15,,0,0,0,,0,0.0%,,0,0,,0,0,0
11,2015,2015-11-29,11,24.172,DEN,,NWE,W 30-24,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
12,2015,2015-12-06,12,24.179,DEN,@,SDG,W 17-3,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
13,2015,2015-12-13,13,24.186,DEN,,OAK,L 12-15,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
14,2015,2015-12-20,14,24.193,DEN,@,PIT,L 27-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
15,2015,2015-12-28,15,24.201,DEN,,CIN,W 20-17,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
16,2015,2016-01-03,16,24.207,DEN,,SDG,W 27-20,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
17,2016,2016-09-25,3,25.107,DEN,@,CIN,W 29-17,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
18,2016,2016-10-02,4,25.114,DEN,@,TAM,W 27-7,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0
19,2016,2016-10-09,5,25.121,DEN,,ATL,L 16-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0
20,2016,2016-10-13,6,25.125,DEN,@,SDG,L 13-21,,7,3,22,7.33,1,42.9%,3.14,0,0,,0,1,6
21,2016,2016-10-24,7,25.136,DEN,,HOU,W 27-9,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
