ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.316,MIN,@,BUF,W 34-13,,,,,,,0.0%,,,,,,0,0,,0,,,,,
2,1997,1997-09-07,2,23.323,MIN,@,CHI,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,3,62,20.67,0,0,0,0,0,0
3,1997,1997-09-21,4,23.337,MIN,@,GNB,L 32-38,,0,0,0,,0,0.0%,,0,0,,0,4,77,19.25,0,0,0,0,0,0
4,1997,1997-09-28,5,23.344,MIN,,PHI,W 28-19,,0,0,0,,0,0.0%,,0,0,,0,3,57,19.00,0,0,0,0,0,0
5,1998,1998-09-06,1,24.322,MIN,,TAM,W 31-7,,,,,,,0.0%,,,,,,,,,,,,,,
6,1998,1998-09-13,2,24.329,MIN,@,STL,W 38-31,,,,,,,0.0%,,,,,,,,,,,,,,
7,1998,1998-09-20,3,24.336,MIN,,DET,W 29-6,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0,0,0,0
8,1998,1998-09-27,4,24.343,MIN,@,CHI,W 31-28,,,,,,,0.0%,,,,,,,,,,,,,,
9,1998,1998-10-05,5,24.351,MIN,@,GNB,W 37-24,,1,,,,,0.0%,,,,,,,,,,,,,,
10,1998,1998-10-18,6,24.364,MIN,,WAS,W 41-7,,,,,,,0.0%,,,,,,,,,,,,,,
11,1998,1998-10-25,7,25.006,MIN,@,DET,W 34-13,,,,,,,0.0%,,,,,,,,,,,,,,
12,1998,1998-11-01,8,25.013,MIN,@,TAM,L 24-27,,1,,,,,0.0%,,,,,,,,,,,,,,
13,1998,1998-11-08,9,25.020,MIN,,NOR,W 31-24,,,,,,,0.0%,,,,,,,,,,,,,,
14,1998,1998-11-15,10,25.027,MIN,,CIN,W 24-3,,,,,,,0.0%,,,,,,,,,,,,,,
15,1998,1998-11-22,11,25.034,MIN,,GNB,W 28-14,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,0,0,0
16,1998,1998-11-26,12,25.038,MIN,@,DAL,W 46-36,,,,,,,0.0%,,,,,,,,,,,,,,
17,1998,1998-12-06,13,25.048,MIN,,CHI,W 48-22,,,,,,,0.0%,,,,,,,,,,,,,,
18,1998,1998-12-20,15,25.062,MIN,,JAX,W 50-10,,0,0,0,,0,0.0%,,0,0,,0,1,23,23.00,0,0,0,0,0,0
19,1999,1999-09-12,1,25.328,MIN,@,ATL,W 17-14,,1,,,,,0.0%,,,,,,,,,,,,,,
20,1999,1999-09-19,2,25.335,MIN,,OAK,L 17-22,,,,,,,0.0%,,,,,,,,,,,,,,
21,1999,1999-09-26,3,25.342,MIN,@,GNB,L 20-23,,0,,,,,0.0%,,,,,,,,,,,,,,
22,1999,1999-10-03,4,25.349,MIN,,TAM,W 21-14,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0
23,1999,1999-10-10,5,25.356,MIN,,CHI,L 22-24,,0,0,0,,0,0.0%,,0,0,,0,3,62,20.67,0,0,0,0,0,0
24,1999,1999-10-17,6,25.363,MIN,@,DET,L 23-25,,,,,,,0.0%,,,,,,,,,,,,,,
