ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
25,1999,1999-10-24,7,26.005,MIN,,SFO,W 40-16,,1,,,,,0.0%,,,,,,,,,,,,,,
26,1999,1999-10-31,8,26.012,MIN,@,DEN,W 23-20,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,0,0,0,0,0
27,1999,1999-11-08,9,26.020,MIN,,DAL,W 27-17,,0,0,0,,0,0.0%,,0,0,,0,1,29,29.00,0,0,0,0,0,0
28,1999,1999-11-14,10,26.026,MIN,@,CHI,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0,0,0,0,0
29,1999,1999-11-28,11,26.040,MIN,,SDG,W 35-27,,0,0,0,,0,0.0%,,0,0,,0,5,103,20.60,0,0,0,0,0,0
30,1999,1999-12-06,12,26.048,MIN,@,TAM,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,
31,1999,1999-12-12,13,26.054,MIN,@,KAN,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,6,177,29.50,1,1,6,0,0,0
32,1999,1999-12-20,14,26.062,MIN,,GNB,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,4,119,29.75,0,0,0,0,0,0
33,1999,1999-12-26,15,26.068,MIN,@,NYG,W 34-17,,0,0,0,,0,0.0%,,0,0,,0,2,30,15.00,0,0,0,0,0,0
34,1999,2000-01-02,16,26.075,MIN,,DET,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,3,88,29.33,0,0,0,1,18,0
35,2000,2000-09-03,1,26.320,MIN,,CHI,W 30-27,,0,,,,,0.0%,,,,,,,,,,,,,,
36,2000,2000-09-10,2,26.327,MIN,,MIA,W 13-7,,0,,,,,0.0%,,,,,,,,,,,,,,
37,2000,2000-09-17,3,26.334,MIN,@,NWE,W 21-13,*,0,,,,,0.0%,,,,,,,,,,,,,,
38,2000,2000-10-01,4,26.348,MIN,@,DET,W 31-24,*,0,,,,,0.0%,,,,,,,,,,,,,,
39,2000,2000-10-09,5,26.356,MIN,,TAM,W 30-23,,0,,,,,0.0%,,,,,,,,,,,,,,
40,2000,2000-10-15,6,26.362,MIN,@,CHI,W 28-16,*,0,,,,,0.0%,,,,,,,,,,,,,,
41,2000,2000-10-22,7,27.003,MIN,,BUF,W 31-27,,0,,,,,0.0%,,,,,,,,,,,,,,
42,2000,2000-10-29,8,27.010,MIN,@,TAM,L 13-41,,0,,,,,0.0%,,,,,,,,,,,,,,
43,2000,2000-11-06,9,27.018,MIN,@,GNB,L 20-26,*,0,,,,,0.0%,,,,,,,,,,,,,,
44,2000,2000-11-12,10,27.024,MIN,,ARI,W 31-14,*,0,,,,,0.0%,,,,,,,,,,,,,,
45,2000,2000-11-19,11,27.031,MIN,,CAR,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1,0,0
46,2000,2000-11-23,12,27.035,MIN,@,DAL,W 27-15,,0,,,,,0.0%,,,,,,,,,,,,,,
47,2000,2000-11-30,13,27.042,MIN,,DET,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,,,,
48,2000,2000-12-10,14,27.052,MIN,@,STL,L 29-40,*,0,,,,,0.0%,,,,,,,,,,,,,,
49,2000,2000-12-17,15,27.059,MIN,,GNB,L 28-33,*,0,,,,,0.0%,,,,,,,,,,,,,,
50,2000,2000-12-24,16,27.066,MIN,@,IND,L 10-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1,12,0
51,2001,2001-09-09,1,27.325,MIN,,CAR,L 13-24,*,0,,,,,0.0%,,,,,,,,,,,,,,
52,2001,2001-09-23,2,27.339,MIN,@,CHI,L 10-17,*,0,,,,,0.0%,,,,,,,,,,,,,,
53,2001,2001-09-30,3,27.346,MIN,,TAM,W 20-16,*,0,,,,,0.0%,,,,,,,,,,,,,,
54,2001,2001-10-07,4,27.353,MIN,@,NOR,L 15-28,,0,,,,,0.0%,,,,,,,,,,,,,,
55,2001,2001-10-14,5,27.360,MIN,,DET,W 31-26,,0,,,,,0.0%,,,,,,,,,,,,,,
56,2001,2001-10-21,6,28.002,MIN,,GNB,W 35-13,,0,,,,,0.0%,,,,,,,,,,,,,,
57,2001,2001-10-28,7,28.009,MIN,@,TAM,L 14-41,,0,,,,,0.0%,,,,,,,,,,,,,,
58,2001,2001-11-11,8,28.023,MIN,@,PHI,L 17-48,,0,,,,,0.0%,,,,,,,,,,,,,,
59,2001,2001-11-19,9,28.031,MIN,,NYG,W 28-16,,0,,,,,0.0%,,,,,,,,,,,,,,
60,2001,2001-11-25,10,28.037,MIN,,CHI,L 6-13,,0,,,,,0.0%,,,,,,,,,,,,,,
61,2001,2001-12-02,11,28.044,MIN,@,PIT,L 16-21,,,,,,,0.0%,,,,,,,,,,,,,,
62,2001,2001-12-09,12,28.051,MIN,,TEN,W 42-24,,,,,,,0.0%,,,,,,,,,,,,,,
63,2001,2001-12-16,13,28.058,MIN,@,DET,L 24-27,,0,,,,,0.0%,,,,,,,,,,,,,,
64,2001,2001-12-23,14,28.065,MIN,,JAX,L 3-33,,0,,,,,0.0%,,,,,,,,,,,,,,
65,2001,2001-12-30,15,28.072,MIN,@,GNB,L 13-24,*,0,,,,,0.0%,,,,,,,,,,,,,,
66,2001,2002-01-07,16,28.080,MIN,@,BAL,L 3-19,*,0,,,,,0.0%,,,,,,,,,,,,,,
67,2002,2002-09-08,1,28.324,BAL,@,CAR,L 7-10,,,,,,,0.0%,,,,,,,,,,,,,,
68,2002,2002-09-15,2,28.331,BAL,,TAM,L 0-25,,0,0,0,,0,0.0%,,0,0,,0,4,78,19.50,0,0,0,0,0,0
69,2002,2002-09-30,3,28.346,BAL,,DEN,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,5,141,28.20,0,0,0,0,0,0
70,2002,2002-10-06,4,28.352,BAL,@,CLE,W 26-21,,0,0,0,,0,0.0%,,0,0,,0,2,26,13.00,0,0,0,0,0,0
71,2002,2002-10-13,5,28.359,BAL,@,IND,L 20-22,,0,0,0,,0,0.0%,,0,0,,0,2,51,25.50,0,0,0,0,0,0
72,2002,2002-10-20,6,29.001,BAL,,JAX,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,2,37,18.50,0,0,0,0,0,0
73,2002,2002-10-27,7,29.008,BAL,,PIT,L 18-31,,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,0,0,0,0,0
74,2002,2002-11-10,9,29.022,BAL,,CIN,W 38-27,,0,,,,,0.0%,,,,,,,,,,,,,,
75,2002,2002-11-17,10,29.029,BAL,@,MIA,L 7-26,,,,,,,0.0%,,,,,,,,,,,,,,
76,2002,2002-11-24,11,29.036,BAL,,TEN,W 13-12,,0,,,,,0.0%,,,,,,,,,,,,,,
77,2002,2002-12-01,12,29.043,BAL,@,CIN,W 27-23,*,0,,,,,0.0%,,,,,,,,,,,,,,
78,2002,2002-12-08,13,29.050,BAL,,NOR,L 25-37,,,,,,,0.0%,,,,,,,,,,,,,,
79,2002,2002-12-15,14,29.057,BAL,@,HOU,W 23-19,,,,,,,0.0%,,,,,,,,,,,,,,
80,2004,2004-09-12,1,30.329,ARI,@,STL,L 10-17,,0,,,,,0.0%,,,,,,,,,,,,,,
81,2004,2004-09-19,2,30.336,ARI,,NWE,L 12-23,,0,,,,,0.0%,,,,,,,,,,,,,,
82,2004,2004-10-10,5,30.357,ARI,@,SFO,L 28-31,,0,,,,,0.0%,,,,,,,,,,,,,,
83,2004,2004-10-24,6,31.005,ARI,,SEA,W 25-17,,,,,,,0.0%,,,,,,,,,,,,,,
84,2004,2004-10-31,7,31.012,ARI,@,BUF,L 14-38,,,,,,,0.0%,,,,,,,,,,,,,,
85,2004,2004-11-07,8,31.019,ARI,@,MIA,W 24-23,,,,,,,0.0%,,,,,,,,,,,,,,
86,2004,2004-11-14,9,31.026,ARI,,NYG,W 17-14,,0,,,,,0.0%,,,,,,,,,,,,,,
87,2004,2004-11-21,10,31.033,ARI,@,CAR,L 10-35,,,,,,,0.0%,,,,,,,,,,,,,,
88,2004,2004-11-28,11,31.040,ARI,,NYJ,L 3-13,,,,,,,0.0%,,,,,,,,,,,,,,
89,2004,2004-12-05,12,31.047,ARI,@,DET,L 12-26,,,,,,,0.0%,,,,,,,,,,,,,,
90,2004,2004-12-12,13,31.054,ARI,,SFO,L 28-31,,,,,,,0.0%,,,,,,,,,,,,,,
91,2004,2004-12-19,14,31.061,ARI,,STL,W 31-7,,0,,,,,0.0%,,,,,,,,,,,,,,
92,2004,2004-12-26,15,31.068,ARI,@,SEA,L 21-24,,0,,,,,0.0%,,,,,,,,,,,,,,
93,2004,2005-01-02,16,31.075,ARI,,TAM,W 12-7,,0,,,,,0.0%,,,,,,,,,,,,,,
94,2005,2005-10-02,4,31.348,ARI,,SFO,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1,22,0
95,2005,2005-10-09,5,31.355,ARI,,CAR,L 20-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1,25,0
96,2005,2005-10-23,6,32.004,ARI,,TEN,W 20-10,*,0,,,,,0.0%,,,,,,,,,,,,,,
97,2005,2005-10-30,7,32.011,ARI,@,DAL,L 13-34,*,0,,,,,0.0%,,,,,,,,,,,,,,
98,2005,2005-11-06,8,32.018,ARI,,SEA,L 19-33,*,0,,,,,0.0%,,,,,,,,,,,,,,
99,2005,2005-11-13,9,32.025,ARI,@,DET,L 21-29,*,0,,,,,0.0%,,,,,,,,,,,,,,
100,2005,2005-11-20,10,32.032,ARI,@,STL,W 38-28,,0,,,,,0.0%,,,,,,,,,,,,,,
101,2005,2005-11-27,11,32.039,ARI,,JAX,L 17-24,,0,,,,,0.0%,,,,,,,,,,,,,,
102,2005,2005-12-04,12,32.046,ARI,@,SFO,W 17-10,,,,,,,0.0%,,,,,,,,,,,,,,
103,2005,2005-12-11,13,32.053,ARI,,WAS,L 13-17,,0,,,,,0.0%,,,,,,,,,,,,,,
104,2005,2005-12-18,14,32.060,ARI,@,HOU,L 19-30,,,,,,,0.0%,,,,,,,,,,,,,,
105,2005,2005-12-24,15,32.066,ARI,,PHI,W 27-21,,0,,,,,0.0%,,,,,,,,,,,,,,
106,2005,2006-01-01,16,32.074,ARI,@,IND,L 13-17,,,,,,,0.0%,,,,,,,,,,,,,,
107,2006,2006-09-10,1,32.326,ARI,,SFO,W 34-27,,0,,,,,0.0%,,,,,,,,,,,,,,
108,2006,2006-09-17,2,32.333,ARI,@,SEA,L 10-21,,0,,,,,0.0%,,,,,,,,,,,,,,
109,2006,2006-09-24,3,32.340,ARI,,STL,L 14-16,,0,,,,,0.0%,,,,,,,,,,,,,,
110,2006,2006-10-01,4,32.347,ARI,@,ATL,L 10-32,,1,,,,,0.0%,,,,,,,,,,,,,,
111,2006,2006-10-08,5,32.354,ARI,,KAN,L 20-23,,0,,,,,0.0%,,,,,,,,,,,,,,
112,2006,2006-10-22,7,33.003,ARI,@,OAK,L 9-22,,,,,,,0.0%,,,,,,,,,,,,,,
113,2006,2006-10-29,8,33.010,ARI,@,GNB,L 14-31,,0,,,,,0.0%,,,,,,,,,,,,,,
114,2006,2006-12-03,12,33.045,ARI,@,STL,W 34-20,,,,,,,0.0%,,,,,,,,,,,,,,
115,2006,2006-12-31,16,33.073,ARI,@,SDG,L 20-27,,0,,,,,0.0%,,,,,,,,,,,,,,
