ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-11-29,11,22.340,ATL,,STL,L 21-34,,,,,,,,
2,1987,1987-12-06,12,22.347,ATL,@,DAL,W 21-10,,,,,,,,
3,1987,1987-12-13,13,22.354,ATL,@,RAM,L 0-33,,,,,,,,
4,1987,1987-12-27,15,23.003,ATL,,DET,L 13-30,,,,,,,,
5,1988,1988-09-04,1,23.255,ATL,@,DET,L 17-31,0,0,,0,,,,
6,1988,1988-09-11,2,23.262,ATL,,NOR,L 21-29,0,0,,0,,,,
7,1988,1988-10-16,7,23.297,ATL,@,DEN,L 14-30,0,0,,0,,,,
8,1988,1988-10-23,8,23.304,ATL,,NYG,L 16-23,0,0,,0,,,,
9,1988,1988-10-30,9,23.311,ATL,@,PHI,W 27-24,0,0,,0,,,,
10,1988,1988-11-06,10,23.318,ATL,,GNB,W 20-0,0,0,,0,,,,
11,1988,1988-11-13,11,23.325,ATL,,SDG,L 7-10,0,0,,0,,,,
12,1988,1988-11-20,12,23.332,ATL,@,RAI,W 12-6,0,0,,0,,,,
13,1988,1988-11-27,13,23.339,ATL,,TAM,W 17-10,0,0,,0,,,,
14,1988,1988-12-04,14,23.346,ATL,,SFO,L 3-13,0,0,,0,,,,
15,1988,1988-12-11,15,23.353,ATL,@,RAM,L 7-22,1,5,5.00,0,0.0,0,0,0
16,1988,1988-12-18,16,23.360,ATL,@,NOR,L 9-10,1,0,0.00,0,0.0,0,0,0
17,1989,1989-09-10,1,24.260,ATL,,RAM,L 21-31,,,,,,,,
18,1989,1989-09-17,2,24.267,ATL,,DAL,W 27-21,,,,,,,,
19,1989,1989-09-24,3,24.274,ATL,@,IND,L 9-13,,,,,,,,
20,1989,1989-10-01,4,24.281,ATL,@,GNB,L 21-23,,,,,,,,
21,1989,1989-10-08,5,24.288,ATL,@,RAM,L 14-26,,,,,,,,
22,1989,1989-10-15,6,24.295,ATL,,NWE,W 16-15,,,,,,,,
23,1989,1989-10-22,7,24.302,ATL,@,PHO,L 20-34,,,,,,,,
24,1989,1989-10-29,8,24.309,ATL,@,NOR,L 13-20,,,,,,,,
25,1989,1989-11-05,9,24.316,ATL,,BUF,W 30-28,0,0,,0,0.0,1,31,0
26,1989,1989-11-12,10,24.323,ATL,@,SFO,L 3-45,,,,,,,,
27,1990,1990-09-09,1,25.259,ATL,,HOU,W 47-27,,,,,,,,
28,1990,1990-09-16,2,25.266,ATL,@,DET,L 14-21,,,,,,,,
29,1990,1990-09-23,3,25.273,ATL,@,SFO,L 13-19,,,,,,,,
30,1990,1990-10-07,4,25.287,ATL,,NOR,W 28-27,,,,,,,,
31,1990,1990-10-14,5,25.294,ATL,,SFO,L 35-45,,,,,,,,
32,1990,1990-11-18,10,25.329,ATL,,PHI,L 23-24,,,,,,,,
33,1990,1990-11-25,11,25.336,ATL,@,NOR,L 7-10,,,,,,,,
34,1990,1990-12-02,12,25.343,ATL,@,TAM,L 17-23,,,,,,,,
35,1990,1990-12-09,13,25.350,ATL,,PHO,L 13-24,,,,,,,,
36,1990,1990-12-16,14,25.357,ATL,@,CLE,L 10-13,,,,,,,,
37,1990,1990-12-23,15,25.364,ATL,,RAM,W 20-13,,,,,,,,
38,1990,1990-12-30,16,26.006,ATL,,DAL,W 26-7,,,,,,,,
39,1991,1991-09-01,1,26.251,ATL,@,KAN,L 3-14,0,0,,0,1.0,0,0,0
40,1991,1991-10-20,7,26.300,ATL,@,PHO,L 10-16,,,,,,,,
41,1991,1991-10-27,8,26.307,ATL,,RAM,W 31-14,,,,,,,,
42,1991,1991-11-03,9,26.314,ATL,,SFO,W 17-14,0,0,,0,1.0,0,0,0
43,1991,1991-11-10,10,26.321,ATL,@,WAS,L 17-56,,,,,,,,
44,1991,1991-11-17,11,26.328,ATL,,TAM,W 43-7,,,,,,,,
45,1991,1991-11-24,12,26.335,ATL,@,NOR,W 23-20,,,,,,,,
46,1991,1991-12-01,13,26.342,ATL,,GNB,W 35-31,,,,,,,,
47,1991,1991-12-08,14,26.349,ATL,@,RAM,W 31-14,,,,,,,,
48,1991,1991-12-15,15,26.356,ATL,,SEA,W 26-13,,,,,,,,
49,1991,1991-12-22,16,26.363,ATL,@,DAL,L 27-31,,,,,,,,
50,1992,1992-09-06,1,27.257,ATL,,NYJ,W 20-17,,,,,,,,
51,1992,1992-09-13,2,27.264,ATL,@,WAS,L 17-24,,,,,,,,
52,1992,1992-09-20,3,27.271,ATL,,NOR,L 7-10,,,,,,,,
53,1992,1992-09-27,4,27.278,ATL,@,CHI,L 31-41,,,,,,,,
