ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-09,1,26.020,OAK,,NYT,L 17-28,0,0,,0,2,2,100.0,1,4,25.0,0,5,1,7,0
2,1962,1962-09-23,2,26.034,OAK,,DTX,L 16-26,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
3,1962,1962-09-30,3,26.041,OAK,,SDG,L 33-42,0,0,,0,2,2,100.0,1,2,50.0,0,5,1,0,0
4,1962,1962-10-05,4,26.046,OAK,@,DEN,L 7-44,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,0
5,1962,1962-10-14,5,26.055,OAK,,DEN,L 6-23,0,0,,0,,,,,1,0.0,0,0,0,0,0
6,1962,1962-10-20,6,26.061,OAK,@,BUF,L 6-14,0,0,,0,,1,0.0,,1,0.0,0,0,0,0,0
7,1963,1963-09-28,4,27.039,OAK,@,NYJ,L 7-10,1,11,11.00,0,,,,,,,0,0,0,0,0
8,1963,1963-10-20,7,27.061,OAK,,NYJ,W 49-26,0,0,,0,,,,,,,0,0,1,12,0
9,1963,1963-11-08,10,27.080,OAK,@,KAN,W 22-7,0,0,,0,,,,,,,0,0,1,7,0
