ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1997,1997-09-14,3,23.217,MIN,,TAM,L 14-28,,,,,,,0.0%,,,,,
2,1997,1997-09-21,4,23.224,MIN,@,GNB,L 32-38,,,,,,,0.0%,,,,,
3,1997,1997-09-28,5,23.231,MIN,,PHI,W 28-19,,,,,,,0.0%,,,,,
4,1997,1997-10-12,7,23.245,MIN,,CAR,W 21-14,,,,,,,0.0%,,,,,
5,1997,1997-12-21,16,23.315,MIN,,IND,W 39-28,,,,,,,0.0%,,,,,
6,1998,1998-09-27,4,24.230,MIN,@,CHI,W 31-28,,,,,,,0.0%,,,,,
7,1998,1998-10-05,5,24.238,MIN,@,GNB,W 37-24,,,,,,,0.0%,,,,,
8,1998,1998-10-18,6,24.251,MIN,,WAS,W 41-7,,,,,,,0.0%,,,,,
9,1998,1998-10-25,7,24.258,MIN,@,DET,W 34-13,,,,,,,0.0%,,,,,
10,1999,1999-09-26,3,25.229,CLE,@,BAL,L 10-17,,,,,,,0.0%,,,,,
11,1999,1999-10-03,4,25.236,CLE,,NWE,L 7-19,,,,,,,0.0%,,,,,
12,1999,1999-10-10,5,25.243,CLE,,CIN,L 17-18,,,,,,,0.0%,,,,,
13,1999,1999-10-17,6,25.250,CLE,@,JAX,L 7-24,,,,,,,0.0%,,,,,
14,1999,1999-10-24,7,25.257,CLE,@,STL,L 3-34,,,,,,,0.0%,,,,,
15,1999,1999-11-14,10,25.278,CLE,@,PIT,W 16-15,,,,,,,0.0%,,,,,
16,1999,1999-11-21,11,25.285,CLE,,CAR,L 17-31,,,,,,,0.0%,,,,,
17,1999,1999-11-28,12,25.292,CLE,,TEN,L 21-33,,,,,,,0.0%,,,,,
18,1999,1999-12-26,16,25.320,CLE,,IND,L 28-29,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0
19,2000,2000-09-03,1,26.207,BAL,@,PIT,W 16-0,,,,,,,0.0%,,,,,
20,2000,2000-09-10,2,26.214,BAL,,JAX,W 39-36,,,,,,,0.0%,,,,,
21,2000,2000-09-24,4,26.228,BAL,,CIN,W 37-0,,,,,,,0.0%,,,,,
22,2000,2000-10-01,5,26.235,BAL,@,CLE,W 12-0,,,,,,,0.0%,,,,,
23,2000,2000-10-08,6,26.242,BAL,@,JAX,W 15-10,,0,,,,,0.0%,,,,,
24,2000,2000-10-15,7,26.249,BAL,@,WAS,L 3-10,,,,,,,0.0%,,,,,
25,2000,2000-11-26,13,26.291,BAL,,CLE,W 44-7,,,,,,,0.0%,,,,,
26,2001,2001-10-07,4,27.240,BAL,,TEN,W 26-7,,,,,,,0.0%,,,,,
27,2001,2001-10-14,5,27.247,BAL,@,GNB,L 23-31,,,,,,,0.0%,,,,,
28,2001,2001-10-21,6,27.254,BAL,@,CLE,L 14-24,,,,,,,0.0%,,,,,
29,2001,2001-10-28,7,27.261,BAL,,JAX,W 18-17,,,,,,,0.0%,,,,,
30,2001,2001-11-04,8,27.268,BAL,@,PIT,W 13-10,,,,,,,0.0%,,,,,
31,2001,2001-11-12,9,27.276,BAL,@,TEN,W 16-10,,,,,,,0.0%,,,,,
32,2001,2001-11-25,11,27.289,BAL,@,JAX,W 24-21,,,,,,,0.0%,,,,,
33,2001,2001-12-02,12,27.296,BAL,,IND,W 39-27,,,,,,,0.0%,,,,,
34,2001,2001-12-16,13,27.310,BAL,,PIT,L 21-26,,,,,,,0.0%,,,,,
35,2001,2001-12-23,14,27.317,BAL,,CIN,W 16-0,,,,,,,0.0%,,,,,
36,2001,2001-12-29,15,27.323,BAL,@,TAM,L 10-22,,0,0,0,,0,0.0%,,1,11,11.00,0
37,2001,2002-01-07,16,27.332,BAL,,MIN,W 19-3,,,,,,,0.0%,,,,,
